"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Premises","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","Previous.full.inspection.event.type","Previous.full.inspection.event.date","Previous.full.inspection.publication.date","Previous.full.inspection.event.number","Previous.overall.experiences.and.progress.of.children.and.young.people","Previous.outcomes.in.education.and.related.learning.activities","Previous.health.services","Previous.how.well.children.and.young.people.are.helped.and.protected","Previous.effectiveness.of.leaders.and.managers"
"1","Ofsted Social Care Provider Webpage","2587047",NA,"Children's home","26/05/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cheshire East","Macclesfield","For profit",NA,7," ","","Compass Children's Homes Limited","Full inspection","03/01/2023","09/03/2023",10224792,"Outstanding","","","Outstanding","Outstanding","Full inspection","01/03/2022","14/04/2022",10186320,"Outstanding","","","Outstanding","Outstanding"
"2","Ofsted Social Care Provider Webpage","2590342",NA,"Children's home","17/06/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cheshire East","Congleton","For profit",NA,3," ","","Unity Residential Care Services Limited","Full inspection","05/12/2022","23/01/2023",10224810,"Good","","","Good","Good","Full inspection","08/12/2021","25/01/2022",10185266,"Good","","","Good","Good"
"3","Ofsted Social Care Provider Webpage","2590726",NA,"Children's home","14/07/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Fylde","For profit",NA,2," ","","Sandcastle Care Ltd","Full inspection","08/02/2023","24/03/2023",10224816,"Good","","","Good","Good","Full inspection","08/06/2021","08/07/2021",10186915,"Outstanding","","","Outstanding","Outstanding"
"4","Ofsted Social Care Provider Webpage","2592361",NA,"Children's home","27/04/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Newham","Leyton and Wanstead","For profit",NA,3," ","","Raise House Limited","Full inspection","24/05/2022","13/07/2022",10224842,"Good","","","Good","Good","Full inspection","05/05/2021","02/06/2021",10186789,"Good","","","Good","Good"
"5","Ofsted Social Care Provider Webpage","2593071",NA,"Children's home","18/09/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicester","Leicester East","For profit",NA,3," ","","Changing Lives Care Group Ltd","Full inspection","21/03/2023","05/05/2023",10224854,"Good","","","Good","Good","Full inspection","22/09/2021","21/10/2021",10187258,"Outstanding","","","Good","Outstanding"
"6","Ofsted Social Care Provider Webpage","SC044231",NA,"Children's home","10/10/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Ribble Valley","For profit",NA,4," ","","Progress Care and Education Limited","Full inspection","26/07/2023","04/09/2023",10272380,"Good","","","Good","Good","Full inspection","12/04/2022","24/05/2022",10222793,"Good","","","Good","Good"
"7","Ofsted Social Care Provider Webpage","2544217",NA,"Children's home","18/07/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottinghamshire","Bassetlaw","For profit",NA,5," ","","Absolute Childrens Services Ltd","Full inspection","07/09/2023","18/10/2023",10272381,"Good","","","Good","Good","Full inspection","03/05/2022","09/06/2022",10222416,"Good","","","Good","Good"
"8","Ofsted Social Care Provider Webpage","SC033817",NA,"Children's home","18/10/2002","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","North Northamptonshire","Kettering","For profit",NA,4," ","","Keys Direct Care Limited","Full inspection","19/03/2024","30/04/2024",10272241,"Good","","","Good","Requires improvement to be good","Full inspection","08/03/2023","24/04/2023",10222627,"Outstanding","","","Good","Outstanding"
"9","Ofsted Social Care Provider Webpage","SC034108",NA,"Children's home","10/09/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Tameside","Denton and Reddish","Local Authority",NA,6," ","","Tameside Metropolitan Borough Council ","Full inspection","02/08/2023","12/09/2023",10272243,"Good","","","Good","Requires improvement to be good","Full inspection","12/10/2022","14/11/2022",10222633,"Good","","","Good","Good"
"10","Ofsted Social Care Provider Webpage","SC454901",NA,"Children's home","20/11/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottinghamshire","Bassetlaw","For profit",NA,5," ","","Keys Child Care Ltd","Full inspection","14/11/2023","18/12/2023",10271842,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","16/11/2022","30/12/2022",10223468,"Good","","","Good","Good"
