"","Local.authority","Sector","URN","Places","Join","Leave"
"1","DERBYSHIRE","Private","SC464759",4,"2014-04-11",NA
"2","CUMBERLAND","Private","SC465634",2,"2014-05-13",NA
"3","ESSEX","Private","SC471153",2,"2014-04-24",NA
"4","BIRMINGHAM","Private","SC471672",4,"2014-05-21",NA
"5","SEFTON","Private","SC472114",2,"2014-04-29","2017-02-20"
"6","SEFTON","Private","SC473475",5,"2014-07-18",NA
"7","SHROPSHIRE","Private","SC474041",2,"2014-04-30",NA
"8","SHROPSHIRE","Private","SC474050",1,"2014-05-21","2020-04-01"
"9","STAFFORDSHIRE","Private","SC474179",4,"2014-04-29",NA
"10","SHROPSHIRE","Private","SC474338",3,"2014-08-19","2016-02-15"
"11","RICHMOND UPON THAMES","Local Authority","SC474585",2,"2014-04-04","2015-07-02"
"12","WOLVERHAMPTON","Private","SC474724",4,"2014-07-30","2022-03-23"
"13","OXFORDSHIRE","Private","SC474863",5,"2014-05-14","2017-05-26"
"14","NORTHUMBERLAND","Private","SC474894",3,"2014-05-13",NA
"15","ESSEX","Private","SC475088",4,"2014-09-03",NA
"16","BARNSLEY","Private","SC475121",5,"2014-04-10","2016-10-13"
"17","KENT","Private","SC475223",54,"2014-04-11","2016-02-09"
"18","NOTTINGHAMSHIRE","Private","SC475335",4,"2014-06-13",NA
"19","STAFFORDSHIRE","Private","SC475347",2,"2014-04-14",NA
"20","TELFORD AND WREKIN","Private","SC475578",3,"2014-05-15","2016-09-19"
"21","LANCASHIRE","Private","SC475680",8,"2014-05-08",NA
"22","LANCASHIRE","Private","SC475697",7,"2014-05-08",NA
"23","NORTH YORKSHIRE","Private","SC475703",8,"2014-05-08",NA
"24","DURHAM","Private","SC475706",7,"2014-05-28",NA
"25","DURHAM","Private","SC475710",8,"2014-06-03",NA
"26","LANCASHIRE","Private","SC475715",7,"2014-05-08",NA
"27","LANCASHIRE","Private","SC475723",9,"2014-12-18",NA
"28","LANCASHIRE","Private","SC475742",9,"2014-06-30","2016-06-30"
"29","LANCASHIRE","Private","SC475748",7,"2014-06-30",NA
"30","CROYDON","Private","SC476069",5,"2014-07-23","2018-06-16"
"31","WESTMORLAND AND FURNESS","Private","SC476083",3,"2015-03-12",NA
"32","LINCOLNSHIRE","Private","SC476185",14,"2014-06-27","2017-05-18"
"33","SEFTON","Local Authority","SC476220",4,"2014-04-10","2020-09-02"
"34","SHROPSHIRE","Private","SC476236",4,"2014-04-24",NA
"35","WARWICKSHIRE","Private","SC476249",5,"2014-06-30",NA
"36","SHROPSHIRE","Private","SC476259",4,"2014-06-20","2017-12-08"
"37","SHROPSHIRE","Private","SC476261",2,"2014-08-01","2021-05-15"
