,,Number of children looked after continuously for 12 months at 31 March 2010 ,Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15 ,"Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15  attending primary, secondary or special schools",Number of possible sessions,Number of sessions of authorised absence,Number of sessions of unauthorised absence,Number of sessions of overall absence,"Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15  attending primary, secondary or special schools classed as persistent absentees"
,ENGLAND,"44,370","29,270","25,060","7,373,720","312,576","107,859","420,435","1,140"
,NORTH EAST,"2,850","1,820","1,470","435,803","18,243","6,716","24,959",80
,NORTH WEST,"6,570","4,110","3,400","991,065","42,689","15,584","58,273",180
,YORKSHIRE AND THE HUMBER,"5,810","3,840","3,360","995,443","40,584","18,192","58,776",160
,EAST MIDLANDS,"2,570","1,680","1,450","428,935","16,875","7,816","24,691",70
,WEST MIDLANDS,"4,490","2,960","2,650","780,716","31,472","12,278","43,750",110
,EAST OF ENGLAND,"1,930","1,300","1,150","335,709","13,354","4,751","18,105",50
,LONDON,"7,130","4,780","4,090","1,199,355","51,434","14,729","66,163",160
,INNER LONDON,"2,990","2,010","1,730","507,894","21,183","5,717","26,900",60
,OUTER LONDON,"4,140","2,770","2,360","691,461","30,251","9,012","39,263",100
,SOUTH EAST,"6,730","4,490","3,860","1,143,432","48,267","13,096","61,363",150
,SOUTH WEST,"6,300","4,300","3,640","1,063,262","49,658","14,697","64,355",180

201,City of London,10,x,x,936,x,0,x,0
202,Camden,198,129,91,27147,1070,635,1705,7
203,Greenwich,390,254,203,59144,1959,601,2560,6
204,Hackney,250,152,123,36834,1635,449,2084,7
205,Hammersmith and Fulham,189,125,101,29594,1371,374,1745,x
206,Islington,223,144,121,35644,1261,442,1703,7
207,Kensington and Chelsea,110,69,59,16582,730,196,926,x
208,Lambeth,385,238,193,57905,2813,859,3672,10
209,Lewisham,331,221,194,57604,2244,1601,3845,15
210,Southwark,371,232,175,52487,2629,786,3415,11
211,Tower Hamlets,234,145,113,33256,1275,405,1680,6
212,Wandsworth,154,111,96,28670,1248,368,1616,x
213,Westminster,157,102,70,20892,713,312,1025,x
301,Barking and Dagenham,252,151,111,32721,1156,93,1249,x
302,Barnet,232,161,145,43009,2053,821,2874,10
303,Bexley,150,94,78,23430,849,194,1043,x
304,Brent,263,172,132,38628,2339,522,2861,12
305,Bromley,169,112,93,27140,1363,289,1652,6
306,Croydon,689,330,282,81790,3273,1591,4864,14
307,Ealing,268,165,128,37181,1780,400,2180,6
308,Enfield,187,132,107,31475,1503,478,1981,x
309,Haringey,358,226,187,55588,2614,1470,4084,13
310,Harrow,96,65,48,12527,622,210,832,x
311,Havering,137,88,69,20486,884,152,1036,x
312,Hillingdon,297,174,129,38311,1280,218,1498,x
313,Hounslow,238,155,129,37348,1327,902,2229,x
314,Kingston upon Thames,80,49,36,10431,508,276,784,x
315,Merton,89,46,38,11364,406,215,621,x
316,Newham,417,276,219,64730,2651,1192,3843,14
317,Redbridge,147,79,65,18847,838,293,1131,x
318,Richmond upon Thames,56,37,35,10627,659,96,755,x
319,Sutton,90,59,46,13599,581,78,659,x
320,Waltham Forest,234,151,111,32149,1289,557,1846,x
330,Birmingham,"1,550","1,010",901,259773,10392,4538,14930,48
331,Coventry,410,271,237,69019,3609,687,4296,13
332,Dudley,457,317,286,85414,3121,1081,4202,8
333,Sandwell,353,257,224,65851,2882,1083,3965,12
334,Solihull,271,167,140,42006,2236,637,2873,6
335,Walsall,373,229,203,60055,2380,625,3005,7
336,Wolverhampton,280,187,166,48228,1728,587,2315,x
340,Knowsley,242,166,142,40676,1230,877,2107,6
341,Liverpool,676,432,385,113375,4709,2766,7475,25
342,St. Helens,263,178,152,45583,1488,656,2144,x
343,Sefton,276,190,174,52464,1765,581,2346,x
344,Wirral,489,332,300,90978,3733,919,4652,8
350,Bolton,323,206,183,54292,1759,890,2649,8
351,Bury,193,116,96,28924,1314,155,1469,x
352,Manchester,"1,046",704,592,174094,8275,5454,13729,49
353,Oldham,249,166,138,41179,1684,307,1991,x
354,Rochdale,321,193,175,52324,2280,1574,3854,17
355,Salford,365,260,212,62335,2114,1122,3236,10
356,Stockport,237,164,139,41362,1695,581,2276,6
357,Tameside,254,175,163,49649,1857,1253,3110,10
358,Trafford,176,121,103,31704,1142,179,1321,x
359,Wigan,358,217,195,58722,2302,358,2660,x
370,Barnsley,182,116,102,30185,1258,425,1683,6
371,Doncaster,286,182,146,41521,2009,764,2773,6
372,Rotherham,295,187,172,50323,1850,1261,3111,11
373,Sheffield,419,257,217,63134,2648,1873,4521,16
380,Bradford,702,451,392,112244,4161,1717,5878,9
381,Calderdale,224,134,116,34664,1143,664,1807,6
382,Kirklees,380,243,210,61394,2301,538,2839,x
383,Leeds,"1,039",684,626,187211,8443,4896,13339,44
384,Wakefield,258,156,131,38056,1340,309,1649,x
390,Gateshead,194,130,121,36455,1295,207,1502,x
391,Newcastle upon Tyne,344,253,232,69582,2647,680,3327,9
392,North Tyneside,149,89,77,22683,803,167,970,x
