LA Number,,Number of looked after children attending primary schools,Number of possible sessions - primary schools,Number of sessions of authorised absence - primary schools,Number of sessions of unauthorised absence - primary schools,Number of sessions of overall absence - primary schools,Number of persistent absentees - primary schools,Number of looked after children attending secondary schools,Number of possible sessions - secondary schools,Number of sessions of authorised absence - secondary schools,Number of sessions of unauthorised absence - secondary schools,Number of sessions of overall absence - secondary schools,Number of persistent absentees - secondary schools,Number of looked after children attending special schools,Number of possible sessions - special schools,Number of sessions of authorised absence - special schools,Number of sessions of unauthorised absence - special schools,Number of sessions of overall absence - special schools,Number of persistent absentees - special schools
,England,"8,700","2,559,080","86,155","7,805","93,960",80,"13,320","3,846,241","187,478","94,891","282,369","1,000","3,520","936,613","59,073","18,613","77,686",280

,North East ,460,"136,709","4,331",115,"4,446",x,770,"228,343","9,387","4,287","13,674",50,250,"69,118","3,922","1,137","5,059",20
,North West,"1,800","536,485","17,333","1,717","19,050",10,"2,300","674,423","32,028","16,882","48,910",180,580,"161,754","8,506","3,392","11,898",40
,Yorks & the Humber ,"1,110","327,382","11,651","1,376","13,027",20,"1,520","437,971","21,670","16,984","38,654",150,310,"83,462","5,559","2,308","7,867",30
,East Midlands,520,"152,053","5,032",281,"5,313",x,810,"234,705","11,021","4,796","15,817",50,230,"63,805","4,086",773,"4,859",20
,West Midlands,"1,180","348,157","11,667","1,348","13,015",10,"1,600","459,611","22,748","10,830","33,578",120,460,"124,254","7,643","3,316","10,959",40
,East of England ,830,"242,058","8,345",567,"8,912",10,"1,440","413,023","20,475","6,876","27,351",80,360,"91,280","6,173",904,"7,077",20
,London ,"1,220","355,754","11,294","1,307","12,601",10,"2,250","640,775","29,289","15,010","44,299",150,490,"125,268","8,367","2,918","11,285",40
,Inner London,600,"174,646","5,181",734,"5,915",x,"1,040","295,393","12,849","6,100","18,949",60,220,"58,648","3,409","1,878","5,287",20
,Outer London ,630,"181,108","6,113",573,"6,686",10,"1,210","345,382","16,440","8,910","25,350",90,270,"66,620","4,958","1,040","5,998",20
