LA Number,,Number of looked after children attending primary schools,Number of permanent exclusions from primary schools,Number of pupils with at least 1 fixed period exclusion - primary  schools,Number of pupils with multiple fixed period exclusions - primary schools ,Total fixed period exclusions - primary schools,Total sessions of fixed period exclusions in primary schools ,Number of looked after children attending secondary schools,Number of permanent exclusions from secondary schools,Number of pupils with at least 1 fixed period exclusion - secondary schools,Number of pupils with multiple fixed period exclusions - secondary schools ,Total fixed period exclusions -secondary schools,Total sessions of fixed period exclusion in secondary  schools ,Number of looked after children attending special schools,Number of permanent exclusions from special schools,Number of pupils with at least 1 fixed period exclusion - special schools,Number of pupils with multiple fixed period exclusions - special schools ,Total fixed period exclusions -special schools,Total sessions of fixed period exclusion in special schools 
,England,"8,700",10,390,180,840,"3,572","13,320",80,"2,590","1,310","5,930","32,510","3,520",10,580,360,"1,800","7,561"

,North East ,460,x,20,10,40,186,780,x,110,60,270,"1,580",250,0,50,30,170,613
,North West,"1,800",x,60,30,140,545,"2,300",10,400,190,890,"4,750",560,x,90,60,270,"1,172"
,Yorks & the Humber ,"1,110",0,40,20,80,425,"1,520",10,300,140,720,"3,938",310,0,50,40,220,654
,East Midlands,520,0,30,10,60,255,810,10,190,110,490,"2,792",230,0,30,20,90,419
,West Midlands,"1,180",x,60,30,140,576,"1,600",10,340,170,750,"4,081",460,0,80,50,220,895
,East of England ,830,0,40,20,90,365,"1,440",10,270,150,620,"3,467",360,x,50,40,210,936
,London ,"1,220",10,60,30,110,461,"2,250",10,390,170,740,"4,671",490,x,80,40,170,"1,020"
,Inner London,600,x,30,20,80,275,"1,040",x,190,80,340,"2,268",220,0,40,20,90,566
,Outer London ,630,x,20,10,40,186,"1,210",10,210,90,400,"2,403",270,x,30,20,80,454
,South East,940,x,50,20,120,477,"1,560",10,360,200,930,"4,676",540,x,100,50,250,"1,029"
,South West ,640,x,40,20,70,282,"1,080",x,220,120,530,"2,555",300,x,50,40,200,823

201,City of London,0,0,0,0,0,0,x,0,x,0,x,10,0,0,0,0,0,0
202,Camden,30,0,x,x,x,x,66,0,10,x,14,89,13,0,x,x,x,38
203,Greenwich,72,0,x,x,8,71,102,0,23,10,41,211,28,x,7,x,12,58
204,Hackney,47,0,0,0,0,0,80,0,16,8,26,196,14,0,x,x,6,34
205,Hammersmith & Fulham,42,0,x,x,6,31,52,0,8,x,18,155,10,0,x,x,x,16
206,Islington,39,x,x,x,x,x,89,0,13,x,23,146,18,0,x,0,x,x
207,Kensington & Chelsea,23,0,x,0,x,x,35,0,x,x,7,24,6,0,0,0,0,0
208,Lambeth,68,x,7,x,9,50,114,x,20,8,29,166,25,0,x,x,6,31
209,Lewisham,66,0,x,x,x,14,98,x,21,8,36,231,20,0,x,x,7,105
210,Southwark,50,x,6,6,25,110,108,0,23,8,38,235,25,0,x,x,7,95
211,Tower Hamlets,36,0,x,0,x,11,71,0,10,x,16,124,15,0,x,x,x,20
212,Wandsworth,44,0,x,x,x,11,49,x,12,8,28,165,17,0,7,x,14,56
213,Westminster,21,0,x,x,x,x,37,0,x,x,8,78,8,0,x,x,6,55
301,Barking and Dagenham,41,0,x,x,x,22,52,x,x,x,7,30,13,0,0,0,0,0
302,Barnet,50,0,x,x,x,12,89,0,15,x,20,102,12,0,x,x,7,34
303,Bexley,28,0,x,0,x,x,54,0,7,x,17,110,11,0,0,0,0,0
304,Brent,36,x,x,x,x,10,87,0,20,13,51,315,16,0,x,x,x,18
305,Bromley,25,0,0,0,0,0,51,0,12,7,23,166,19,0,x,x,x,99
306,Croydon,49,0,x,x,x,16,242,x,31,9,47,297,40,0,x,x,18,77
307,Ealing,53,0,x,x,x,14,66,x,13,6,25,133,12,0,0,0,0,0
308,Enfield,45,x,x,x,x,20,53,0,7,x,19,118,12,0,x,x,13,41
309,Haringey,61,0,0,0,0,0,98,0,12,7,31,200,15,0,x,x,9,31
310,Harrow,9,0,x,x,x,11,33,x,6,x,17,144,11,0,0,0,0,0
311,Havering,24,0,0,0,0,0,44,0,6,x,12,60,6,0,x,x,x,16
312,Hillingdon,35,0,x,0,x,6,98,x,17,7,29,152,21,0,x,0,x,12
313,Hounslow,49,0,0,0,0,0,65,0,7,x,13,78,12,0,0,0,0,0
314,Kingston upon Thames,13,0,x,0,x,x,14,x,x,x,11,82,9,0,0,0,0,0
315,Merton,6,0,0,0,0,0,20,0,x,x,7,25,x,0,0,0,0,0
316,Newham,71,0,x,x,16,34,141,0,33,13,62,449,33,0,6,x,19,82
317,Redbridge,30,0,0,0,0,0,33,0,6,x,10,48,7,0,0,0,0,0
318,Richmond upon Thames,x,0,0,0,0,0,19,0,x,0,x,18,9,0,x,x,x,10
319,Sutton,10,0,0,0,0,0,29,0,x,x,x,20,9,x,x,x,6,28
320,Waltham Forest,45,0,0,0,0,0,55,0,17,10,41,294,20,0,6,x,12,61
330,Birmingham,335,x,14,7,32,149,423,x,94,46,200,1071,146,0,26,18,72,231
331,Coventry,74,0,x,x,16,21,110,x,22,10,48,228,41,0,8,x,20,79
332,Dudley,114,0,7,x,16,105,119,x,17,9,35,214,35,0,x,x,15,75
333,Sandwell,96,0,x,0,x,18,110,x,26,15,58,422,12,0,x,x,x,21
334,Solihull,26,0,0,0,0,0,61,0,14,8,34,195,9,0,x,x,9,28
335,Walsall,75,0,8,x,17,88,100,0,23,8,49,264,24,0,x,x,13,69
336,Wolverhampton,70,0,x,0,x,7,69,0,11,x,20,131,24,0,x,x,x,14
340,Knowsley,53,0,x,0,x,x,66,0,x,x,12,55,19,0,x,0,x,10
341,Liverpool,131,x,9,6,24,62,190,x,23,9,42,220,52,0,6,6,27,130
342,St Helens,81,0,x,x,8,50,52,0,8,x,14,74,12,0,x,x,x,20
343,Sefton,65,0,x,x,x,12,73,0,7,x,10,66,17,0,x,x,x,18
344,Wirral,115,0,x,x,x,8,138,0,33,20,84,387,53,0,10,6,25,158
350,Bolton,75,0,x,x,x,12,95,0,16,7,37,215,13,0,x,x,x,13
351,Bury,47,0,x,x,x,44,62,0,9,x,13,51,6,0,x,x,x,6
352,Manchester,208,0,6,x,14,46,325,x,77,41,171,805,71,0,13,7,23,73
353,Oldham,61,x,x,x,7,27,80,x,12,x,18,114,11,0,0,0,0,0
354,Rochdale,75,0,0,0,0,0,71,x,16,9,37,207,12,0,x,x,x,29
355,Salford,83,0,x,0,x,x,133,0,14,6,23,140,36,0,10,x,26,76
356,Stockport,44,0,x,x,16,50,82,x,24,12,62,335,16,0,x,0,x,x
357,Tameside,52,0,x,x,6,17,77,x,16,8,39,192,23,0,7,x,21,60
358,Trafford,52,0,0,0,0,0,43,0,10,x,19,86,15,0,0,0,0,0
359,Wigan,72,0,x,0,x,x,95,0,18,10,44,288,21,0,6,x,13,119
370,Barnsley,34,0,x,x,6,32,66,0,9,x,18,78,7,0,0,0,0,0
371,Doncaster,47,0,x,0,x,6,84,x,18,13,52,295,13,0,0,0,0,0
372,Rotherham,56,0,x,0,x,7,85,0,21,11,50,243,21,0,x,x,6,27
373,Sheffield,79,0,x,x,x,79,133,x,33,14,66,295,40,0,15,8,35,92
380,Bradford,175,0,x,x,13,57,211,x,50,21,90,524,28,0,x,0,x,x
381,Calderdale,50,0,0,0,0,0,44,x,8,x,15,48,9,0,0,0,0,0
382,Kirklees,94,0,x,0,x,10,75,0,16,8,54,371,23,0,x,x,14,32
383,Leeds,249,0,11,x,19,88,345,x,65,30,146,916,59,0,21,18,136,330
384,Wakefield,41,0,0,0,0,0,70,x,13,7,41,287,23,0,x,x,8,70
390,Gateshead,34,0,0,0,0,0,73,x,8,x,19,134,23,0,x,x,x,18
391,Newcastle upon Tyne,58,0,x,0,x,x,141,0,17,9,40,227,27,0,x,0,x,36
392,North Tyneside,24,0,x,0,x,x,33,0,x,x,x,x,16,0,x,x,14,40
393,South Tyneside,29,0,x,x,x,10,50,0,10,x,20,159,22,0,6,x,18,21
394,Sunderland,65,0,x,x,x,29,105,0,17,12,41,267,28,0,12,7,31,154
800,Bath & NE Somerset,14,0,0,0,0,0,30,0,x,0,x,x,9,0,x,x,26,68
801,City of Bristol,116,0,10,6,17,51,150,0,29,16,66,306,45,x,15,12,52,158
802,North Somerset,33,0,0,0,0,0,45,0,9,6,16,66,6,0,0,0,0,0
803,South Gloucestershire,16,0,0,0,0,0,27,0,6,x,18,107,10,0,x,0,x,x
805,Hartlepool,21,0,0,0,0,0,31,x,x,x,10,60,14,0,x,x,12,42
806,Middlesbrough,34,0,x,x,x,x,69,0,12,6,26,127,18,0,x,x,20,73
807,Redcar and Cleveland,18,0,0,0,0,0,33,0,7,x,12,41,11,0,0,0,0,0
808,Stockton on Tees,36,0,0,0,0,0,48,0,x,x,6,28,15,0,x,0,x,10
810,City of Kingston-Upon-Hull,89,0,x,x,x,14,123,0,14,x,38,195,28,0,x,x,14,63
811,East Riding of Yorkshire,46,0,x,x,10,54,69,0,17,10,64,223,9,0,0,0,0,0
812,North East Lincolnshire,19,0,0,0,0,0,35,0,x,x,x,16,9,0,0,0,0,0
813,North Lincolnshire,17,0,x,x,10,35,38,0,7,6,31,156,7,0,0,0,0,0
