LA Number,,Number KS1 boys as returned on SSDA903,Number of boys achieving level 2 in reading,Number of boys achieving level 2 in writing ,Number of boys achieving level 2 in maths,Number KS1 girls as returned on SSDA903,Number of girls achieving level 2 in reading,Number of girls achieving level 2 in writing,Number of girls achieving level 2 in maths,Number KS1 children as returned on SSDA903,Number of children achieving level 2 in reading,Number of children achieving level 2 in writing,Number of children achieving level 2 in maths
,England,790,420,350,470,620,390,370,400,1400,810,720,870

,North East ,50,30,20,30,30,30,30,30,80,50,50,50
,North West,180,100,80,110,140,80,70,80,320,170,150,190
,Yorks & the Humber ,110,60,50,60,80,50,50,50,190,110,100,120
,East Midlands,40,20,20,20,30,20,20,20,70,40,40,40
,West Midlands,100,50,50,60,100,60,60,70,200,120,110,130
,East of England ,70,40,30,50,50,30,30,30,120,70,60,80
,London ,90,60,50,60,80,50,50,60,170,110,100,120
,Inner London,50,30,20,30,40,30,30,30,90,50,50,50
,Outer London ,50,30,20,30,40,30,20,30,90,60,50,60
,South East,90,40,40,50,70,40,40,40,150,80,70,90
,South West ,70,30,30,30,40,30,20,30,110,60,50,60

201,City of London,0,0,0,0,0,0,0,0,0,0,0,0
202,Camden,x,x,x,x,x,x,x,x,x,x,x,x
203,Greenwich,6,x,x,x,8,x,x,7,14,9,9,12
204,Hackney,x,0,0,x,x,0,0,0,x,0,0,x
205,Hammersmith & Fulham,x,x,x,x,x,x,x,x,7,6,x,6
206,Islington,0,0,0,0,0,0,0,0,0,0,0,0
207,Kensington & Chelsea,x,x,x,x,x,x,0,0,x,x,x,x
208,Lambeth,10,7,x,7,x,x,x,x,15,9,7,9
209,Lewisham,x,x,x,x,x,x,x,x,7,x,x,x
210,Southwark,8,x,x,x,x,x,x,x,12,6,x,x
211,Tower Hamlets,x,x,x,x,x,x,x,x,8,6,x,7
212,Wandsworth,0,0,0,0,x,x,x,x,x,x,x,x
213,Westminster,x,x,x,x,x,x,x,x,6,x,x,x
301,Barking and Dagenham,x,x,x,x,x,x,x,x,x,x,x,x
302,Barnet,x,x,x,x,x,0,0,0,x,x,x,x
303,Bexley,x,0,0,0,x,0,0,0,x,0,0,0
304,Brent,x,0,0,0,x,x,x,x,x,x,x,x
305,Bromley,x,0,0,x,0,0,0,0,x,0,0,x
306,Croydon,6,x,x,x,x,x,x,x,8,6,x,7
307,Ealing,x,x,x,x,x,x,x,x,9,6,x,6
308,Enfield,x,x,x,x,x,x,x,x,6,x,x,x
309,Haringey,6,x,x,x,x,x,x,x,10,6,6,7
310,Harrow,x,0,0,0,0,0,0,0,x,0,0,0
311,Havering,x,x,x,x,x,0,0,x,x,x,x,x
312,Hillingdon,x,x,x,x,0,0,0,0,x,x,x,x
313,Hounslow,x,x,x,x,x,x,x,x,8,6,x,6
314,Kingston upon Thames,0,0,0,0,x,x,x,x,x,x,x,x
315,Merton,0,0,0,0,x,x,x,x,x,x,x,x
316,Newham,x,x,x,x,x,x,x,x,8,x,x,6
317,Redbridge,x,x,x,x,x,x,x,x,x,x,x,x
318,Richmond upon Thames,x,x,x,x,x,x,x,x,x,x,x,x
319,Sutton,x,x,x,x,x,x,0,0,x,x,x,x
320,Waltham Forest,6,x,x,x,x,x,x,x,8,x,x,6
330,Birmingham,29,16,15,19,25,16,16,17,54,32,31,36
331,Coventry,7,x,x,x,9,x,x,x,16,7,x,8
332,Dudley,9,x,x,6,11,7,7,6,20,12,12,12
333,Sandwell,x,x,x,x,6,x,x,x,11,6,6,7
334,Solihull,x,x,x,x,x,x,x,x,7,x,x,6
335,Walsall,11,x,x,x,x,x,x,x,16,6,x,6
336,Wolverhampton,9,x,x,x,6,x,x,x,15,10,10,10
340,Knowsley,8,x,0,x,9,x,x,x,17,7,x,8
341,Liverpool,11,9,8,8,16,8,7,11,27,17,15,19
342,St Helens,7,x,x,x,x,x,x,x,11,6,x,x
343,Sefton,x,x,x,x,x,x,x,x,7,x,x,6
344,Wirral,16,9,8,12,9,x,x,x,25,14,11,16
350,Bolton,6,x,x,x,x,x,x,x,10,x,6,7
351,Bury,x,x,x,x,x,x,x,x,7,x,x,x
