LA Number,,Number KS2 boys as returned on SSDA903,Number of Key Stage 2 boys participating,Number of boys achieving level 4 in English,Number of boys achieving level 4 in Maths,Number of boys achieving level 4 in both English and maths,Number of boys achieving level 4 in science teacher assessments,Number KS2 girls as returned on SSDA903,Number of Key Stage 2 girls participating,Number of girls achieving level 4 in English,Number of girls achieving level 4 in Maths,Number of girls achieving level 4 in both English and maths,Number of girls achieving level 4 in science teacher assessments,Number KS2 children as returned on SSDA903,Number of Key Stage 2 children participating,Number of children achieving level 4 in English,Number of children achieving level 4 in Maths,Number of children achieving level 4 in both English and maths,Number of children achieving level 4 in science teacher assessments
,England,"1,380","1,030",420,460,360,540,"1,060",760,400,330,290,400,"2,440","1,790",810,790,650,940

,North East ,70,40,20,20,20,20,50,30,20,20,10,20,120,80,40,40,30,40
,North West,290,190,90,90,80,100,210,150,90,80,70,90,500,340,180,170,150,190
,Yorks & the Humber ,180,120,40,50,40,60,130,90,40,40,30,40,310,210,90,90,70,100
,East Midlands,90,60,20,20,10,30,60,40,20,20,10,20,150,110,40,40,30,60
,West Midlands,160,120,50,50,40,60,140,90,40,40,40,50,300,210,90,90,70,110
,East of England ,140,120,60,60,50,60,110,100,60,40,30,60,250,220,110,90,80,120
,London ,200,150,70,70,60,80,150,110,50,40,40,50,350,260,120,120,90,130
,Inner London,110,90,40,40,30,50,60,40,20,20,10,20,170,130,60,60,50,60
,Outer London ,90,60,30,30,20,40,90,60,30,30,20,30,180,130,60,60,50,70
,South East,160,130,40,50,40,70,120,100,50,40,30,40,280,230,90,90,70,110
,South West ,100,90,40,40,30,50,80,60,30,20,10,30,190,150,60,60,50,80

201,City of London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Camden,9,8,x,x,x,x,x,x,x,0,0,0,10,9,x,x,x,x
203,Greenwich,8,7,x,x,x,x,12,8,x,x,x,x,20,15,8,9,8,8
204,Hackney,7,x,x,x,x,x,7,x,x,x,x,x,14,9,6,6,x,7
205,Hammersmith & Fulham,x,x,0,0,0,0,x,x,x,x,x,x,9,6,x,x,x,x
206,Islington,9,8,x,x,x,x,8,7,x,x,x,x,17,15,7,8,7,8
207,Kensington & Chelsea,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,x,x,x
208,Lambeth,16,13,8,9,7,9,8,8,x,x,x,x,24,21,11,10,8,11
209,Lewisham,14,12,x,x,x,6,x,x,x,x,x,x,17,14,x,6,x,8
210,Southwark,16,12,7,6,6,x,x,x,x,0,0,x,20,15,9,6,6,6
211,Tower Hamlets,10,7,x,x,x,x,x,x,0,0,0,0,13,8,x,x,x,x
212,Wandsworth,x,x,0,x,0,x,x,x,0,0,0,0,x,x,0,x,0,x
213,Westminster,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
301,Barking and Dagenham,6,x,0,0,0,0,8,x,0,0,0,0,14,7,0,0,0,0
302,Barnet,8,x,x,x,x,x,x,x,0,x,0,x,10,x,x,x,x,x
303,Bexley,x,x,x,x,x,x,6,6,x,x,0,x,11,9,x,x,x,x
304,Brent,x,x,x,x,x,x,13,10,x,x,x,x,18,14,x,x,x,6
305,Bromley,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
306,Croydon,6,x,x,x,x,x,8,7,6,6,x,6,14,10,8,8,7,8
307,Ealing,9,7,x,x,x,x,6,6,x,x,x,x,15,13,8,7,7,7
308,Enfield,x,x,x,x,x,x,8,x,x,x,x,x,13,9,x,x,x,x
309,Haringey,7,x,0,0,0,0,8,x,x,x,x,x,15,x,x,x,x,x
310,Harrow,x,x,0,0,0,0,x,x,0,0,0,0,x,x,0,0,0,0
311,Havering,x,x,x,0,0,x,x,x,x,0,0,x,6,x,x,0,0,x
312,Hillingdon,x,x,0,0,0,0,x,x,x,x,x,x,7,6,x,x,x,x
313,Hounslow,x,x,0,x,0,x,x,x,x,x,x,x,10,7,x,x,x,6
314,Kingston upon Thames,x,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x,x,x
315,Merton,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x
316,Newham,12,9,x,x,x,6,9,8,x,x,x,x,21,17,7,7,x,9
317,Redbridge,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x
318,Richmond upon Thames,x,x,0,x,0,x,0,0,0,0,0,0,x,x,0,x,0,x
319,Sutton,x,x,x,x,x,x,x,0,0,0,0,0,x,x,x,x,x,x
320,Waltham Forest,9,7,x,x,x,x,x,x,x,x,x,x,12,8,x,x,x,x
330,Birmingham,48,33,19,16,15,23,43,23,14,16,13,15,91,56,33,32,28,38
331,Coventry,10,9,x,6,x,6,7,6,x,x,x,x,17,15,x,9,x,7
