LA Number,,Number KS4 boys as returned on SSDA903,Number of boys entered for at least one GCSE or equivalent,Number of boys entered for at least five GCSEs or equivalent,Number of boys achieving any pass at GCSE or equivalent,Number of boys achieving 1 or more GCSEs or equivalent at grade A* to G ,Number of boys achieving 5 or more GCSEs or equivalent at grades A* to G ,Number of boys achieving 5 or more GCSEs or equivalent at grades A* to C ,Number of boys achieving 5 or more GCSEs at grades A*-C including English & mathematics,Number KS4 girls as returned on SSDA903,Number of girls entered for at least one GCSE or equivalent,Number of girls entered for at least five GCSEs or equivalent,Number of girls achieving any pass at GCSE or equivalent,Number of girls achieving 1 or more GCSEs or equivalent at grade A* to G ,Number of girls achieving 5 or more GCSEs or equivalent at grades A* to G ,Number of girls achieving 5 or more GCSEs or equivalent at grades A* to C ,Number of girls achieving 5 or more GCSEs at grades A*-C including English & mathematics,Number KS4 children as returned on SSDA903,Number of children entered for at least one GCSE or equivalent,Number of children entered for at least five GCSEs or equivalent,Number of children achieving any pass at GCSE or equivalent,Number of children achieving 1 or more GCSEs or equivalent at grade A* to G ,Number of children achieving 5 or more GCSEs or equivalent at grades A* to G ,Number of children achieving 5 or more GCSEs or equivalent at grades A* to C ,Number of children achieving 5 or more GCSEs at grades A*-C including English & mathematics
,England,"3,020","2,180","1,610","2,200","2,020","1,330",680,300,"2,070","1,770","1,390","1,770","1,670","1,240",650,300,"5,090","3,950","3,000","3,970","3,690","2,570","1,330",590

,North East ,130,110,90,120,110,70,40,20,110,100,80,100,100,80,50,20,240,210,170,210,210,150,90,40
,North West,470,360,280,360,340,240,110,50,340,300,240,300,280,220,120,40,800,660,530,660,620,450,230,90
,Yorks & the Humber ,280,230,160,230,210,140,80,40,220,180,140,180,170,120,70,30,500,410,300,410,380,260,160,70
,East Midlands,210,140,100,140,130,80,30,10,150,120,100,120,110,90,40,10,350,260,200,260,240,160,70,20
,West Midlands,350,270,210,270,240,170,90,40,260,220,170,220,200,150,80,40,610,480,380,490,440,320,170,80
,East of England ,330,240,170,240,220,140,50,20,210,190,140,190,170,130,70,40,540,430,310,430,390,360,120,60
,London ,580,400,300,400,370,260,160,70,360,290,230,300,280,210,110,60,940,690,520,690,650,470,270,130
,Inner London,230,160,110,160,140,100,70,30,180,150,120,150,150,110,60,30,410,310,230,310,290,200,120,60
,Outer London ,350,240,190,240,230,160,100,40,180,140,110,140,130,100,60,30,530,380,300,390,360,260,150,80
,South East,420,260,190,270,250,150,80,40,260,220,170,220,200,150,70,30,680,480,350,480,450,300,150,70
,South West ,250,170,120,180,160,90,40,20,180,150,120,150,150,100,40,30,430,330,230,330,310,190,70,40

201,City of London,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x,0
202,Camden,18,8,x,7,7,x,x,0,14,12,9,12,12,8,x,x,32,20,14,19,19,12,8,x
203,Greenwich,32,22,15,21,19,12,7,x,25,22,13,22,21,13,x,x,57,44,28,43,40,25,12,10
204,Hackney,20,16,10,16,13,10,6,x,10,8,7,8,8,6,x,x,30,24,17,24,21,16,10,8
205,Hammersmith & Fulham,7,x,x,x,x,x,x,0,14,11,7,10,10,7,x,x,21,15,10,14,14,10,7,x
206,Islington,15,14,11,14,14,8,x,x,9,10,8,10,10,7,x,x,24,24,19,24,24,15,6,x
207,Kensington & Chelsea,x,x,x,x,x,x,x,x,8,7,6,7,6,6,x,x,12,10,8,10,9,8,x,x
208,Lambeth,15,12,9,12,11,9,7,x,26,19,15,19,19,14,x,0,41,31,24,31,30,23,10,x
209,Lewisham,23,15,13,14,14,12,8,x,21,20,18,20,20,14,x,x,44,35,31,34,34,26,13,6
210,Southwark,33,23,17,24,23,13,9,x,18,13,11,13,13,10,8,x,51,36,28,37,36,23,17,7
211,Tower Hamlets,15,9,6,9,8,x,x,x,12,10,7,10,8,6,x,x,27,19,13,19,16,11,8,x
212,Wandsworth,9,8,8,8,8,7,x,x,8,8,x,8,8,x,x,x,17,16,13,16,16,12,x,x
213,Westminster,8,x,x,x,x,x,x,0,7,6,x,6,6,x,x,x,15,8,6,8,8,6,x,x
301,Barking and Dagenham,18,9,7,10,8,6,x,x,x,x,x,x,x,x,x,x,23,13,11,14,12,8,x,x
302,Barnet,17,15,13,15,14,10,x,x,8,7,6,7,7,6,x,x,25,22,19,22,21,16,9,x
303,Bexley,13,8,x,8,8,x,x,x,7,6,6,6,6,6,x,x,20,14,11,14,14,10,x,x
304,Brent,26,12,10,12,12,9,8,6,14,11,9,11,10,9,x,x,40,23,19,23,22,18,11,9
305,Bromley,12,9,9,9,8,8,x,x,x,x,x,x,x,x,x,0,16,11,11,12,10,10,x,x
306,Croydon,95,82,65,83,76,62,43,10,15,11,9,12,11,9,x,x,110,93,74,95,87,71,48,12
307,Ealing,14,8,6,8,8,x,x,x,12,11,9,11,11,8,7,x,26,19,15,19,19,13,10,x
308,Enfield,14,11,9,10,10,9,x,x,9,7,x,7,7,x,x,0,23,18,14,17,17,14,x,x
309,Haringey,28,19,13,20,17,11,10,6,17,12,7,12,12,6,x,x,45,31,20,32,29,17,15,9
310,Harrow,11,8,6,7,6,x,x,x,6,6,x,6,x,x,x,x,17,14,9,13,10,7,x,x
311,Havering,6,x,x,x,x,x,x,x,7,x,x,6,6,x,x,x,13,8,7,9,9,7,x,x
312,Hillingdon,27,16,12,15,15,10,8,7,11,6,x,6,x,x,x,x,38,22,16,21,20,14,12,9
313,Hounslow,15,9,7,10,10,x,x,0,13,8,7,8,7,7,x,x,28,17,14,18,17,10,6,x
314,Kingston upon Thames,x,x,x,x,x,x,x,0,6,x,x,x,x,x,x,0,11,x,x,x,x,x,x,0
315,Merton,6,x,x,x,x,x,x,0,6,x,x,x,x,x,x,0,12,10,8,10,8,6,x,0
316,Newham,31,21,13,23,19,11,6,x,17,17,11,17,16,11,x,x,48,38,24,40,35,22,11,7
317,Redbridge,9,6,x,6,6,x,x,x,7,6,6,6,6,6,x,x,16,12,11,12,12,11,x,x
318,Richmond upon Thames,x,x,x,x,x,x,0,0,x,x,x,x,x,x,x,x,8,7,x,7,7,x,x,x
319,Sutton,10,7,x,7,7,x,x,x,6,x,x,x,x,x,x,0,16,12,8,12,11,6,x,x
320,Waltham Forest,18,8,x,8,6,x,x,0,15,11,8,11,10,8,x,x,33,19,12,19,16,11,x,x
330,Birmingham,76,55,49,54,52,43,23,10,75,59,39,61,53,33,18,7,151,114,88,115,105,76,41,17
