LA Number,,Primary schools - no SEN ,Primary schools - School Action,Primary schools - School Action Plus ,Primary - Statement of SEN ,Secondary schools - no SEN ,Secondary schools - School Action,Secondary schools - School Action Plus ,Secondary - Statement of SEN ,Special schools - no SEN ,Special schools - School Action,Special schools - School Action Plus ,Special schools - Statement of SEN ,Alternative provision - no SEN ,Alternative provision - School Action,Alternative provision - School Action Plus ,Alternative provision - Statement of SEN ,Pupil referral units - no SEN ,Pupil referral units - School Action,Pupil referral units - School Action Plus ,Pupil referral units - Statement of SEN 
,England,"3,160","1,770","2,790","1,140","4,150","2,150","4,640","1,840",0,x,20,"3,400",160,20,120,"1,760",120,30,280,140

,North East ,180,90,150,50,260,150,280,90,0,0,x,240,x,x,10,80,x,0,20,x
,North West,740,390,560,220,760,390,720,290,0,x,10,580,40,x,20,270,20,10,40,20
,Yorks & the Humber ,430,250,370,120,440,250,510,190,0,x,0,300,10,x,10,160,10,x,30,20
,East Midlands,160,100,200,90,220,120,370,140,0,0,x,230,x,x,10,80,10,0,20,10
,West Midlands,520,250,340,140,580,300,470,250,0,0,x,480,30,x,20,160,10,x,40,20
,East of England ,280,160,240,130,460,190,490,230,0,0,x,340,20,x,10,250,10,x,30,10
,London ,400,200,410,180,670,320,820,290,0,0,x,440,20,x,30,360,30,x,60,20
,Inner London,190,90,190,90,300,160,390,150,0,0,0,200,10,x,10,150,20,x,30,10
,Outer London ,210,110,220,90,370,170,430,140,0,0,x,240,20,x,20,210,10,x,20,10
,South East,270,200,350,100,440,250,630,180,0,0,x,510,20,x,10,260,20,x,30,20
,South West ,180,140,190,100,330,190,360,180,0,0,x,280,10,x,10,150,10,10,20,20

201,City of London,0,0,x,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Camden,14,6,7,x,19,7,18,x,0,0,0,13,x,0,x,19,0,0,x,x
203,Greenwich,44,7,24,8,30,17,37,8,0,0,0,28,x,0,x,11,0,x,x,0
204,Hackney,12,6,10,9,26,10,26,14,0,0,0,10,0,0,0,8,x,0,x,x
205,Hammersmith & Fulham,13,13,10,6,14,9,15,12,0,0,0,9,0,0,0,10,0,0,x,x
206,Islington,16,6,10,x,24,12,23,11,0,0,0,13,x,0,0,10,x,x,x,x
207,Kensington & Chelsea,6,0,x,0,19,7,13,x,0,0,0,7,0,0,0,9,0,0,x,0
208,Lambeth,24,14,26,8,27,19,42,11,0,0,0,22,x,0,0,0,6,0,x,x
209,Lewisham,12,10,28,11,39,12,50,15,0,0,0,17,x,x,x,12,x,0,x,x
210,Southwark,17,x,11,10,33,19,40,17,0,0,0,24,0,x,0,19,x,0,x,x
211,Tower Hamlets,13,x,9,9,18,9,23,13,0,0,0,15,0,0,0,17,0,0,x,x
212,Wandsworth,6,x,16,6,10,11,22,13,0,0,0,10,0,0,0,x,x,0,6,0
213,Westminster,14,x,x,x,10,8,11,x,0,0,0,8,0,0,x,8,0,0,0,0
301,Barking and Dagenham,16,13,14,7,15,11,22,x,0,0,0,9,0,x,x,13,0,0,x,0
302,Barnet,8,8,16,10,17,9,45,21,0,0,0,11,x,0,0,9,0,0,x,0
303,Bexley,x,x,13,x,9,6,23,x,0,0,0,9,x,0,x,9,0,0,x,0
304,Brent,8,x,11,x,35,10,32,12,0,0,0,15,0,0,x,10,x,0,x,0
305,Bromley,8,x,9,x,12,7,25,7,0,0,0,19,0,0,0,21,0,0,0,0
306,Croydon,13,10,23,6,109,27,49,13,0,0,0,32,x,0,0,19,x,0,x,x
307,Ealing,13,6,26,12,12,15,28,6,0,0,0,10,0,0,x,13,x,0,x,x
308,Enfield,19,x,14,x,7,8,29,12,0,0,0,11,x,x,0,9,0,0,0,0
309,Haringey,25,10,21,9,27,12,47,16,0,0,0,20,x,0,x,16,x,0,x,x
310,Harrow,x,x,x,0,12,x,11,x,0,0,0,14,x,0,x,8,x,0,x,0
311,Havering,10,8,7,0,15,6,13,6,0,0,0,x,x,0,0,9,x,x,0,0
312,Hillingdon,12,x,8,x,44,15,18,x,0,0,0,17,0,0,x,20,0,x,0,x
313,Hounslow,11,14,17,9,16,13,25,11,0,0,0,13,0,0,x,9,0,0,x,x
314,Kingston upon Thames,6,x,x,x,6,x,x,x,0,0,0,9,0,0,0,x,0,0,x,0
315,Merton,x,x,x,x,x,x,10,x,0,0,0,x,0,0,0,x,0,0,x,0
316,Newham,20,10,26,7,32,20,57,17,0,0,0,30,x,0,0,19,x,0,x,0
317,Redbridge,10,9,7,x,8,x,15,x,0,0,0,6,x,0,0,6,0,0,x,0
