LA Number,,Possible number of Sessions 2007,Authorised absence 2007,Unauthorised absence 2007,Overall absence 2007,Persistent absentees 2007,Possible number of Sessions 2008,Authorised absence 2008,Unauthorised absence 2008,Overall absence 2008,Persistent absentees 2008,Possible number of Sessions 2009,Authorised absence 2009,Unauthorised absence 2009,Overall absence 2009,Persistent absentees 2009,Possible number of Sessions 2010,Authorised absence 2010,Unauthorised absence 2010,Overall absence 2010,Persistent absentees 2010,Possible number of Sessions 2011,Authorised absence 2011,Unauthorised absence 2011,Overall absence 2011,Persistent absentees 2011
E,England,7826914,418824,138353,557177,1932,7713180,369232,130800,500032,1615,7558735,344041,124324,468365,1394,7633559,327987,115098,443085,1229,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,North East ,447177,21191,6291,27482,85,436356,19426,5193,24619,68,437700,17855,5566,23421,66,443487,16888,5166,22054,54,0,0,0,0,0
NW,North West,1426025,75477,30187,105664,382,1425615,65967,25190,91157,290,1400096,59283,22402,81685,228,1420142,55862,23329,79191,218,0,0,0,0,0
YH,Yorks & the Humber ,891243,47765,23859,71624,282,885385,44064,23463,67527,249,862510,39479,20818,60297,201,856135,35767,16449,52216,146,0,0,0,0,0
EM,East Midlands,494632,27244,6958,34202,120,473803,21881,5823,27704,87,458821,20300,5913,26213,72,492635,20291,5633,25924,57,0,0,0,0,0
WM,West Midlands,950702,51104,14403,65507,221,959624,44053,13320,57373,179,948910,42748,15714,58462,175,988021,41951,13485,55436,147,0,0,0,0,0
EE,East of England ,796685,45156,8944,54100,165,776252,39368,9573,48941,152,752173,35550,8460,44010,116,751653,34152,10103,44255,115,0,0,0,0,0
L,London ,1236242,61277,21400,82677,267,1209107,54180,21861,76041,236,1154621,50823,19806,70629,205,1129393,49342,19029,68371,217,0,0,0,0,0
IL,Inner London,620518,30775,11521,42296,141,582150,24667,10363,35030,103,547961,22763,8784,31547,88,533953,23442,10232,33674,111,0,0,0,0,0
OL,Outer London ,615724,30502,9879,40381,126,626957,29513,11498,41011,133,606660,28060,11022,39082,117,595440,25900,8797,34697,106,0,0,0,0,0
SE,South East,903723,52467,16697,69164,249,879980,46514,14716,61230,205,876655,44692,15972,60664,204,880041,43038,13698,56736,174,0,0,0,0,0
SW,South West ,680485,37143,9614,46757,161,667058,33779,11661,45440,149,667249,33311,9673,42984,127,672052,30696,8206,38902,101,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
201,City of London,0,0,0,0,0,x,x,x,x,0,x,x,x,x,0,x,x,0,x,0,0,0,0,0,0
202,Camden,39292,2210,603,2813,9,34507,1828,577,2405,9,31133,1470,551,2021,x,27686,1356,644,2000,8,0,0,0,0,0
203,Greenwich,51501,2952,1457,4409,17,53173,2419,1010,3429,13,59936,2396,882,3278,8,61210,2089,706,2795,8,0,0,0,0,0
204,Hackney,53717,2404,1029,3433,11,50346,1817,498,2315,x,41441,1646,678,2324,8,37359,1790,536,2326,8,0,0,0,0,0
205,Hammersmith & Fulham,37283,2328,878,3206,9,34097,1688,662,2350,6,32265,1584,577,2161,8,30044,1403,449,1852,x,0,0,0,0,0
206,Islington,47738,1751,360,2111,7,44978,1567,721,2288,10,41627,1268,472,1740,x,35602,1277,518,1795,8,0,0,0,0,0
207,Kensington & Chelsea,21243,940,387,1327,x,19197,913,161,1074,x,18318,603,234,837,x,16890,747,196,943,x,0,0,0,0,0
208,Lambeth,69013,4290,1026,5316,21,62172,2791,1089,3880,11,63553,3355,1331,4686,14,59791,2913,921,3834,10,0,0,0,0,0
209,Lewisham,49380,2630,1378,4008,12,50354,1586,896,2482,6,52563,1929,902,2831,7,59174,2327,1607,3934,15,0,0,0,0,0
210,Southwark,69136,3954,2042,5996,23,64484,3439,1856,5295,17,56652,2652,1290,3942,13,54694,2632,1232,3864,14,0,0,0,0,0
211,Tower Hamlets,40531,1694,585,2279,6,37983,1551,595,2146,x,37647,1458,644,2102,x,35967,1376,462,1838,6,0,0,0,0,0
