LA Number,,Number eligible for full-time schooling 2007,Number permanently excluded 2007,Number with at least one fixed exclusion 2007,Number eligible for full-time schooling 2008,Number permanently excluded 2008,Number with at least one fixed exclusion 2008,Number eligible for full-time schooling 2009,Number permanently excluded 2009,Number with at least one fixed exclusion 2009,Number eligible for full-time schooling 2010,Number permanently excluded 2010,Number with at least one fixed exclusion 2010,,,
E,England,30728,150,3996,30109,122,3839,29099,101,3613,29239,74,3430,,,
,,,,,,,,,,,,,,,,
NE,North East ,1655,x,193,1639,7,204,1610,x,184,1618,9,173,,,
NW,North West,5563,14,672,5517,22,628,5319,16,556,5327,12,514,,,
YH,Yorks & the Humber ,3375,6,484,3340,10,434,3249,11,401,3242,x,365,,,
EM,East Midlands,1911,14,266,1847,17,258,1747,7,257,1855,7,237,,,
WM,West Midlands,3820,23,474,3805,18,468,3683,13,488,3803,11,472,,,
EE,East of England ,3132,17,431,3084,11,398,2985,8,362,2983,8,358,,,
L,London ,5260,37,588,5037,19,580,4770,20,552,4650,17,549,,,
IL,Inner London,2638,17,287,2418,12,294,2243,9,280,2174,14,286,,,
OL,Outer London ,2622,20,301,2619,7,286,2527,11,272,2476,x,263,,,
SE,South East,3680,19,520,3543,15,524,3462,14,504,3489,x,452,,,
SW,South West ,2332,15,368,2297,x,345,2274,7,309,2272,x,310,,,
,,,,,,,,,,,,,,,,
201,City of London,x,0,0,x,0,0,x,0,x,x,0,0,,,
202,Camden,170,x,19,148,0,20,137,0,15,130,x,7,,,
203,Greenwich,229,x,23,239,0,30,251,x,34,254,0,26,,,
204,Hackney,211,x,17,198,0,22,170,0,22,151,x,23,,,
205,Hammersmith & Fulham,172,x,22,150,x,23,141,x,18,124,x,15,,,
206,Islington,191,x,21,180,x,21,160,x,15,144,0,17,,,
207,Kensington & Chelsea,89,0,7,83,x,8,74,0,x,69,x,9,,,
208,Lambeth,277,x,29,249,x,32,252,x,32,237,x,36,,,
209,Lewisham,222,0,18,212,x,19,209,x,30,221,0,30,,,
210,Southwark,302,x,32,273,x,34,234,x,37,230,x,40,,,
211,Tower Hamlets,167,0,19,155,0,23,151,0,17,145,0,18,,,
212,Wandsworth,148,x,20,124,0,12,120,x,21,109,0,11,,,
213,Westminster,128,x,17,104,x,7,97,0,8,102,0,11,,,
301,Barking and Dagenham,138,x,13,139,0,9,140,x,7,150,0,10,,,
302,Barnet,188,0,28,184,0,21,169,0,20,160,0,25,,,
303,Bexley,116,x,12,111,0,15,103,0,8,95,0,7,,,
304,Brent,189,x,26,174,0,22,169,x,23,172,0,16,,,
305,Bromley,134,0,12,135,0,13,115,0,17,113,0,13,,,
306,Croydon,299,x,32,381,x,33,382,x,41,336,0,25,,,
307,Ealing,191,x,15,187,0,21,165,x,15,163,x,17,,,
308,Enfield,143,x,21,136,0,15,129,x,13,133,0,18,,,
309,Haringey,219,x,23,217,0,24,205,0,15,229,x,32,,,
310,Harrow,75,0,12,67,x,7,63,x,7,64,0,12,,,
311,Havering,99,x,12,91,x,11,91,0,8,88,x,13,,,
312,Hillingdon,242,x,20,220,0,23,197,x,22,175,x,24,,,
313,Hounslow,151,0,20,156,0,14,147,0,7,155,0,13,,,
314,Kingston upon Thames,36,0,x,38,0,x,43,x,7,49,0,x,,,
315,Merton,47,0,8,44,0,7,42,0,x,46,0,7,,,
316,Newham,339,x,43,321,x,49,290,0,45,279,x,37,,,
317,Redbridge,71,0,8,80,x,10,84,0,7,79,0,10,,,
318,Richmond upon Thames,39,0,x,41,0,x,37,0,x,37,0,7,,,
319,Sutton,69,x,14,54,0,9,55,x,x,59,0,x,,,
320,Waltham Forest,166,x,19,142,0,20,145,0,24,148,0,14,,,
330,Birmingham,1046,8,131,1029,6,135,991,x,134,1002,x,124,,,
331,Coventry,273,0,31,269,0,41,266,x,32,271,0,36,,,
332,Dudley,270,x,34,297,x,33,297,x,29,316,x,39,,,
333,Sandwell,306,x,39,287,x,37,252,x,33,255,x,41,,,
334,Solihull,122,x,15,131,x,12,128,0,15,165,0,15,,,
335,Walsall,262,0,30,238,0,30,227,0,36,228,0,33,,,
336,Wolverhampton,185,0,21,187,0,16,177,0,16,188,0,17,,,
340,Knowsley,164,0,14,160,x,12,167,0,x,165,0,15,,,
341,Liverpool,499,0,41,461,x,46,416,x,38,434,x,40,,,
342,St Helens,152,0,17,162,0,14,165,0,14,178,0,11,,,
343,Sefton,165,0,6,168,0,13,173,0,11,190,0,19,,,
344,Wirral,373,x,51,368,0,42,341,0,45,331,0,39,,,
350,Bolton,213,x,27,200,x,27,207,0,20,206,x,16,,,
351,Bury,158,0,11,160,0,14,140,0,11,116,0,13,,,
352,Manchester,782,x,115,758,6,111,704,x,101,697,x,86,,,
353,Oldham,188,0,31,200,x,18,172,x,14,166,x,12,,,
354,Rochdale,162,0,22,177,x,22,181,x,20,192,0,20,,,
355,Salford,322,x,37,316,x,29,290,0,27,258,x,24,,,
356,Stockport,180,0,28,179,x,32,167,x,31,162,x,21,,,
357,Tameside,195,x,30,175,0,24,174,x,27,175,0,28,,,
358,Trafford,106,0,17,113,x,14,125,0,10,121,0,9,,,
359,Wigan,210,x,32,201,0,25,200,0,27,214,0,16,,,
370,Barnsley,142,0,13,133,0,13,122,0,12,116,0,13,,,
371,Doncaster,215,x,28,190,x,27,173,x,20,181,x,23,,,
372,Rotherham,166,0,33,181,x,32,171,0,28,186,0,19,,,
373,Sheffield,314,0,61,311,0,60,284,x,50,256,0,37,,,
380,Bradford,451,0,56,458,x,53,462,x,57,451,0,43,,,
381,Calderdale,118,0,20,123,0,11,115,x,8,134,0,10,,,
382,Kirklees,167,x,29,188,0,26,217,0,20,244,0,29,,,
383,Leeds,705,x,98,707,0,96,702,x,99,682,x,76,,,
384,Wakefield,185,0,30,158,0,21,146,x,18,156,0,22,,,
390,Gateshead,145,0,7,151,0,13,141,x,10,130,0,7,,,
391,Newcastle upon Tyne,248,0,24,240,x,22,244,0,23,254,0,26,,,
392,North Tyneside,101,0,19,105,0,9,94,0,9,89,0,x,,,
393,South Tyneside,124,0,11,121,0,20,115,0,17,123,0,8,,,
394,Sunderland,235,0,28,225,0,27,206,0,32,196,x,27,,,
800,Bath & NE Somerset,63,0,13,55,0,8,61,0,x,69,0,12,,,
801,City of Bristol,323,0,50,343,0,56,348,x,54,328,0,43,,,
802,North Somerset,76,0,11,81,0,11,89,0,9,102,0,17,,,
803,South Gloucestershire,69,0,17,75,0,13,70,0,7,75,0,8,,,
805,Hartlepool,74,0,8,66,0,7,71,x,6,72,0,x,,,
806,Middlesbrough,133,x,18,132,x,24,132,0,19,151,x,18,,,
807,Redcar and Cleveland,74,0,10,69,0,12,69,0,7,63,x,10,,,
808,Stockton on Tees,97,0,9,105,0,10,107,0,x,104,0,10,,,
810,City of Kingston-Upon-Hull,295,0,37,272,x,34,260,0,21,255,x,30,,,
811,East Riding of Yorkshire,139,x,29,144,x,22,134,0,22,132,0,17,,,
812,North East Lincolnshire,76,0,8,71,0,x,72,0,x,51,0,x,,,
813,North Lincolnshire,85,0,9,81,0,6,72,0,11,79,0,14,,,
815,North Yorkshire,238,x,22,235,x,14,230,x,17,211,0,18,,,
816,York,79,x,11,88,x,14,89,x,16,108,0,12,,,
821,Luton,220,x,30,209,x,28,204,x,22,188,0,22,,,
822,Bedford Borough,.,.,.,.,.,.,76,0,19,70,x,11,,,
823,Central Bedfordshire,.,.,.,.,.,.,63,x,8,66,0,10,,,
825,Buckinghamshire,149,0,20,149,0,15,132,x,16,140,0,11,,,
826,Milton Keynes,120,0,8,107,x,12,86,0,x,98,0,7,,,
830,Derbyshire,268,6,43,258,x,39,262,0,46,259,0,48,,,
831,Derby,212,x,31,212,x,25,216,x,35,226,0,17,,,
835,Dorset,134,0,11,130,0,22,131,0,8,120,0,13,,,
836,Poole,74,0,14,61,0,x,60,0,7,65,0,x,,,
837,Bournemouth,84,0,12,69,0,6,74,0,6,80,0,9,,,
840,Durham,185,x,27,197,x,33,212,x,40,222,x,35,,,
841,Darlington,74,0,x,68,0,8,72,0,8,69,x,11,,,
845,East Sussex,254,0,48,253,0,38,256,x,34,248,0,28,,,
846,Brighton & Hove,176,0,31,183,0,34,167,0,29,159,x,28,,,
850,Hampshire,547,x,77,510,x,63,531,0,82,539,0,59,,,
851,Portsmouth,152,0,27,141,x,25,134,0,22,134,0,20,,,
852,Southampton,144,0,26,136,0,31,119,0,29,125,0,21,,,
855,Leicestershire,168,x,29,157,x,26,134,0,19,130,x,16,,,
856,Leicester City,224,0,34,218,0,31,193,0,32,226,x,28,,,
857,Rutland,8,0,x,8,0,x,6,0,0,9,0,0,,,
860,Staffordshire,340,x,39,344,0,44,334,x,47,343,x,36,,,
861,Stoke,225,x,29,236,x,26,213,x,27,192,0,24,,,
865,Wiltshire,154,0,28,164,0,27,171,x,28,169,0,18,,,
866,Swindon,122,0,22,115,0,13,130,x,9,122,x,16,,,
867,Bracknell Forest,43,0,9,39,0,9,36,0,8,34,0,8,,,
868,Royal Borough of Windsor & Maidenhead,35,0,x,37,0,x,31,0,x,39,0,x,,,
869,West Berkshire,50,x,6,49,0,x,43,0,6,49,0,6,,,
870,Reading,98,0,9,106,0,14,93,x,11,87,0,13,,,
871,Slough,47,0,x,41,0,x,43,0,7,61,0,x,,,
872,Wokingham,31,x,9,25,0,6,25,x,7,32,0,x,,,
873,Cambridgeshire,186,0,17,191,x,22,199,x,20,218,x,27,,,
874,City of Peterborough,196,x,14,188,0,18,170,x,20,172,x,18,,,
876,Halton,94,0,8,99,0,6,86,x,x,78,0,8,,,
877,Warrington,107,0,14,115,0,17,118,0,12,121,0,11,,,
878,Devon,317,x,64,297,0,57,277,0,52,269,0,47,,,
879,City of Plymouth,207,x,23,195,0,22,193,x,24,180,x,24,,,
880,Torbay,94,0,7,91,0,8,93,0,8,95,0,10,,,
881,Essex,726,8,118,686,x,95,715,0,83,710,x,71,,,
882,Southend,172,x,28,172,0,24,150,0,15,137,0,22,,,
883,Thurrock,100,0,15,98,0,13,97,0,9,91,x,14,,,
884,Herefordshire,97,0,16,84,0,12,80,0,10,82,0,14,,,
885,Worcestershire,257,x,24,241,x,25,248,0,42,263,x,28,,,
886,Kent,619,7,96,593,x,94,588,x,97,621,x,105,,,
887,Medway,186,0,20,172,0,22,147,x,22,141,x,16,,,
888,Lancashire,648,x,74,667,x,64,633,x,50,620,x,46,,,
889,Blackburn and Darwin,180,0,21,173,0,23,163,0,11,173,0,11,,,
890,Blackpool,141,0,12,130,0,18,141,0,14,167,x,18,,,
891,Nottinghamshire,228,0,34,204,0,32,219,x,28,239,0,44,,,
892,City of Nottingham,228,x,36,217,x,28,191,0,26,200,x,22,,,
893,Shropshire,88,0,11,85,0,x,85,0,13,90,0,11,,,
894,Telford and Wrekin,115,0,13,119,0,10,122,0,14,127,0,13,,,
895,Cheshire East,.,.,.,.,.,.,153,0,22,161,0,15,,,
896,Cheshire West & Chester,.,.,.,.,.,.,166,x,21,176,0,15,,,
908,Cornwall,233,x,26,224,x,30,209,x,30,228,0,27,,,
909,Cumbria,254,0,30,247,x,18,237,x,21,226,0,21,,,
916,Gloucestershire,205,x,32,212,0,35,194,0,31,208,0,34,,,
919,Hertfordshire,520,0,73,524,x,88,490,x,81,497,x,82,,,
921,Isle of Wight,106,x,10,95,0,18,104,x,10,96,0,14,,,
925,Lincolnshire,297,0,31,288,x,31,280,x,33,267,x,33,,,
926,Norfolk,477,x,59,480,x,54,460,x,50,466,0,46,,,
928,Northamptonshire,278,x,27,285,x,45,246,x,38,299,x,29,,,
929,Northumberland,165,x,27,160,x,19,147,x,8,145,x,11,,,
931,Oxfordshire,209,0,33,200,x,33,202,x,30,189,0,32,,,
933,Somerset,177,x,38,185,x,35,174,x,33,162,x,28,,,
935,Suffolk,347,x,52,364,0,34,361,0,35,368,0,35,,,
936,Surrey,372,x,42,367,x,52,373,x,40,351,0,40,,,
937,Warwickshire,234,x,41,258,x,42,263,x,40,281,x,41,,,
938,West Sussex,342,x,45,340,x,45,352,x,44,346,x,34,,,
