LA Number,,Total eligible for KS2 tests 2007,Number achieving Level 4 in English 2007,Number achieving Level 4 in Maths 2007,Number achieving Level 4 in English and Maths 2007,Total eligible for KS2 tests 2008,Number achieving Level 4 in English 2008,Number achieving Level 4 in Maths 2008, Number achieving Level 4 in English and Maths 2008,Total eligible for KS2 tests 2009,Number achieving Level 4 in English 2009,Number achieving Level 4 in Maths 2009,Number achieving Level 4 in English and Maths 2009,Total eligible for KS2 tests 2010,Number achieving Level 4 in English 2010,Number achieving Level 4 in Maths 2010,Number achieving Level 4 in English and Maths 2010,Total eligible for KS2 tests 2011,Number achieving Level 4 in English 2011,Number achieving Level 4 in Maths 2011,Number achieving Level 4 in English and Maths 2011
E,England,2554,1158,1078,867,2560,1163,1111,905,2366,1060,1039,819,1783,822,804,656,2244,1116,1075,901
,,,,,,,,,,,,,,,,,,,,,
NE,North East ,170,75,69,55,129,63,60,49,138,62,56,48,74,39,37,33,124,63,65,54
NW,North West,485,236,234,188,509,260,241,203,411,189,181,149,338,179,174,150,435,239,240,203
YH,Yorks & the Humber ,274,115,105,83,271,122,116,93,257,109,120,90,206,83,87,68,267,129,111,97
EM,East Midlands,146,70,70,61,150,63,59,48,144,67,66,51,107,40,42,28,139,59,70,49
WM,West Midlands,335,140,135,101,325,134,149,111,332,144,154,115,209,92,95,76,303,146,137,112
EE,East of England ,284,138,119,100,288,125,128,105,246,115,108,83,219,112,95,81,216,104,94,83
L,London ,383,180,167,133,423,197,183,154,378,177,164,133,254,121,119,95,354,180,169,149
IL,Inner London,203,100,88,71,211,99,95,80,195,90,91,70,127,59,59,46,163,84,77,68
OL,Outer London ,180,80,79,62,212,98,88,74,183,87,73,63,127,62,60,49,191,96,92,81
SE,South East,284,120,96,80,285,118,94,76,274,105,106,82,230,92,92,75,256,117,114,92
SW,South West ,193,84,83,66,180,81,81,66,186,92,84,68,146,64,63,50,150,79,75,62
,,,,,,,,,,,,,,,,,,,,,
201,City of London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x
202,Camden,15,6,9,x,x,x,x,x,11,x,6,x,9,x,x,x,7,x,x,x
203,Greenwich,15,9,6,6,17,7,7,6,20,7,7,x,15,9,9,8,26,12,12,10
204,Hackney,12,x,x,x,20,7,9,7,15,9,7,7,10,6,6,x,13,7,8,7
205,Hammersmith & Fulham,15,8,8,6,14,9,8,7,13,6,7,x,6,x,x,x,9,x,x,x
206,Islington,16,9,7,7,18,9,8,7,8,x,x,x,15,7,8,7,9,x,x,x
207,Kensington & Chelsea,7,x,x,x,6,x,x,x,9,x,x,x,x,x,x,x,x,x,x,x
208,Lambeth,21,11,10,8,15,x,x,x,17,8,10,8,21,12,11,9,20,12,10,9
209,Lewisham,13,8,8,7,21,11,12,11,20,12,12,11,14,x,6,x,26,14,12,11
210,Southwark,18,10,6,x,23,8,6,6,18,8,8,6,15,9,6,6,11,x,6,x
211,Tower Hamlets,19,9,7,6,10,x,x,x,14,7,x,x,8,x,x,x,11,7,6,6
212,Wandsworth,11,x,x,x,17,7,6,x,17,6,10,x,x,0,x,0,6,x,x,x
213,Westminster,9,x,x,x,12,6,x,x,8,x,x,x,x,x,x,x,8,x,x,x
301,Barking and Dagenham,8,x,x,x,9,x,x,x,14,7,x,x,7,0,0,0,16,x,x,x
302,Barnet,19,13,13,12,19,8,10,7,20,10,10,7,x,x,x,x,13,8,7,7
303,Bexley,8,x,x,x,7,x,x,x,8,x,x,x,9,x,x,x,6,x,x,x
304,Brent,10,7,6,6,23,12,9,9,12,x,x,x,13,x,x,x,8,x,x,x
305,Bromley,11,6,x,x,12,9,7,7,10,x,x,x,x,x,x,x,10,6,x,x
306,Croydon,19,x,x,x,17,7,6,x,11,8,6,x,10,7,7,6,26,16,16,15
307,Ealing,14,x,x,x,8,x,x,x,15,9,7,7,13,8,7,7,14,x,6,x
308,Enfield,6,x,x,x,14,7,x,x,13,6,x,x,10,x,x,x,10,7,7,6
309,Haringey,21,11,9,9,20,11,12,10,18,9,8,7,x,x,x,x,24,12,12,10
310,Harrow,9,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0
311,Havering,7,x,x,x,15,6,x,x,x,x,x,x,x,x,0,0,11,6,6,6
312,Hillingdon,20,7,9,7,20,x,7,x,14,x,x,x,6,x,x,x,10,6,6,x
313,Hounslow,7,x,6,x,13,x,x,x,13,9,8,8,7,x,6,x,14,8,x,x
314,Kingston upon Thames,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0
315,Merton,x,x,0,0,7,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x
316,Newham,26,11,8,x,30,18,19,17,27,12,10,7,16,7,7,x,13,6,x,x
317,Redbridge,x,x,0,0,6,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x
318,Richmond upon Thames,x,x,x,x,x,x,x,x,x,x,x,0,x,0,0,0,x,0,0,0
319,Sutton,x,0,x,0,x,x,x,x,x,x,0,0,x,x,x,x,x,x,x,x
320,Waltham Forest,15,6,x,x,11,6,x,x,9,x,x,x,8,x,x,x,8,x,x,x
330,Birmingham,83,37,36,26,85,42,40,34,90,43,47,38,56,33,32,28,80,44,45,37
331,Coventry,30,10,10,7,26,13,15,13,26,11,15,11,15,x,9,x,27,9,12,7
332,Dudley,23,11,12,8,27,9,13,8,32,11,12,8,14,x,x,x,24,12,11,10
333,Sandwell,27,14,12,11,26,17,16,14,24,14,14,12,8,x,x,x,26,11,9,7
334,Solihull,10,x,x,x,10,x,x,x,10,6,6,6,x,x,x,x,6,x,x,x
335,Walsall,21,7,x,x,14,x,x,0,19,7,6,x,20,10,9,8,20,10,9,6
336,Wolverhampton,16,7,6,6,20,7,9,x,18,9,6,6,18,9,9,9,17,10,11,10
340,Knowsley,9,6,x,x,15,6,7,x,23,9,10,7,12,6,7,6,7,x,x,x
341,Liverpool,46,22,25,19,43,23,15,10,29,11,11,8,25,10,10,7,45,29,32,27
342,St Helens,14,6,6,x,12,6,6,6,12,7,8,7,22,15,14,13,17,8,7,6
343,Sefton,10,x,x,x,21,15,14,13,11,6,6,x,20,13,13,12,18,8,7,6
344,Wirral,32,12,16,10,41,25,25,23,25,12,10,9,27,14,15,13,26,17,15,15
350,Bolton,25,14,14,10,15,x,8,x,16,7,7,6,15,7,x,x,22,11,11,9
351,Bury,12,x,x,x,16,8,7,6,10,x,6,x,7,x,x,x,9,x,x,x
352,Manchester,67,36,34,27,67,33,29,28,57,31,25,24,32,10,10,8,57,26,34,24
353,Oldham,10,x,x,x,22,9,10,8,13,x,x,x,7,x,x,x,11,6,6,6
354,Rochdale,12,x,7,x,22,10,12,10,15,x,7,x,6,x,x,x,18,13,13,11
355,Salford,25,15,14,12,22,10,11,9,17,11,10,9,14,6,7,6,22,12,11,9
356,Stockport,18,x,x,x,20,13,8,8,12,x,6,x,9,6,7,6,7,x,x,x
357,Tameside,20,10,10,9,17,12,11,10,11,6,x,x,18,12,10,9,17,10,11,9
358,Trafford,9,x,x,x,10,x,x,x,17,12,12,10,x,x,x,x,6,x,x,x
359,Wigan,21,9,10,6,15,7,8,7,16,x,7,x,14,6,7,6,16,11,10,9
370,Barnsley,14,7,7,x,9,x,x,x,7,x,x,x,x,x,x,x,x,x,x,x
