LA Number,,Number KS2 children as returned on SSDA903,Number of children achieving level 4 in English,Number of children achieving level 4 in Maths,Number of children achieving level 4 in both English and maths,
E,England,2244,1116,1075,901,
,,,,,,
NE,North East ,124,63,65,54,
NW,North West,435,239,240,203,
YH,Yorks & the Humber ,267,129,111,97,
EM,East Midlands,139,59,70,49,
WM,West Midlands,303,146,137,112,
EE,East of England ,216,104,94,83,
L,London ,354,180,169,149,
IL,Inner London,163,84,77,68,
OL,Outer London ,191,96,92,81,
SE,South East,256,117,114,92,
SW,South West ,150,79,75,62, 
,,,,,,
201,City of London,x,x,x,x,
202,Camden,7,x,x,x,
203,Greenwich,26,12,12,10,
204,Hackney,13,7,8,7,
205,Hammersmith & Fulham,9,x,x,x,
206,Islington,9,x,x,x,
207,Kensington & Chelsea,x,x,x,x,
208,Lambeth,20,12,10,9,
209,Lewisham,26,14,12,11,
210,Southwark,11,x,6,x,
211,Tower Hamlets,11,7,6,6,
212,Wandsworth,6,x,x,x,
213,Westminster,8,x,x,x,
301,Barking and Dagenham,16,x,x,x,
302,Barnet,13,8,7,7,
303,Bexley,6,x,x,x,
304,Brent,8,x,x,x,
305,Bromley,10,6,x,x,
306,Croydon,26,16,16,15,
307,Ealing,14,x,6,x,
308,Enfield,10,7,7,6,
309,Haringey,24,12,12,10,
310,Harrow,x,0,0,0,
311,Havering,11,6,6,6,
312,Hillingdon,10,6,6,x,
313,Hounslow,14,8,x,x,
314,Kingston upon Thames,x,x,0,0,
315,Merton,6,x,x,x,
316,Newham,13,6,x,x,
317,Redbridge,x,x,x,x,
318,Richmond upon Thames,x,0,0,0,
319,Sutton,x,x,x,x,
320,Waltham Forest,8,x,x,x,
330,Birmingham,80,44,45,37,
331,Coventry,27,9,12,7,
332,Dudley,24,12,11,10,
333,Sandwell,26,11,9,7,
334,Solihull,6,x,x,x,
335,Walsall,20,10,9,6,
336,Wolverhampton,17,10,11,10,
340,Knowsley,7,x,x,x,
341,Liverpool,45,29,32,27,
342,St Helens,17,8,7,6,
343,Sefton,18,8,7,6,
344,Wirral,26,17,15,15,
350,Bolton,22,11,11,9,
351,Bury,9,x,x,x,
352,Manchester,57,26,34,24,
353,Oldham,11,6,6,6,
354,Rochdale,18,13,13,11,
355,Salford,22,12,11,9,
356,Stockport,7,x,x,x,
357,Tameside,17,10,11,9,
358,Trafford,6,x,x,x,
359,Wigan,16,11,10,9,
370,Barnsley,x,x,x,x,
371,Doncaster,11,7,x,x,
372,Rotherham,20,8,8,7,
373,Sheffield,24,8,7,7,
380,Bradford,34,16,17,14,
381,Calderdale,14,10,10,10,
382,Kirklees,18,12,9,9,
383,Leeds,59,32,23,21,
384,Wakefield,14,x,x,x,
390,Gateshead,7,x,x,x,
391,Newcastle upon Tyne,23,12,12,11,
392,North Tyneside,8,x,x,x,
393,South Tyneside,10,x,x,x,
394,Sunderland,12,x,x,x,
800,Bath & NE Somerset,x,x,x,x,
801,City of Bristol,29,17,14,11,
802,North Somerset,8,x,x,x,
803,South Gloucestershire,x,x,x,x,
805,Hartlepool,7,x,x,x,
806,Middlesbrough,6,x,x,x,
807,Redcar and Cleveland,x,x,x,x,
808,Stockton on Tees,13,8,9,8,
810,City of Kingston-Upon-Hull,21,9,10,7,
811,East Riding of Yorkshire,10,x,x,x,
812,North East Lincolnshire,x,x,x,x,
813,North Lincolnshire,x,x,x,x,
815,North Yorkshire,20,10,6,6,
816,York,9,6,x,x,
821,Luton,18,9,8,7,
822,Bedford Borough,8,x,x,x,
823,Central Bedfordshire,x,x,x,x,
825,Buckinghamshire,8,x,x,x,
826,Milton Keynes,12,x,x,x,
830,Derbyshire,18,9,10,8,
831,Derby,17,x,7,x,
835,Dorset,9,x,x,x,
836,Poole,x,x,x,x,
837,Bournemouth,x,x,x,x,
840,Durham,15,8,9,6,
841,Darlington,8,7,6,6,
845,East Sussex,16,x,6,x,
846,Brighton & Hove,10,6,x,x,
850,Hampshire,35,16,15,12,
851,Portsmouth,8,x,6,x,
852,Southampton,13,6,7,x,
855,Leicestershire,9,6,7,x,
856,Leicester City,16,6,10,6,
857,Rutland,0,0,0,0,
860,Staffordshire,21,9,7,7,
861,Stoke,15,10,8,7,
865,Wiltshire,13,7,9,7,
866,Swindon,7,x,x,x,
