LA Number,,Number eligible to sit GCSEs 2007,Number of children achieving 5+ GCSEs at grades A*-C 2007,Number of children achieving 5+ GCSEs at grades A*-C including English & mathematics 2007,Number of children achieving A*-C in English & mathematics 2007,Number eligible to sit GCSEs 2008,Number of children achieving 5+ GCSEs at grades A*-C 2008,Number of children achieving 5+ GCSEs at grades A*-C including English & mathematics 2008,Number of children achieving A*-C in English & mathematics 2008,Number eligible to sit GCSEs 2009,Number of children achieving 5+ GCSEs at grades A*-C 2009,Number of children achieving 5+ GCSEs at grades A*-C including English & mathematics 2009,Number of children achieving A*-C in English & mathematics 2009,Number eligible to sit GCSEs 2010,Number of children achieving 5+ GCSEs at grades A*-C 2010,Number of children achieving 5+ GCSEs at grades A*-C including English & mathematics 2010,Number of children achieving A*-C in English & mathematics 2010,Number eligible to sit GCSEs 2011,Number of children achieving 5+ GCSEs at grades A*-C 2011,Number of children achieving 5+ GCSEs at grades A*-C including English & mathematics 2011,Number of children achieving A*-C in English & mathematics 2011
E,England,4938,683,355,387,4959,837,438,469,4960,1036,479,501,5101,1358,599,626,5041,1573,643,674
,,,,,,,,,,,,,,,,,,,,,
NE,North East ,253,35,16,17,235,54,19,19,245,67,29,29,240,94,36,36,273,111,36,37
NW,North West,758,98,47,53,788,147,76,78,801,183,81,83,802,236,94,99,765,249,99,104
YH,Yorks & the Humber ,496,66,27,28,541,97,47,48,525,109,42,42,495,160,67,68,511,174,59,61
EM,East Midlands,302,31,13,13,342,55,28,32,283,52,24,24,348,71,22,24,360,106,34,36
WM,West Midlands,593,73,41,45,571,90,43,47,568,123,50,53,609,170,77,80,594,210,80,81
EE,East of England ,452,67,38,41,494,81,49,56,502,95,53,60,540,121,60,63,529,161,81,87
L,London ,1025,182,95,100,945,170,103,110,956,229,114,118,952,280,133,137,921,282,133,138
IL,Inner London,492,99,53,55,418,83,51,54,408,93,45,46,413,122,57,59,389,119,68,71
OL,Outer London ,533,83,42,45,527,87,52,56,548,136,69,72,539,158,76,78,532,163,65,67
SE,South East,653,81,45,49,626,82,40,42,662,117,51,55,686,151,67,72,661,163,69,75
SW,South West ,406,50,33,41,417,61,33,37,418,61,35,37,429,75,43,47,427,117,52,55
,,,,,,,,,,,,,,,,,,,,,
201,City of London,x,0,0,0,x,0,0,0,x,x,0,0,x,x,0,0,x,0,0,0
202,Camden,30,6,x,x,33,7,x,x,31,7,x,x,33,8,x,x,20,7,x,x
203,Greenwich,50,x,x,x,43,9,6,7,42,9,x,x,58,14,11,11,35,6,x,x
