country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,CLA_12_months_2012,CLA_12_months_2012_10plus,CLA_12_months_2012_5under,caution_conviction,substance_misuse,substance_intervention,refused_intervention,dev_assess,immunisations,teeth_check,health_assess,year11_2011,ft_ed,ft_emp,pt_emp_ed,unemp,SDQ_score_rec,elig_SDQ,SDQ_normal,SDQ_borderline,SDQ_concern
921,England,,,,,,"46,590","29,800","9,430","2,060","1,900","1,040",590,"7,560","38,720","38,370","40,200","5,550","3,930",410,300,900,"24,270","34,700","12,400","3,110","8,760"
921,England,A,North East ,,,,"2,670","1,700",560,160,120,100,10,410,"2,480","2,370","2,340",280,200,40,x,40,"1,540","2,050",770,190,580
921,England,B,North West,,,,"8,440","4,910","1,950",330,400,170,80,"1,480","7,600","7,310","7,630",790,540,90,30,130,"4,840","6,450","2,740",600,"1,490"
921,England,D,Yorks & the Humber ,,,,"5,330","3,070","1,320",220,150,70,50,"1,110","4,380","4,100","4,480",530,350,60,30,80,"2,390","3,970","1,170",310,900
921,England,E,East Midlands,,,,"3,170","2,020",660,170,130,80,50,580,"2,580","2,610","2,710",420,290,20,30,70,"1,550","2,300",700,220,630
921,England,F,West Midlands,,,,"6,120","3,770","1,330",190,210,110,90,"1,170","5,120","4,540","5,110",640,390,70,60,130,"3,130","4,590","1,620",370,"1,150"
921,England,G,East of England ,,,,"4,480","3,080",750,160,120,50,40,490,"3,120","3,580","3,520",590,450,20,40,80,"2,320","3,360","1,300",310,720
921,England,H,London ,,,,"6,980","4,980","1,080",350,400,260,130,940,"5,830","5,880","6,420","1,090",800,40,50,200,"3,950","5,060","2,080",500,"1,370"
921,England,,Inner London,,,,"3,140","2,240",480,180,170,130,40,400,"2,670","2,700","2,910",440,320,20,20,80,"1,640","2,300",900,180,560
921,England,,Outer London ,,,,"3,840","2,740",600,170,230,130,90,540,"3,160","3,180","3,510",640,480,20,30,120,"2,310","2,760","1,180",320,820
921,England,J,South East,,,,"5,870","3,800","1,210",270,190,100,80,"1,010","5,050","5,100","4,970",740,570,40,30,100,"2,600","4,270","1,140",360,"1,100"
921,England,K,South West ,,,,"3,530","2,480",580,220,180,110,70,370,"2,570","2,890","3,030",470,330,30,20,90,"1,950","2,650",870,260,820
921,England,H,London ,201,E09000001,City of London,x,x,0,0,0,0,0,0,x,x,x,x,x,0,0,0,x,x,0,x,x
921,England,H,London ,202,E09000007,Camden,173,130,25,7,12,12,0,25,158,151,145,23,14,x,x,x,116,122,58,13,45
921,England,H,London ,203,E09000011,Greenwich,409,267,68,9,26,11,15,58,346,386,377,42,34,x,x,x,258,309,153,27,78
921,England,H,London ,204,E09000012,Hackney,194,141,26,14,13,10,x,20,170,138,174,21,13,0,x,7,108,143,56,10,42
921,England,H,London ,205,E09000013,Hammersmith & Fulham,155,106,27,13,18,17,x,27,152,86,155,16,10,0,x,x,34,122,23,x,9
921,England,H,London ,206,E09000019,Islington,227,176,28,8,31,28,x,28,215,208,224,41,26,7,x,6,142,156,71,15,56
921,England,H,London ,207,E09000020,Kensington & Chelsea,87,72,7,11,6,x,0,7,80,73,86,19,14,0,0,x,56,64,29,8,19
921,England,H,London ,208,E09000022,Lambeth,329,233,52,14,11,x,6,44,167,322,316,54,32,x,x,16,162,234,83,10,69
921,England,H,London ,209,E09000023,Lewisham,338,242,52,32,18,7,9,41,296,298,275,43,30,x,x,x,232,252,117,28,87
921,England,H,London ,210,E09000028,Southwark,360,250,51,13,7,6,x,49,262,327,336,58,45,x,x,7,178,256,91,22,65
921,England,H,London ,211,E09000030,Tower Hamlets,208,153,32,10,10,6,x,x,181,186,201,24,20,x,0,x,116,156,73,9,34
921,England,H,London ,212,E09000032,Wandsworth,147,108,24,7,12,11,0,24,124,125,133,16,14,0,x,x,105,116,49,15,41
921,England,H,London ,213,E09000033,Westminster,150,106,17,x,26,18,8,11,137,133,144,20,18,0,0,x,101,114,50,14,37
921,England,H,London ,301,E09000002,Barking and Dagenham,277,181,62,6,x,0,x,60,232,258,265,37,28,x,x,7,179,211,38,41,100
921,England,H,London ,302,E09000003,Barnet,200,162,17,x,x,x,x,17,173,167,195,38,28,0,x,x,153,154,78,19,56
921,England,H,London ,303,E09000004,Bexley,152,98,31,9,7,x,6,31,126,140,149,18,12,x,x,x,98,108,50,9,39
921,England,H,London ,304,E09000005,Brent,245,184,39,7,x,0,x,37,196,213,239,42,39,0,0,x,54,180,8,x,41
921,England,H,London ,305,E09000006,Bromley,186,130,23,9,21,x,19,23,167,145,167,38,29,0,0,9,123,139,65,14,44
921,England,H,London ,306,E09000008,Croydon,515,406,65,6,35,15,17,61,431,295,404,137,94,x,x,36,248,331,162,36,50
921,England,H,London ,307,E09000009,Ealing,263,172,50,18,18,16,x,46,235,248,251,30,25,0,x,x,181,193,95,20,66
921,England,H,London ,308,E09000010,Enfield,220,157,38,18,12,10,x,38,188,139,197,33,20,0,x,10,136,149,83,21,32
921,England,H,London ,309,E09000014,Haringey,429,265,89,28,x,x,0,74,403,329,385,49,38,0,0,11,63,322,37,12,14
921,England,H,London ,310,E09000015,Harrow,79,70,x,9,10,8,x,x,63,76,70,22,19,0,0,x,41,49,14,x,22
921,England,H,London ,311,E09000016,Havering,124,87,24,8,7,x,x,24,123,123,103,17,9,x,x,x,91,94,44,11,36
921,England,H,London ,312,E09000017,Hillingdon,259,202,36,0,0,0,0,x,64,160,234,55,41,x,9,x,146,181,78,19,49
921,England,H,London ,313,E09000018,Hounslow,222,170,22,13,20,16,x,22,186,204,208,34,29,0,0,x,163,167,84,19,60
921,England,H,London ,314,E09000021,Kingston upon Thames,88,56,14,x,10,8,x,12,72,75,80,16,10,x,0,x,59,61,36,8,15
921,England,H,London ,315,E09000024,Merton,74,55,13,10,14,9,x,13,66,69,72,x,x,x,0,x,48,53,30,7,11
921,England,H,London ,316,E09000025,Newham,338,253,47,19,x,0,0,46,325,320,327,58,44,x,x,8,224,241,164,24,36
921,England,H,London ,317,E09000026,Redbridge,149,91,36,10,13,8,x,34,138,139,143,19,14,x,x,x,87,101,54,13,20
921,England,H,London ,318,E09000027,Richmond upon Thames,56,39,6,x,10,8,x,6,54,48,55,13,10,0,0,x,33,41,19,6,8
921,England,H,London ,319,E09000029,Sutton,111,69,25,8,x,x,0,25,105,99,110,16,14,x,0,x,71,78,23,11,37
921,England,H,London ,320,E09000031,Waltham Forest,211,148,28,14,13,11,x,28,191,195,195,30,23,0,0,7,143,156,67,25,51
921,England,F,West Midlands,330,E08000025,Birmingham,"1,428",881,314,52,64,21,33,275,"1,154","1,286","1,192",140,89,16,x,31,880,"1,083",485,107,288
921,England,F,West Midlands,331,E08000026,Coventry,418,270,81,22,15,11,x,62,357,280,264,40,24,8,x,6,287,337,147,28,112
921,England,F,West Midlands,332,E08000027,Dudley,520,300,124,12,19,7,12,123,404,333,446,38,21,9,0,8,308,399,183,33,92
921,England,F,West Midlands,333,E08000028,Sandwell,430,248,112,13,25,23,x,69,383,393,396,40,31,x,0,8,213,316,112,28,73
921,England,F,West Midlands,334,E08000029,Solihull,268,188,37,8,10,x,6,28,234,227,197,51,39,x,x,9,33,183,17,x,13
921,England,F,West Midlands,335,E08000030,Walsall,396,215,94,12,9,x,x,94,388,367,367,31,23,6,0,x,192,296,101,15,76
921,England,F,West Midlands,336,E08000031,Wolverhampton,390,193,131,15,7,0,x,129,368,363,363,20,12,x,x,x,215,283,106,34,75
921,England,B,North West,340,E08000011,Knowsley,222,128,47,0,x,0,0,40,212,209,220,24,18,x,x,0,142,163,80,10,52
921,England,B,North West,341,E08000012,Liverpool,734,409,179,24,0,0,0,178,658,683,707,66,49,8,0,9,461,562,271,56,134
921,England,B,North West,342,E08000013,St Helens,262,137,70,8,10,6,x,70,262,248,244,20,14,x,x,x,171,199,109,18,44
921,England,B,North West,343,E08000014,Sefton,298,185,54,11,x,x,x,54,274,253,283,30,26,x,x,x,0,252,0,0,0
921,England,B,North West,344,E08000015,Wirral,519,302,100,25,127,0,0,84,438,476,440,52,37,x,x,9,286,415,179,31,76
921,England,B,North West,350,E08000001,Bolton,378,192,114,6,x,x,0,0,372,318,320,19,14,x,0,x,171,276,97,18,56
921,England,B,North West,351,E08000002,Bury,228,113,70,x,7,x,x,64,226,212,212,21,19,x,0,x,125,159,65,22,38
921,England,B,North West,352,E08000003,Manchester,"1,022",665,184,60,60,49,11,127,785,786,911,118,81,9,x,26,782,785,442,108,232
921,England,B,North West,353,E08000004,Oldham,233,146,48,0,x,x,0,45,206,203,213,26,14,x,x,7,178,187,102,23,53
921,England,B,North West,354,E08000005,Rochdale,340,171,95,6,x,0,x,6,317,267,279,27,12,x,x,8,159,269,109,18,32
921,England,B,North West,355,E08000006,Salford,423,255,98,21,20,15,x,98,417,387,379,45,16,11,0,18,276,311,151,35,90
921,England,B,North West,356,E08000007,Stockport,208,141,42,16,28,19,7,42,192,185,166,21,14,x,0,x,134,149,72,12,50
921,England,B,North West,357,E08000008,Tameside,280,165,69,x,13,x,x,31,280,250,249,21,15,x,x,x,204,216,124,25,55
921,England,B,North West,358,E08000009,Trafford,202,120,38,0,0,0,0,0,193,171,191,23,18,x,x,0,55,152,29,x,21
921,England,B,North West,359,E08000010,Wigan,357,193,99,16,6,x,x,93,327,291,338,30,21,x,0,6,239,272,139,21,79
