Age,boys_12months,girls_12months,boys_caution_conviction,girls_caution_conviction,boys_substance_misuse,girls_substance_misuse,boys_intervention,girls_intervention,boys_ref_intervention,girls_ref_intervention,boys_dev_assess,girls_dev_assess,boys_immunisations,girls_immunisations,boys_teeth,girls_teeth,boys_health_assess,girls_health_assess,boys_SDQ_rec,girls_SDQ_rec,boys_SDQ_normal,girls_SDQ_normal,boys_SDQ_borderline,girls_SDQ_borderline,boys_SDQ_concern,girls_SDQ_concern
1,1215,1108,.,.,x,x,0,x,0,0,988,887,1040,941,972,917,1028,927,.,.,.,.,.,.,.,.
2,1049,923,.,.,0,x,0,0,0,x,880,743,939,829,926,775,887,766,.,.,.,.,.,.,.,.
3,988,718,.,.,x,0,x,0,x,0,776,549,887,649,855,624,820,588,.,.,.,.,.,.,.,.
4,920,791,.,.,0,x,0,0,0,x,728,618,828,704,804,697,756,639,426,365,242,236,67,41,117,88
5,931,782,.,.,x,x,x,x,0,0,782,604,834,669,802,660,850,710,621,489,349,301,81,61,191,127
6,914,744,.,.,x,0,x,0,0,0,.,.,804,652,766,643,827,685,602,497,281,302,89,56,232,139
7,941,838,.,.,x,0,0,0,x,0,.,.,848,748,798,705,860,761,658,562,309,332,73,73,276,157
8,1035,848,.,.,x,x,x,x,x,0,.,.,921,744,896,742,948,776,723,591,297,321,86,76,340,194
9,1113,918,.,.,x,0,x,0,0,0,.,.,966,827,958,802,1015,857,812,688,370,400,95,64,347,224
10,1218,996,x,0,x,0,x,0,0,0,.,.,1067,880,1069,881,1117,901,892,704,412,396,109,68,371,240
11,1433,1096,10,x,x,x,x,0,0,0,.,.,1258,983,1235,958,1282,1000,"1,056",826,454,458,140,110,462,258
12,1579,1187,29,7,17,11,x,x,x,0,.,.,1362,1032,1376,1047,1443,1100,"1,142",869,457,455,175,113,510,301
13,1859,1384,84,25,53,29,23,11,17,x,.,.,1560,1144,1584,1194,1643,1252,"1,382","1,034",604,563,187,116,591,355
14,2067,1635,134,56,103,57,56,26,27,17,.,.,1717,1351,1752,1412,1836,1469,"1,487","1,207",697,669,194,159,596,379
15,2564,1844,297,142,227,139,130,60,68,53,.,.,2059,1477,2081,1532,2208,1621,"1,850","1,349",904,728,252,174,694,447
16,2875,2183,406,172,328,217,192,133,93,56,.,.,2194,1653,2139,1711,2348,1811,"1,929","1,513","1,015",846,257,198,657,469
17,3483,2401,522,170,465,229,249,137,175,75,.,.,2483,1669,2340,1716,2607,1857,.,.,.,.,.,.,.,.
18,x,x,.,.,0,0,0,0,0,0,.,.,x,x,x,x,x,x,.,.,.,.,.,.,.,.
19,0,x,.,.,0,0,0,0,0,0,.,.,0,x,0,x,0,0,.,.,.,.,.,.,.,.
