,All_2008,Boys_2008,Girls_2008,All_2009,Boys_2009,Girls_2009,All_2010,Boys_2010,Girls_2010,All_2011,Boys_2011,Girls_2011,All_2012,Boys_2012,Girls_2012
Elig_KS4,4480,2432,2048,4607,2578,2029,5003,2896,2107,5033,"2,936","2,097","4,853","2,721","2,132"
AC_Eng_maths,487,212,275,526,248,278,652,312,340,712,333,379,733,321,412
5plus_AC_Eng_maths,455,199,256,501,233,268,621,302,319,683,317,366,708,310,398
5plus_AC,872,398,474,1091,533,558,1436,744,692,1682,837,845,1786,849,937
Elig_2lev_prog_eng,.,.,.,.,.,.,.,.,.,4005,2230,1775,3938,2100,1838
2lev_prog_eng,.,.,.,.,.,.,.,.,.,1317,570,747,1220,520,700
Elig_2lev_prog_maths,.,.,.,.,.,.,.,.,.,3976,2196,1780,3921,2086,1835
2lev_prog_maths,.,.,.,.,.,.,.,.,.,1057,544,513,1194,597,597
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
