country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,LAC_2008,FT_Schooling_2008,Poss_sess_2008,Auth_ab_2008,Unauth_ab_2008,Overall_ab_2008,Persist_ab_2008,LAC_2009,FT_Schooling_2009,Poss_sess_2009,Auth_ab_2009,Unauth_ab_2009,Overall_ab_2009,Persist_ab_2009,LAC_2010,FT_Schooling_2010,Poss_sess_2010,Auth_ab_2010,Unauth_ab_2010,Overall_ab_2010,Persist_ab_2010,LAC_2011,FT_Schooling_2011,Poss_sess_2011,Auth_ab_2011,Unauth_ab_2011,Overall_ab_2011,Persist_ab_2011,LAC_2012,FT_Schooling_2012,Poss_sess_2012,Auth_ab_2012,Unauth_ab_2012,Overall_ab_2012,Persist_ab_2012
921,England,,,,,,43670,26150,7625620,363930,127660,491590,2440,42910,25590,7487550,340180,123610,463790,2250,44240,25740,7579130,325410,114330,439730,2010,46110,26370,7729570,308130,116250,424380,1930,46590,26010,7909600,272860,96280,369140,1580
921,England,A,North East ,,,,2310,1500,435370,19410,5110,24520,120,2250,1470,435600,17780,5560,23340,110,2350,1500,443840,16870,5100,21970,90,2540,1560,453500,14920,5510,20430,100,2670,1600,485010,14360,5130,19490,90
921,England,B,North West,,,,8000,4840,1426630,65810,25020,90830,460,7850,4720,1404440,59400,22510,81900,370,8040,4780,1426400,55920,23240,79160,360,8400,4920,1463850,54880,25970,80850,360,8440,4920,1508630,47990,22590,70580,300
921,England,D,Yorks & the Humber ,,,,4890,3010,887060,44070,23430,67500,370,4920,2950,863090,39500,20800,60290,320,5020,2930,857260,35740,16310,52040,240,5240,3040,884150,34360,17210,51570,230,5330,2990,908670,28930,11890,40810,160
921,England,E,East Midlands,,,,2660,1630,473700,21770,5790,27560,130,2660,1570,461490,20400,5930,26340,120,2770,1680,495300,20520,5610,26130,110,3030,1720,505450,19950,5630,25580,110,3170,1740,528280,18100,5130,23220,100
921,England,F,West Midlands,,,,5470,3320,961370,44200,13060,57270,270,5410,3270,954700,42990,15790,58780,290,5700,3410,994710,42070,13500,55570,250,5950,3530,1039140,40790,15780,56560,240,6120,3480,1054720,36320,13260,49580,210
921,England,G,East of England ,,,,4260,2650,775660,39100,9550,48650,220,4160,2590,753440,35490,8420,43920,210,4290,2580,756620,34550,10140,44680,200,4560,2590,755100,32800,8690,41480,190,4480,2510,760730,29420,7670,37090,160
921,England,H,London ,,,,7750,4180,1209930,54190,21840,76030,370,7330,4010,1161040,51110,19810,70920,330,7430,3880,1141490,49790,19450,69230,340,7320,3800,1108150,43150,17350,60500,280,6980,3550,1081860,36560,14230,50790,230
921,England,,Inner London,,,,3660,2010,580680,24590,10430,35020,160,3380,1900,548340,22730,8780,31500,150,3380,1830,539440,23700,10390,34090,170,3310,1740,506890,20180,8530,28710,140,3140,1630,497290,16640,6980,23620,100
921,England,,Outer London ,,,,4090,2170,629250,29600,11410,41010,210,3950,2110,612710,28380,11030,39410,180,4050,2050,602060,26090,9060,35150,170,4010,2060,601260,22960,8830,31790,150,3840,1920,584570,19920,7250,27170,130
921,England,J,South East,,,,5140,3030,879930,46230,14460,60690,320,5100,3020,878740,44700,16140,60840,340,5330,3040,886710,43410,13570,56980,270,5620,3160,918410,41390,13060,54460,260,5870,3230,975040,38320,11330,49650,220
921,England,K,South West ,,,,3190,1980,575980,29150,9390,38540,190,3230,1990,575000,28810,8650,37460,180,3320,1960,576790,26550,7420,33970,150,3460,2040,601810,25890,7060,32950,150,3530,2000,606670,22860,5040,27900,110
921,England,H,London ,201,E09000001,City of London,8,x,602,32,8,40,0,x,x,611,21,x,25,0,10,x,936,8,0,8,0,7,x,612,20,0,20,0,x,x,628,12,0,12,0
