country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS2_2008,Elig_eng_2008,Lev4_eng_2008,Elig_maths_2008,Lev4_maths_2008,Elig_engmaths_2008,Lev4_engmaths_2008,Elig_KS2_2009,Elig_eng_2009,Lev4_eng_2009,Elig_maths_2009,Lev4_maths_2009,Elig_engmaths_2009,Lev4_engmaths_2009,Elig_KS2_2010,Elig_eng_2010,Lev4_eng_2010,Elig_maths_2010,Lev4_maths_2010,Elig_engmaths_2010,Lev4_engmaths_2010,Elig_KS2_2011,Elig_eng_2011,Lev4_eng_2011,Elig_maths_2011,Lev4_maths_2011,Elig_engmaths_2011,Lev4_engmaths_2011,Elig_KS2_2012,Elig_eng_2012,Lev4_eng_2012,Elig_maths_2012,Lev4_maths_2012,Elig_engmaths_2012,Lev4_engmaths_2012
921,England,,,,,,2400,2400,1190,2400,1130,2390,920,2270,2270,1100,2270,1080,2270,850,1650,1650,830,1640,810,1640,660,2120,2120,1140,2120,1090,2120,920,2020,2020,1210,2020,1140,2020,1000
921,England,A,North East ,,,,120,120,70,120,60,120,50,140,140,70,140,60,140,50,70,70,40,70,40,70,30,110,110,70,110,70,110,60,150,150,80,150,80,150,70
921,England,B,North West,,,,490,490,260,490,250,490,210,400,400,200,400,190,400,160,320,320,180,320,170,320,150,420,420,240,420,240,420,200,390,390,250,390,230,390,210
921,England,D,Yorks & the Humber ,,,,250,250,120,250,120,250,90,250,250,110,250,120,250,90,190,190,80,190,90,190,70,260,260,140,260,110,260,100,230,230,130,230,130,230,110
921,England,E,East Midlands,,,,150,150,60,150,60,150,50,140,140,70,140,70,140,50,100,100,40,100,40,100,30,130,130,60,130,70,130,50,140,140,80,140,80,140,70
921,England,F,West Midlands,,,,300,300,140,300,150,300,110,320,320,150,320,160,320,120,200,200,90,200,100,200,80,280,280,150,280,140,280,110,300,300,180,300,170,300,150
921,England,G,East of England ,,,,270,270,130,270,130,270,110,240,240,120,240,110,240,90,200,200,110,200,100,200,80,200,200,110,200,100,200,80,180,180,100,180,100,180,90
921,England,H,London ,,,,390,390,200,390,190,390,160,360,360,190,360,180,360,140,220,220,120,220,120,220,100,330,330,180,330,180,330,150,270,270,180,270,160,270,150
921,England,,Inner London,,,,200,200,100,200,100,200,80,190,190,100,190,100,190,80,110,110,60,110,60,110,50,150,150,90,150,80,150,70,130,130,90,130,80,130,70
921,England,,Outer London ,,,,190,190,100,190,90,190,80,170,170,90,170,80,170,70,110,110,60,110,60,110,50,180,180,100,180,100,180,80,140,140,90,140,80,140,70
921,England,J,South East,,,,260,260,120,260,100,260,80,270,270,110,270,110,270,90,220,220,90,220,90,220,80,250,250,120,250,120,250,90,220,220,120,220,110,220,100
921,England,K,South West ,,,,170,170,80,170,80,170,70,180,180,90,180,80,180,70,140,140,70,140,60,140,50,150,150,80,150,80,150,60,140,140,80,140,80,140,70
921,England,H,London ,201,E09000001,City of London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,H,London ,202,E09000007,Camden,x,x,x,x,x,x,x,9,9,x,9,6,9,x,7,7,x,7,x,7,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x
921,England,H,London ,203,E09000011,Greenwich,16,16,7,16,7,16,6,18,18,7,18,7,18,x,14,14,9,14,9,14,8,25,25,13,25,14,25,11,17,17,9,17,10,17,7
921,England,H,London ,204,E09000012,Hackney,18,18,7,18,9,18,7,15,15,9,15,7,15,7,9,9,x,9,x,9,x,12,12,7,12,8,12,7,7,7,6,7,6,7,6
921,England,H,London ,205,E09000013,Hammersmith & Fulham,13,13,8,13,7,13,6,12,12,6,12,7,12,x,x,x,x,x,x,x,x,7,7,x,7,x,7,x,6,6,x,6,x,6,x
921,England,H,London ,206,E09000019,Islington,17,17,9,17,8,17,7,8,8,x,8,x,8,x,12,12,7,12,8,12,7,7,7,x,7,x,7,x,9,9,7,9,x,9,x
921,England,H,London ,207,E09000020,Kensington & Chelsea,6,6,x,6,x,6,x,9,9,x,9,x,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
