country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,num_school_age_child,SEN,No_SEN,Without_statement,with_statement
921,England,,,,,,29020,20740,8280,12210,8540
921,England,A,North East ,,,,1760,1260,510,740,510
921,England,B,North West,,,,5380,3660,1730,2210,1450
921,England,D,Yorks & the Humber ,,,,3270,2260,1010,1450,810
921,England,E,East Midlands,,,,1910,1450,460,880,570
921,England,F,West Midlands,,,,3810,2580,1230,1500,1080
921,England,G,East of England ,,,,2850,2010,840,1080,920
921,England,H,London ,,,,4130,3020,1110,1750,1270
921,England,,Inner London,,,,1900,1390,510,790,610
921,England,,Outer London ,,,,2230,1620,610,960,660
921,England,J,South East,,,,3630,2800,840,1640,1160
921,England,K,South West ,,,,2270,1720,540,950,770
921,England,H,London ,201,E09000001,City of London,x,x,x,x,0
921,England,H,London ,202,E09000007,Camden,108,81,27,35,46
921,England,H,London ,203,E09000011,Greenwich,239,173,66,125,48
921,England,H,London ,204,E09000012,Hackney,124,94,30,54,40
921,England,H,London ,205,E09000013,Hammersmith & Fulham,100,78,22,46,32
921,England,H,London ,206,E09000019,Islington,129,93,36,55,38
921,England,H,London ,207,E09000020,Kensington & Chelsea,50,40,10,22,18
921,England,H,London ,208,E09000022,Lambeth,191,140,51,74,66
921,England,H,London ,209,E09000023,Lewisham,213,157,56,94,63
921,England,H,London ,210,E09000028,Southwark,205,158,47,84,74
921,England,H,London ,211,E09000030,Tower Hamlets,129,88,41,42,46
921,England,H,London ,212,E09000032,Wandsworth,100,81,19,44,37
921,England,H,London ,213,E09000033,Westminster,81,56,25,39,17
921,England,H,London ,301,E09000002,Barking and Dagenham,165,119,46,72,47
921,England,H,London ,302,E09000003,Barnet,131,109,22,72,37
921,England,H,London ,303,E09000004,Bexley,93,67,26,43,24
921,England,H,London ,304,E09000005,Brent,136,97,39,55,42
921,England,H,London ,305,E09000006,Bromley,121,94,27,48,46
921,England,H,London ,306,E09000008,Croydon,247,161,86,98,63
921,England,H,London ,307,E09000009,Ealing,160,128,32,72,56
921,England,H,London ,308,E09000010,Enfield,124,91,33,60,31
921,England,H,London ,309,E09000014,Haringey,264,167,97,104,63
921,England,H,London ,310,E09000015,Harrow,40,31,9,17,14
921,England,H,London ,311,E09000016,Havering,74,46,28,23,23
921,England,H,London ,312,E09000017,Hillingdon,148,105,43,57,48
921,England,H,London ,313,E09000018,Hounslow,140,113,27,71,42
921,England,H,London ,314,E09000021,Kingston upon Thames,45,25,20,10,15
921,England,H,London ,315,E09000024,Merton,49,37,12,20,17
921,England,H,London ,316,E09000025,Newham,205,160,45,95,65
921,England,H,London ,317,E09000026,Redbridge,83,51,32,28,23
921,England,H,London ,318,E09000027,Richmond upon Thames,35,25,10,9,16
921,England,H,London ,319,E09000029,Sutton,67,50,17,23,27
921,England,H,London ,320,E09000031,Waltham Forest,132,100,32,55,45
921,England,F,West Midlands,330,E08000025,Birmingham,889,583,306,333,250
921,England,F,West Midlands,331,E08000026,Coventry,282,217,65,141,76
921,England,F,West Midlands,332,E08000027,Dudley,341,212,129,116,96
921,England,F,West Midlands,333,E08000028,Sandwell,263,181,82,116,65
921,England,F,West Midlands,334,E08000029,Solihull,155,90,65,51,39
