Table LA3: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2009-20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,20132,,,,,
,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,
,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,90-99,"4,560",,24.0,11.0,11.5,,90-99,"4,960",,28.8,12.5,13.1,,90-99,"5,020",,33.5,13.6,14.2,,90-99,"4,850",,37.2,15.0,15.4,,90-99,"4,870",,36.6,15.3,16.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST,.,230,,29.5,12.4,12.4,,.,240,,39.0,14.9,14.9,,.,280,,42.3,13.3,13.6,,.,310,,50.3,16.9,16.9,,.,300,,44.7,16.3,17.6
Darlington,100,x,,x,0.0,0.0,,100,10,,x,x,x,,100,15,,x,x,x,,100,20,,50.0,x,x,,100,15,,57.1,x,x
Durham,100,30,,28.6,x,x,,100,25,,42.3,26.9,26.9,,100,45,,55.3,14.9,14.9,,100,45,,67.4,17.4,17.4,,100,35,,54.3,20.0,20
Gateshead,100,20,,52.6,36.8,36.8,,100,20,,30.0,x,x,,100,30,,50.0,x,x,,100,30,,53.6,x,x,,90-99,20,,50.0,30.0,30
Hartlepool,100,10,,x,x,x,,100,10,,x,0.0,0.0,,100,15,,x,0.0,0.0,,100,10,,x,x,x,,100,20,,33.3,x,33.3
Middlesbrough,100,15,,x,0.0,0.0,,100,35,,31.4,20.0,20.0,,100,20,,42.9,x,x,,100,30,,27.6,x,x,,100,30,,21.4,x,x
Newcastle upon Tyne,100,35,,44.1,x,x,,100,35,,35.1,x,x,,100,45,,36.2,x,x,,100,55,,48.2,14.3,14.3,,100,60,,47.5,9.8,13.1
North Tyneside,90-99,20,,31.6,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,60.0,x,x,,90-99,20,,60.0,x,x
Northumberland,100,20,,x,x,x,,100,20,,45.0,x,x,,100,15,,71.4,42.9,42.9,,100,25,,36.0,x,x,,100,25,,50.0,x,x
Redcar and Cleveland,100,10,,0.0,0.0,0.0,,100,10,,x,x,x,,100,10,,x,x,x,,100,10,,66.7,x,x,,100,10,,x,x,x
South Tyneside,100,25,,26.1,x,x,,100,15,,58.8,x,x,,100,20,,30.0,x,x,,100,20,,50.0,x,x,,100,15,,47.1,x,x
Stockton-on-Tees,100,20,,35.0,x,x,,100,20,,42.1,x,x,,100,15,,57.1,x,x,,100,15,,52.9,x,x,,100,20,,50.0,x,x
Sunderland,100,35,,28.6,x,x,,100,30,,41.9,x,x,,100,35,,33.3,x,x,,100,40,,50.0,x,x,,100,25,,33.3,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH WEST,.,740,,26.4,11.5,11.7,,.,790,,31.1,12.4,13.1,,.,750,,34.0,13.7,14.4,,.,730,,40.9,16.1,16.2,,.,820,,37.8,15.7,16.7
Blackburn with Darwen,100,20,,x,0.0,0.0,,90-99,30,,40.0,x,20.0,,100,25,,37.0,x,x,,100,15,,x,x,x,,100,15,,x,x,x
Blackpool,100,15,,x,0.0,0.0,,100,25,,22.2,x,x,,100,25,,60.9,30.4,34.8,,100,20,,40.0,x,x,,100,30,,40.6,x,x
Bolton,100,25,,24.0,x,x,,100,35,,31.4,x,x,,100,20,,40.9,x,x,,100,40,,52.6,28.9,28.9,,100,30,,43.8,18.8,21.9
Bury,100,20,,35.0,x,x,,100,20,,40.0,35.0,35.0,,100,20,,31.6,x,x,,100,25,,30.4,x,x,,100,25,,32.0,x,x
