Age,boys_12months,girls_12months,boys_caution_conviction,girls_caution_conviction,boys_substance_misuse,girls_substance_misuse,boys_intervention,girls_intervention,boys_ref_intervention,girls_ref_intervention,boys_dev_assess,girls_dev_assess,boys_immunisations,girls_immunisations,boys_teeth,girls_teeth,boys_health_assess,girls_health_assess,boys_SDQ_rec,girls_SDQ_rec,boys_SDQ_normal,girls_SDQ_normal,boys_SDQ_borderline,girls_SDQ_borderline,boys_SDQ_concern,girls_SDQ_concern
1,1216,1117,.,.,0,x,0,0,0,0,1030,943,1055,942,956,866,1055,933,.,.,.,.,.,.,.,.
2,1015,850,.,.,0,x,0,0,0,x,852,743,884,752,833,718,856,722,.,.,.,.,.,.,.,.
3,974,798,.,.,0,0,0,0,0,0,821,659,850,690,829,659,810,650,.,.,.,.,.,.,.,.
4,972,749,.,.,x,0,x,0,0,0,834,634,880,647,844,642,826,637,.,.,.,.,.,.,.,.
5,940,789,.,.,0,0,0,0,0,0,779,644,811,689,789,684,865,726,626,508,336,306,77,57,213,145
6,1002,828,.,.,x,0,0,0,x,0,.,.,893,716,845,698,917,754,698,539,340,310,97,67,261,162
7,1014,832,.,.,x,0,0,0,x,0,.,.,887,727,864,709,931,761,704,559,358,310,87,68,259,181
8,1109,947,.,.,0,0,0,0,0,0,.,.,966,825,958,815,1002,873,798,658,349,360,94,88,355,210
9,1182,976,.,.,0,x,0,x,0,0,.,.,1047,855,1043,851,1082,891,835,712,350,391,87,98,398,223
10,1308,1078,x,0,x,x,x,0,0,0,.,.,1158,953,1119,945,1194,994,974,787,429,462,123,88,422,237
11,1405,1129,10,0,x,x,x,0,x,x,.,.,1230,997,1226,989,1296,1041,1060,840,481,446,120,98,459,296
12,1628,1259,22,x,7,6,x,x,x,x,.,.,1408,1096,1394,1084,1497,1137,1219,940,524,521,156,118,539,301
13,1823,1335,51,20,37,13,20,6,14,6,.,.,1582,1116,1552,1141,1657,1213,1306,969,529,497,190,94,587,378
14,2147,1642,136,53,98,48,59,26,30,17,.,.,1812,1332,1816,1396,1933,1475,1550,1194,714,646,211,143,625,405
15,2387,1990,226,118,169,131,100,80,53,43,.,.,1892,1593,1946,1684,2082,1779,1673,1470,798,813,217,159,658,498
16,2928,2202,402,159,316,194,176,120,114,60,.,.,2246,1683,2254,1696,2457,1831,1945,1538,981,814,261,200,703,524
17,3199,2422,464,173,411,211,237,117,144,77,.,.,2266,1791,2158,1713,2405,1913,.,.,.,.,.,.,.,.
18,x,0,.,.,0,0,0,0,0,0,.,.,x,0,x,0,x,0,.,.,.,.,.,.,.,.
19,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
