Primary_SEN,Primary_school_action_plus,Primary_statement,Secondary_school_action_plus,Secondary_statement,Special_school_action_plus,Special_Statement,PRU_School_Action_Plus,PRU_Statement
SPLD,224,53,334,122,0,26,x,x
MLD,825,176,905,352,x,793,18,x
SLD,19,53,11,44,x,835,0,0
PMLD,7,18,0,8,x,379,0,0
BESD,"1,566",617,"2,461",992,24,"1,252",286,135
SLCN,615,249,157,160,x,139,x,x
HI,13,23,31,13,0,24,0,0
VI,12,15,16,13,0,16,0,0
MSI,x,x,0,x,0,9,0,0
PD,35,46,25,45,0,86,0,0
ASD,28,58,59,108,x,484,0,x
OTH,178,30,626,53,x,27,x,x
