Table LA10:  Absence from school of children who have been looked after continuously for at least 12 months1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2012-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012 (5 terms)3,,,,,,,,,,2013 (5 terms)3,,,,,,,,,,2014 (5 terms)3,,,,,,,,,,2013 (6 terms)3,,,,,,,,2014 (6 terms)3,,,,,,,,,,
,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees8,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees8,,,,
,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,,90-99,,"26,230",,3.4,1.2,4.7,,6.0,,90-99,,"26,950",,3.4,1.1,4.4,,5.0,,90-99,,"27,670",,2.9,1.0,3.9,,4.6,,"26,950",,3.3,1.1,4.4,,5.0,,"27,670",,2.9,1.0,3.9,,4.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST,,.,,"1,610",,3.0,1.1,4.0,,5.4,,.,,"1,700",,2.8,0.8,3.6,,3.6,,.,,"1,790",,2.4,0.8,3.2,,3.1,,"1,700",,2.8,0.8,3.6,,3.6,,"1,790",,2.4,0.8,3.2,,2.7,,,,
Darlington,,90-99,,70,,2.6,0.2,2.9,,0.0,,100,,80,,2.7,0.4,3.1,,x,,100,,75,,2.1,2.7,4.8,,7.9,,80,,2.4,0.6,3.0,,x,,75,,2.1,2.6,4.8,,x,,,,
Durham,,100,,230,,2.9,1.0,3.8,,3.5,,100,,255,,3.1,0.5,3.6,,4.0,,100,,280,,2.1,0.4,2.6,,x,,255,,3.1,0.5,3.6,,3.6,,280,,2.1,0.4,2.6,,x,,,,
Gateshead,,90-99,,140,,3.1,1.6,4.7,,7.7,,90-99,,155,,2.9,0.4,3.3,,3.9,,90-99,,165,,2.8,1.2,4.0,,5.5,,155,,2.8,0.5,3.3,,x,,165,,2.6,1.1,3.7,,4.3,,,,
Hartlepool,,100,,70,,2.9,0.3,3.3,,x,,100,,80,,2.2,0.3,2.5,,0.0,,100,,85,,2.0,0.1,2.1,,0.0,,80,,2.6,0.3,2.9,,0.0,,85,,2.0,0.1,2.1,,0.0,,,,
Middlesbrough,,100,,130,,2.9,0.8,3.6,,5.3,,100,,160,,2.3,1.3,3.6,,x,,100,,150,,2.6,0.5,3.0,,x,,160,,2.4,1.3,3.7,,3.8,,150,,2.6,0.6,3.2,,x,,,,
Newcastle upon Tyne,,100,,240,,3.3,1.7,5.0,,8.3,,100,,235,,2.5,0.6,3.1,,3.0,,100,,220,,2.5,0.8,3.3,,3.6,,235,,2.5,0.7,3.1,,3.0,,220,,2.5,0.8,3.2,,4.1,,,,
North Tyneside,,90-99,,130,,2.2,0.6,2.8,,x,,90-99,,130,,2.4,0.6,3.1,,x,,90-99,,145,,2.2,0.5,2.7,,x,,130,,2.6,0.9,3.5,,x,,145,,2.2,0.6,2.8,,x,,,,
Northumberland,,100,,120,,3.0,0.7,3.6,,5.8,,100,,120,,4.4,0.9,5.3,,7.6,,100,,125,,3.1,1.3,4.4,,x,,120,,4.3,0.8,5.1,,6.8,,125,,3.0,1.4,4.4,,x,,,,
Redcar & Cleveland,,100,,70,,3.1,0.6,3.7,,x,,100,,70,,2.6,0.4,3.0,,x,,100,,75,,2.4,0.3,2.6,,0.0,,70,,2.5,0.5,3.0,,x,,75,,2.3,0.2,2.5,,0.0,,,,
South Tyneside,,100,,125,,3.1,1.3,4.4,,6.3,,100,,135,,3.0,1.2,4.2,,5.1,,100,,135,,2.1,1.7,3.9,,x,,135,,2.9,1.2,4.1,,5.1,,135,,2.1,1.6,3.7,,x,,,,
Stockton on Tees,,100,,115,,2.6,1.0,3.6,,x,,100,,130,,2.2,0.8,2.9,,x,,100,,145,,1.8,0.4,2.2,,x,,130,,2.1,0.8,2.9,,x,,145,,1.9,0.4,2.3,,x,,,,
Sunderland,,100,,160,,3.5,1.5,4.9,,8.9,,100,,155,,3.0,1.6,4.6,,6.5,,100,,190,,2.8,0.7,3.5,,5.3,,155,,3.0,1.5,4.5,,5.8,,190,,2.8,0.7,3.5,,3.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
