Table LA2: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-20142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,2011,,,,,,2012,,,,,,,,2013,,,,,,,,,2014,,,,,,,
,Percentage with UPN3,"Number eligible to sit Key Stage 2 tasks and tests4,5",,Percentage who achieved at least Level 46 in the following:,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,
,,,,Mathematics,Reading,,,,,Mathematics,Reading,,,,,Mathematics,Reading,Writing7,"Reading, writing and mathematics",,,,,Mathematics,Reading,Writing7,"Grammar, Punctuation and Spelling8","Reading, writing and mathematics",,,,,Mathematics,Reading,Writing7,"Grammar, Punctuation and Spelling8","Reading, writing and mathematics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND9,90-99,"1,730",,47,54,,90-99,"2,110",,52,58,,90-99,"2,310",,56,64,51,42,,100,"2,300",,59,63,55,45,45,,90-99,"2,450",,61,68,59,49,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST,.,80,,45,49,,.,110,,58,65,,.,160,,55,59,47,40,,.,120,,66,66,49,38,43,,.,150,,67,74,63,53,56
Darlington,100,x,,x,x,,100,10,,x,x,,100,15,,46,62,46,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x
Durham,100,15,,47,40,,100,15,,62,77,,100,15,,41,53,41,x,,100,20,,60,75,55,35,50,,100,30,,63,69,63,47,56
Gateshead,100,10,,x,x,,100,5,,x,x,,100,15,,50,57,43,43,,100,5,,x,x,x,x,x,,90-99,20,,67,78,61,56,56
Hartlepool,100,x,,x,x,,100,5,,x,x,,100,5,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
Middlesbrough,100,10,,x,x,,100,5,,x,x,,100,15,,50,63,56,50,,100,15,,57,43,x,x,x,,100,10,,x,x,x,x,x
Newcastle upon Tyne,100,10,,x,x,,100,20,,59,68,,100,25,,72,68,64,56,,100,10,,67,58,x,x,x,,100,15,,88,88,71,65,65
North Tyneside,100,x,,x,x,,<90,x,,x,x,,100,15,,60,60,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x
Northumberland,100,10,,x,x,,100,10,,x,x,,100,10,,82,82,55,55,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
Redcar and Cleveland,100,x,,x,x,,100,x,,x,x,,100,5,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
South Tyneside,100,5,,x,x,,100,5,,x,x,,100,15,,x,46,x,x,,100,10,,x,x,x,x,x,,100,15,,40,53,40,x,x
Stockton-on-Tees,100,x,,x,x,,100,10,,82,73,,100,10,,x,55,x,x,,100,15,,77,54,46,x,46,,100,10,,75,92,75,67,67
Sunderland,100,10,,64,64,,100,10,,x,58,,100,10,,x,x,x,x,,100,10,,58,92,x,x,x,,100,10,,x,55,55,55,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH WEST,.,350,,51,56,,.,410,,58,62,,.,450,,58,69,53,46,,.,440,,63,66,59,50,49,,.,480,,65,71,60,52,50
Blackburn with Darwen,100,10,,x,x,,100,15,,40,53,,100,15,,69,69,54,46,,100,15,,62,62,69,69,46,,100,10,,50,67,58,x,50
Blackpool,100,x,,x,x,,100,10,,67,75,,100,20,,47,68,53,42,,100,15,,57,50,57,50,43,,100,15,,53,71,59,41,41
Bolton,100,15,,x,44,,100,20,,50,55,,100,20,,63,68,58,58,,100,20,,67,56,50,x,44,,100,20,,52,67,62,48,43
Bury,100,5,,x,x,,100,5,,x,x,,100,10,,x,x,x,x,,100,10,,75,58,50,50,50,,100,15,,69,69,69,62,54
Cheshire East,100,10,,58,67,,100,10,,x,x,,100,15,,57,71,71,50,,100,20,,68,68,63,53,58,,100,20,,71,71,62,67,52
Cheshire West and Chester,100,15,,44,41,,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,53,53,40,53,x,,100,15,,50,56,44,38,38
Cumbria,100,15,,62,64,,100,20,,60,70,,100,20,,61,72,61,50,,100,15,,56,63,63,44,50,,100,20,,82,68,64,64,59
Halton,100,10,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x
Knowsley,100,10,,58,50,,100,x,,x,x,,100,15,,56,88,50,44,,100,10,,x,x,x,x,x,,100,15,,86,71,57,43,50
Lancashire,100,45,,40,43,,100,55,,41,50,,100,50,,55,59,45,43,,100,40,,52,60,48,48,40,,100,50,,61,65,57,47,43
Liverpool,100,25,,43,45,,100,40,,76,74,,100,45,,59,66,52,45,,100,50,,57,65,57,47,51,,100,45,,67,77,58,53,47
Manchester,100,30,,33,52,,100,55,,62,55,,100,45,,67,65,56,49,,100,55,,67,75,68,60,53,,100,65,,63,69,66,61,53
Oldham,100,10,,x,x,,100,10,,55,64,,100,15,,50,56,44,38,,100,15,,54,77,46,x,x,,100,15,,73,79,71,64,71
Rochdale,100,10,,x,x,,100,20,,72,83,,100,15,,53,76,47,35,,100,20,,71,71,71,52,67,,100,15,,56,56,44,50,38
