Table LA3: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-20142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014 - 2013 methodology3,,,,,,,2014 - 2013 methodology4,,,,,
,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,
,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,90-99,"4,960",,28.8,12.4,13.0,,90-99,"5,020",,33.5,13.6,14.2,,90-99,"4,870",,37.2,14.9,15.4,,90-99,"4,870",,37.2,15.5,16.2,,90-99,"4,800",,31.1,14.4,15.7,,90-99,"4,800",,16.3,12.0,14.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST,.,240,,38.7,14.8,14.8,,.,280,,42.3,13.3,13.6,,.,310,,50.3,16.9,16.9,,.,300,,45.3,16.6,17.9,,.,300,,42.7,17.0,18.0,,.,300,,16.3,12.0,15.3
Darlington,100,10,,x,x,x,,100,15,,x,x,x,,100,20,,50.0,x,x,,100,15,,57.1,x,x,,100,15,,46.2,x,x,,100,15,,x,x,x
Durham,100,25,,40.7,25.9,25.9,,100,45,,55.3,14.9,14.9,,100,45,,67.4,17.4,17.4,,100,35,,54.3,20.0,20.0,,100,45,,42.2,x,x,,100,45,,x,x,x
Gateshead,100,20,,30.0,x,x,,100,30,,50.0,x,x,,100,30,,53.6,x,x,,100,20,,52.4,33.3,33.3,,100,25,,38.5,x,x,,100,25,,x,x,x
Hartlepool,100,10,,x,x,x,,100,15,,x,x,x,,100,10,,x,x,x,,100,20,,33.3,x,33.3,,100,15,,40.0,x,x,,100,15,,x,x,x
Middlesbrough,100,35,,31.4,20.0,20.0,,100,20,,42.9,x,x,,100,30,,27.6,x,x,,100,30,,21.4,x,x,,100,20,,38.1,x,x,,100,20,,x,x,x
