Table LA4:  Offending by children who had been looked after continuously for at least 12 months1,,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months2,,Number of looked after children aged 10 or older at 31 March3,,Looked after children aged 10 and above,,,,,,,,,,,,,
,,,,,Number convicted or subject to a final warning or reprimand during the year4,Percentage convicted or subject to a final warning or reprimand during the year,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ENGLAND,"47,670",,"30,660",,"1,710",5.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NORTH EAST,"2,840",,"1,810",,140,7.6,,,,,,,,,,,,
Darlington,135,,85,,10,10.3,,,,,,,,,,,,
Durham,410,,255,,15,5.9,,,,,,,,,,,,
Gateshead,255,,165,,5,3.7,,,,,,,,,,,,
Hartlepool,140,,90,,x,x,,,,,,,,,,,,
Middlesbrough,250,,165,,20,10.8,,,,,,,,,,,,
Newcastle upon Tyne,380,,265,,15,6.0,,,,,,,,,,,,
North Tyneside,205,,135,,10,8.8,,,,,,,,,,,,
Northumberland,205,,130,,5,5.5,,,,,,,,,,,,
Redcar and Cleveland,125,,80,,5,8.6,,,,,,,,,,,,
South Tyneside,200,,135,,10,9.0,,,,,,,,,,,,
Stockton-on-Tees,250,,125,,10,7.3,,,,,,,,,,,,
Sunderland,285,,185,,25,14.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NORTH WEST,"8,820",,"5,160",,310,6.0,,,,,,,,,,,,
Blackburn with Darwen,245,,125,,x,x,,,,,,,,,,,,
Blackpool,335,,175,,10,6.3,,,,,,,,,,,,
Bolton,400,,200,,10,5.0,,,,,,,,,,,,
Bury,235,,140,,5,4.9,,,,,,,,,,,,
Cheshire East,255,,175,,15,8.7,,,,,,,,,,,,
Cheshire West and Chester,315,,200,,x,x,,,,,,,,,,,,
Cumbria,475,,260,,10,3.4,,,,,,,,,,,,
Halton,105,,60,,5,11.9,,,,,,,,,,,,
Knowsley,185,,115,,5,6.0,,,,,,,,,,,,
Lancashire,"1,080",,610,,30,5.2,,,,,,,,,,,,
Liverpool,730,,425,,25,6.4,,,,,,,,,,,,
Manchester,980,,645,,45,7.0,,,,,,,,,,,,
Oldham,250,,135,,5,4.5,,,,,,,,,,,,
Rochdale,390,,220,,10,4.6,,,,,,,,,,,,
Salford,420,,240,,25,10.9,,,,,,,,,,,,
Sefton,300,,195,,20,9.3,,,,,,,,,,,,
St. Helens,335,,165,,10,6.1,,,,,,,,,,,,
Stockport,215,,140,,10,5.7,,,,,,,,,,,,
Tameside,300,,200,,20,10.4,,,,,,,,,,,,
