Table LA5: Substance misuse by children who had been looked after continuously for at least 12 months1,,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months1,,Number identified as having a substance misuse problem during the year2,Number who received an intervention for their substance misuse problem during the year3,Number who were offered an intervention but who refused it during the year4,,Percentage identified as having a substance misuse problem during the year2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ENGLAND,"47,670",,"1,680",940,570,,3.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NORTH EAST,"2,840",,120,90,20,,4.2,,,,,,,,,,,
Darlington,135,,5,x,x,,4.5,,,,,,,,,,,
Durham,410,,10,10,x,,2.9,,,,,,,,,,,
Gateshead,255,,10,10,x,,3.1,,,,,,,,,,,
Hartlepool,140,,10,x,x,,6.5,,,,,,,,,,,
Middlesbrough,250,,20,15,5,,8.4,,,,,,,,,,,
Newcastle upon Tyne,380,,10,10,x,,3.1,,,,,,,,,,,
North Tyneside,205,,10,10,x,,4.4,,,,,,,,,,,
Northumberland,205,,10,10,x,,3.9,,,,,,,,,,,
Redcar and Cleveland,125,,x,x,x,,x,,,,,,,,,,,
South Tyneside,200,,10,10,x,,5.5,,,,,,,,,,,
Stockton-on-Tees,250,,10,10,x,,4.8,,,,,,,,,,,
Sunderland,285,,10,10,x,,3.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NORTH WEST,"8,820",,300,180,100,,3.4,,,,,,,,,,,
Blackburn with Darwen,245,,x,x,x,,x,,,,,,,,,,,
Blackpool,335,,20,15,x,,5.4,,,,,,,,,,,
Bolton,400,,x,x,x,,x,,,,,,,,,,,
Bury,235,,x,x,x,,x,,,,,,,,,,,
Cheshire East,255,,10,x,5,,3.1,,,,,,,,,,,
Cheshire West and Chester,315,,x,x,x,,x,,,,,,,,,,,
Cumbria,475,,20,10,10,,3.8,,,,,,,,,,,
Halton,105,,5,x,x,,6.7,,,,,,,,,,,
Knowsley,185,,x,x,x,,x,,,,,,,,,,,
Lancashire,"1,080",,30,10,20,,2.7,,,,,,,,,,,
Liverpool,730,,x,x,x,,x,,,,,,,,,,,
Manchester,980,,85,60,15,,8.5,,,,,,,,,,,
Oldham,250,,15,10,x,,6.0,,,,,,,,,,,
Rochdale,390,,10,x,x,,2.6,,,,,,,,,,,
Salford,420,,20,15,5,,4.5,,,,,,,,,,,
Sefton,300,,10,5,x,,2.7,,,,,,,,,,,
St. Helens,335,,15,5,5,,3.9,,,,,,,,,,,
Stockport,215,,35,20,10,,15.3,,,,,,,,,,,
Tameside,300,,x,x,x,,x,,,,,,,,,,,
Trafford,220,,x,x,x,,x,,,,,,,,,,,
Warrington,165,,x,x,x,,x,,,,,,,,,,,
