Table LA8:  Children who have been looked after continuously for at least 12 months1 by Special Educational Needs (SEN),,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
"Coverage: England, Primary, Secondary and Special schools, Pupil Referral Units and Alternative Provision",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Percentage of school aged children with UPN2,Number of children looked after at 31 March who had been continuously looked after for at least 12 months and matched to census data3,,Number of looked after children with the following SEN need4:,,,,,,,,,All children with SEN6,,,,,
,,,,No SEN,,,SEN without statement5,,,SEN with a statement,,,,,,,,
,,,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,,,
,,,,,,,,,,,,,,,,,,
ENGLAND,90-99,"32,870",,"10,980",33.4,,"12,360",37.6,,"9,530",29.0,,"21,890",66.6,,,,
,,,,,,,,,,,,,,,,,,
NORTH EAST,.,"2,070",,710,34.4,,820,39.5,,540,26.1,,"1,360",65.6,,,,
Darlington,90-99,85,,35,42.5,,30,35.6,,20,21.8,,50,57.5,,,,
Durham,100,315,,85,26.8,,145,45.9,,85,27.4,,230,73.2,,,,
Gateshead,90-99,185,,75,39.2,,60,33.3,,50,27.4,,115,60.8,,,,
Hartlepool ,100,100,,35,34.7,,30,30.7,,35,34.7,,65,65.3,,,,
Middlesbrough  ,90-99,180,,75,42.0,,60,32.6,,45,25.4,,105,58.0,,,,
Newcastle upon Tyne,100,265,,105,39.5,,110,41.4,,50,19.0,,160,60.5,,,,
North Tyneside,90-99,160,,45,27.5,,75,46.9,,40,25.6,,115,72.5,,,,
Northumberland,100,135,,40,30.1,,55,39.7,,40,30.1,,95,69.9,,,,
Redcar and Cleveland ,100,95,,25,28.4,,35,38.9,,30,32.6,,70,71.6,,,,
South Tyneside,100,155,,50,34.0,,50,34.0,,50,32.0,,100,66.0,,,,
Stockton-on-Tees,100,185,,65,36.6,,65,36.6,,50,26.8,,115,63.4,,,,
Sunderland,100,210,,70,33.8,,95,46.2,,40,20.0,,140,66.2,,,,
,,,,,,,,,,,,,,,,,,
NORTH WEST,.,"6,060",,"2,240",36.9,,"2,210",36.4,,"1,620",26.6,,"3,820",63.1,,,,
Blackburn with Darwen,100,175,,55,31.1,,80,44.1,,45,24.9,,120,68.9,,,,
Blackpool,100,210,,80,39.0,,90,41.9,,40,19.0,,130,61.0,,,,
Bolton,90-99,275,,100,36.1,,100,36.5,,75,27.4,,175,63.9,,,,
Bury,100,160,,55,35.4,,55,33.5,,50,31.1,,105,64.6,,,,
Cheshire East,90-99,235,,80,33.6,,65,28.1,,90,38.3,,155,66.4,,,,
Cheshire West & Chester,90-99,210,,60,27.4,,65,31.1,,90,41.5,,155,72.6,,,,
Cumbria,90-99,315,,110,35.5,,105,33.9,,95,30.7,,200,64.5,,,,
Halton,100,75,,20,25.7,,40,56.8,,15,17.6,,55,74.3,,,,
Knowsley,100,135,,40,30.9,,40,29.4,,55,39.7,,95,69.1,,,,
Lancashire,90-99,720,,290,40.0,,225,31.0,,210,28.9,,435,60.0,,,,
Liverpool,90-99,485,,190,39.7,,200,41.1,,95,19.2,,290,60.3,,,,
Manchester,90-99,665,,235,35.3,,260,38.9,,170,25.8,,430,64.7,,,,
Oldham,100,170,,70,41.9,,55,30.8,,45,27.3,,100,58.1,,,,
Rochdale,100,270,,120,44.6,,105,38.4,,45,17.0,,150,55.4,,,,
Salford,90-99,280,,115,40.9,,85,31.2,,80,28.0,,165,59.1,,,,
Sefton,100,220,,85,38.3,,85,38.3,,50,23.4,,135,61.7,,,,
St. Helens,100,220,,80,36.5,,95,44.3,,40,19.2,,140,63.5,,,,
Stockport,100,130,,40,29.7,,45,36.7,,45,33.6,,90,70.3,,,,
