"Table LA9:  Exclusions from school of children who have been looked after continuously for at least 12 months1,2,3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,
,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion
,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,90-99,," 27,480 ",,0.27,12.62,,90-99,," 28,260 ",,0.24,11.79,,90-99,," 28,140 ",,0.15,11.33,,90-99,," 28,820 ",,0.11,9.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST,.,," 1,580 ",,0.57,11.22,,.,," 1,680 ",,0.42,11.63,,.,," 1,720 ",,x,9.87,,.,," 1,830 ",,x,8.12
Darlington,90-99,, 65 ,,x,17.46,,90-99,, 70 ,,0.00,14.49,,90-99,,70,,0.00,18.31,,100,,85,,x,12.79
Durham,100,, 225 ,,x,16.59,,100,, 245 ,,x,15.45,,100,,250,,x,11.69,,100,,280,,0.00,8.96
Gateshead,90-99,, 125 ,,0.00,5.65,,90-99,, 135 ,,0.00,7.30,,90-99,,155,,0.00,7.10,,90-99,,165,,0.00,6.06
Hartlepool,100,, 70 ,,0.00,x,,100,, 80 ,,0.00,8.86,,100,,75,,0.00,x,,100,,85,,0.00,x
Middlesbrough,90-99,, 145 ,,x,12.41,,100,, 135 ,,x,12.41,,100,,140,,0.00,10.07,,100,,170,,0.00,8.33
