Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA3: Eligibility and performance of children who have been looked after continuously for at least twelve months1 at key stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2011 - 20152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014 - 2014 methodology3,,,,,,,2015 - 2015 methodology4,,,,,
,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,
,,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,90-99,"5,020",,33.5,13.6,14.2,,90-99,"4,870",,37.2,14.9,15.4,,90-99,"4,870",,37.2,15.5,16.2,,90-99,"4,800",,16.5,12.2,14.4,,90-99,"4,940",,18.3,13.8,15.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,.,280,,42.3,13.3,13.6,,.,310,,50.3,16.9,16.9,,.,300,,45.3,16.6,17.9,,.,300,,17.4,12.7,16.4,,.,290,,17.2,11.0,13.7
E06000005,841,Darlington,100,15,,x,x,x,,100,20,,50.0,x,x,,100,15,,57.1,x,x,,100,15,,x,x,x,,100,20,,x,x,x
E06000047,840,Durham,100,45,,55.3,14.9,14.9,,100,45,,67.4,17.4,17.4,,100,35,,54.3,20.0,20.0,,100,45,,x,x,x,,100,30,,x,x,x
E08000020,390,Gateshead,100,30,,50.0,x,x,,100,30,,53.6,x,x,,100,20,,52.4,33.3,33.3,,100,25,,x,x,x,,90-99,30,,21.9,x,x
E06000001,805,Hartlepool,100,15,,x,x,x,,100,10,,x,x,x,,100,20,,33.3,x,33.3,,100,15,,40.0,x,x,,100,15,,x,x,x
E06000002,806,Middlesbrough,100,20,,42.9,x,x,,100,30,,27.6,x,x,,100,30,,21.4,x,x,,100,20,,x,x,x,,100,30,,26.7,x,23.3
E08000021,391,Newcastle upon Tyne,100,45,,36.2,x,x,,100,55,,48.2,14.3,14.3,,100,60,,46.8,9.7,12.9,,100,45,,x,x,14.0,,100,40,,x,x,x
E08000022,392,North Tyneside,100,15,,x,x,x,,100,15,,60.0,x,x,,100,20,,65.0,x,x,,100,20,,x,x,x,,100,25,,x,x,x
E06000048,929,Northumberland,100,15,,71.4,42.9,42.9,,100,25,,36.0,x,x,,100,25,,52.0,x,x,,100,20,,33.3,28.6,42.9,,100,20,,x,x,x
E06000003,807,Redcar and Cleveland,100,10,,x,x,x,,100,10,,66.7,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,100,10,,x,x,x
E08000023,393,South Tyneside,100,20,,30.0,x,x,,100,20,,50.0,x,x,,100,15,,47.1,x,x,,100,25,,29.2,25.0,29.2,,100,15,,x,x,x
E06000004,808,Stockton-on-Tees,100,15,,57.1,x,x,,100,15,,52.9,x,x,,100,20,,50.0,x,x,,100,20,,x,x,x,,100,15,,x,x,x
E08000024,394,Sunderland,100,35,,33.3,x,x,,100,40,,50.0,x,x,,100,25,,33.3,x,x,,100,35,,26.5,20.6,20.6,,100,35,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,.,750,,34.0,13.7,14.4,,.,730,,40.7,15.9,16.1,,.,820,,37.9,16.1,17.0,,.,710,,17.5,12.0,13.2,,.,820,,17.5,13.0,15.2
E06000008,889,Blackburn with Darwen,100,25,,37.0,x,x,,100,15,,x,x,x,,100,15,,x,x,x,,100,15,,x,x,x,,100,20,,x,x,x
E06000009,890,Blackpool,100,25,,60.9,30.4,34.8,,100,20,,40.0,x,x,,100,30,,41.9,x,x,,100,30,,19.4,x,x,,100,20,,x,x,x
E08000001,350,Bolton,100,20,,40.9,x,x,,100,40,,52.6,28.9,28.9,,100,30,,43.8,18.8,21.9,,100,20,,x,x,x,,100,30,,19.4,x,19.4
E08000002,351,Bury,100,20,,31.6,x,x,,100,25,,30.4,x,x,,100,25,,32.0,x,x,,100,20,,x,x,x,,100,25,,x,x,x
E06000049,895,Cheshire East,90-99,25,,38.5,x,x,,100,25,,34.8,x,x,,90-99,35,,35.3,x,x,,100,25,,x,x,x,,100,25,,x,x,x
E06000050,896,Cheshire West and Chester,100,15,,x,x,x,,100,25,,x,x,x,,100,30,,41.9,19.4,19.4,,100,30,,x,x,x,,100,35,,x,x,x
E10000006,909,Cumbria,100,35,,36.1,16.7,16.7,,100,40,,43.6,25.6,25.6,,100,50,,30.6,12.2,12.2,,100,50,,15.7,x,x,,100,35,,19.4,x,16.7
E06000006,876,Halton,100,15,,40.0,x,x,,100,x,,x,x,x,,100,x,,x,x,x,,100,10,,x,x,x,,100,15,,x,x,x
E08000011,340,Knowsley,100,25,,37.5,x,x,,100,15,,43.8,x,x,,100,15,,x,x,x,,100,25,,30.4,x,x,,100,15,,x,x,x
E10000017,888,Lancashire,100,85,,27.4,11.9,11.9,,100,95,,34.0,12.8,13.8,,100,85,,28.2,12.9,15.3,,100,80,,17.9,7.7,9.0,,100,115,,18.4,14.0,14.9
E08000012,341,Liverpool,90-99,65,,44.6,20.0,20.0,,100,60,,40.7,15.3,15.3,,90-99,60,,44.8,15.5,15.5,,100,55,,18.9,13.2,13.2,,100,55,,30.4,23.2,26.8
E08000003,352,Manchester,90-99,100,,36.0,11.0,11.0,,90-99,95,,50.5,22.1,22.1,,90-99,110,,46.4,17.0,17.0,,100,95,,13.5,10.4,12.5,,90-99,100,,10.8,7.8,10.8
E08000004,353,Oldham,100,25,,40.0,x,x,,100,20,,47.4,x,x,,100,25,,50.0,29.2,33.3,,100,10,,x,x,x,,100,20,,x,x,x
E08000005,354,Rochdale,100,25,,x,x,x,,100,30,,26.7,x,x,,100,30,,50.0,26.7,26.7,,100,35,,24.2,18.2,18.2,,100,20,,x,x,x
E08000006,355,Salford,100,50,,32.0,x,12.0,,100,40,,37.5,x,x,,100,35,,26.5,x,x,,100,35,,17.6,17.6,17.6,,90-99,45,,24.4,24.4,31.1
