Back to index,,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,,
Years: 2015,,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LA Code,,,Percentage of school aged children with UPN2,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data3,,Number of looked after children with the following provision for SEN4:,,,,,,,,,Total with SEN6,,,,
,,,,,,No SEN,,,"SEN without statement or education, health and care plan5",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,,
,,,,,,,,,,,,,,,,,,,
,,ENGLAND,90-99,"34,820",,"13,750",39.5,,"11,440",32.9,,"9,630",27.6,,"21,070",60.5,,,
,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,.,"2,220",,890,40.1,,750,33.8,,580,26.2,,"1,330",59.9,,,
E06000005,841,Darlington,90-99,95,,40,41.9,,30,34.4,,20,23.7,,55,58.1,,,
E06000047,840,Durham,100,340,,115,34.4,,130,38.2,,95,27.4,,225,65.6,,,
E08000020,390,Gateshead,90-99,180,,90,48.4,,40,23.1,,50,28.6,,95,51.6,,,
E06000001,805,Hartlepool ,100,110,,50,46.3,,30,28.7,,25,25.0,,60,53.7,,,
E06000002,806,Middlesbrough  ,100,195,,85,43.3,,50,26.8,,60,29.9,,110,56.7,,,
E08000021,391,Newcastle upon Tyne,90-99,265,,120,44.6,,90,34.5,,55,21.0,,150,55.4,,,
E08000022,392,North Tyneside,90-99,160,,65,40.0,,55,34.4,,40,25.6,,95,60.0,,,
E06000048,929,Northumberland,100,175,,65,36.8,,60,34.5,,50,28.7,,110,63.2,,,
E06000003,807,Redcar and Cleveland ,100,95,,35,38.5,,25,28.1,,30,33.3,,60,61.5,,,
