Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA5:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014,,,,,
,,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,90-99,,"27,480",,0.27,12.62,,90-99,,"28,260",,0.24,11.79,,90-99,,"28,160",,0.15,11.32,,90-99,,"28,870",,0.11,9.77,,90-99,,"29,580",,0.13,10.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,.,,"1,580",,0.57,11.22,,.,,"1,680",,0.42,11.62,,.,,"1,720",,x,9.87,,.,,"1,830",,x,8.13,,.,,"1,900",,x,9.16
E06000005,841,Darlington,90-99,,65,,x,17.46,,90-99,,70,,0.00,14.49,,90-99,,70,,0.00,18.31,,100,,85,,x,12.79,,90-99,,80,,0.00,15.19
E06000047,840,Durham,100,,225,,x,16.59,,100,,245,,x,15.45,,100,,250,,x,11.69,,100,,280,,0.00,8.96,,100,,300,,x,7.00
E08000020,390,Gateshead,90-99,,125,,0.00,5.65,,90-99,,135,,0.00,7.30,,90-99,,155,,0.00,7.10,,90-99,,165,,0.00,6.06,,90-99,,175,,x,6.90
E06000001,805,Hartlepool,100,,70,,0.00,x,,100,,80,,0.00,8.86,,100,,75,,0.00,x,,100,,85,,0.00,x,,100,,90,,0.00,x
E06000002,806,Middlesbrough,90-99,,145,,x,12.41,,100,,140,,x,12.32,,100,,140,,0.00,10.07,,100,,170,,0.00,8.33,,100,,155,,0.00,11.46
E08000021,391,Newcastle upon Tyne,90-99,,245,,0.00,11.07,,100,,260,,0.00,10.38,,100,,255,,0.00,8.56,,90-99,,240,,0.00,6.22,,100,,235,,0.00,9.83
E08000022,392,North Tyneside,90-99,,80,,0.00,x,,90-99,,120,,0.00,7.63,,90-99,,135,,0.00,9.49,,90-99,,145,,0.00,9.72,,90-99,,155,,0.00,9.15
E06000048,929,Northumberland,90-99,,135,,x,8.03,,90-99,,130,,0.00,14.39,,100,,125,,0.00,11.11,,90-99,,125,,0.00,11.11,,100,,130,,0.00,13.08
E06000003,807,Redcar & Cleveland,100,,65,,x,15.63,,90-99,,70,,x,22.06,,100,,75,,0.00,10.81,,100,,75,,0.00,x,,100,,80,,0.00,13.92
E08000023,393,South Tyneside,100,,120,,0.00,6.67,,100,,125,,0.00,9.45,,90-99,,140,,x,6.34,,100,,145,,x,4.08,,100,,145,,0.00,x
E06000004,808,Stockton on Tees,100,,105,,0.00,9.35,,100,,115,,0.00,5.13,,100,,135,,0.00,6.77,,100,,150,,0.00,6.08,,100,,160,,0.00,4.38
E08000024,394,Sunderland,100,,205,,x,13.79,,100,,185,,x,13.37,,100,,170,,0.00,15.48,,100,,165,,0.00,14.97,,100,,205,,0.00,14.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,.,,"5,150",,0.21,10.07,,.,,"5,330",,0.24,10.64,,.,,"5,370",,x,9.72,,.,,"5,390",,x,8.46,,.,,"5,600",,0.12,8.90
E06000008,889,Blackburn with Darwen,90-99,,170,,0.00,6.51,,90-99,,165,,0.00,6.67,,90-99,,160,,0.00,6.92,,90-99,,150,,0.00,6.67,,100,,165,,0.00,4.82
E06000009,890,Blackpool,90-99,,150,,x,12.08,,90-99,,170,,x,8.72,,100,,175,,0.00,9.04,,90-99,,195,,0.00,7.69,,100,,200,,0.00,9.41
E08000001,350,Bolton,100,,205,,x,7.77,,90-99,,245,,x,9.84,,100,,245,,0.00,9.02,,100,,255,,0.00,7.91,,90-99,,265,,0.00,5.62
E08000002,351,Bury,100,,110,,0.00,12.84,,100,,120,,0.00,7.63,,90-99,,125,,0.00,8.06,,90-99,,125,,0.00,7.09,,100,,140,,0.00,8.70
E06000049,895,Cheshire East,100,,165,,0.00,9.09,,90-99,,220,,x,11.31,,100,,220,,0.00,9.17,,90-99,,205,,0.00,8.33,,100,,180,,0.00,10.00
E06000050,896,Cheshire West & Chester,90-99,,175,,0.00,8.52,,90-99,,175,,0.00,9.04,,100,,170,,0.00,10.59,,90-99,,170,,0.00,11.11,,90-99,,180,,0.00,10.50
E10000006,909,Cumbria,90-99,,220,,0.00,9.55,,100,,245,,0.00,13.17,,100,,260,,0.00,11.45,,90-99,,265,,0.00,9.43,,90-99,,295,,0.00,8.53
E06000006,876,Halton UA,90-99,,75,,0.00,10.96,,100,,50,,0.00,x,,100,,50,,0.00,12.50,,100,,60,,0.00,13.33,,100,,65,,0.00,13.85
E08000011,340,Knowsley,100,,160,,0.00,8.86,,90-99,,155,,0.00,12.42,,100,,135,,0.00,10.29,,100,,120,,0.00,7.38,,100,,115,,0.00,9.40
E10000017,888,Lancashire,90-99,,600,,x,7.81,,90-99,,605,,x,7.59,,90-99,,605,,0.00,7.76,,90-99,,625,,0.00,7.02,,90-99,,675,,x,8.28
