Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA6:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,,,2014,,,,,,,,,,2015,,,,,,,,,,
,,,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,
,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,,90-99,,"26,970",,4.4,3.3,1.1,,5.0,,90-99,,"27,730",,3.9,2.9,1.0,,4.7,,90-99,,"28,960",,4.0,3.0,1.0,,4.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,,.,,"1,700",,3.6,2.8,0.8,,3.6,,.,,"1,790",,3.2,2.4,0.8,,2.7,,.,,"1,860",,3.4,2.4,0.9,,4.4,,
E06000005,841,Darlington,,100,,80,,3.0,2.4,0.6,,x,,100,,75,,4.8,2.1,2.6,,x,,90-99,,75,,5.8,2.7,3.2,,13.2,,
E06000047,840,Durham,,100,,255,,3.6,3.1,0.5,,3.6,,100,,280,,2.6,2.1,0.4,,x,,100,,300,,2.5,2.3,0.2,,2.0,,
E08000020,390,Gateshead,,90-99,,155,,3.3,2.8,0.5,,x,,90-99,,165,,3.7,2.6,1.1,,4.3,,90-99,,155,,4.2,2.7,1.5,,6.5,,
E06000001,805,Hartlepool,,100,,80,,2.9,2.6,0.3,,0.0,,100,,85,,2.1,1.9,0.1,,0.0,,100,,85,,1.9,1.6,0.3,,0.0,,
E06000002,806,Middlesbrough,,100,,160,,3.7,2.4,1.3,,3.8,,100,,150,,3.2,2.6,0.6,,x,,100,,155,,3.4,2.6,0.8,,5.2,,
E08000021,391,Newcastle upon Tyne,,100,,235,,3.1,2.5,0.7,,3.0,,100,,220,,3.2,2.5,0.8,,4.1,,100,,225,,3.5,2.7,0.8,,6.2,,
E08000022,392,North Tyneside,,90-99,,130,,3.5,2.6,0.9,,x,,90-99,,145,,2.8,2.2,0.6,,x,,90-99,,140,,3.9,2.5,1.4,,5.7,,
E06000048,929,Northumberland,,100,,120,,5.1,4.3,0.8,,6.8,,100,,125,,4.4,3.0,1.4,,x,,100,,140,,4.6,3.2,1.4,,6.4,,
E06000003,807,Redcar & Cleveland,,100,,70,,3.0,2.5,0.5,,x,,100,,75,,2.5,2.3,0.2,,0.0,,100,,80,,2.4,2.3,0.1,,0.0,,
