Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LAI4: Emotional and behavioural health of children looked after continuously for 12 months at 31 March for whom a Strengths and Difficulties Questionnaire (SDQ) was completed, by Local Authority1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,numbers and percentages,,,,,,,,,,,,
,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,,,,,,,,,,,
,,Number of children looked after for at least 12 months aged 5 to 161,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score2,Percentage of children for whom an SDQ score was submitted,Average score per child3,Banded SDQ Score4,,,,Number of children looked after for at least 12 months aged 5 to 161,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score2,Percentage of children for whom an SDQ score was submitted,Average score per child3,Banded SDQ Score4,,,,Number of children looked after for at least 12 months aged 5 to 161,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score2,Percentage of children for whom an SDQ score was submitted,Average score per child3,Banded SDQ Score4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Percentage,,,,,,,,Percentage,,,,,,,,Percentage,,,,,,,,,,,,,,
,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,England,33840,24080,71,14.0,50,12,37,,34750,23640,68,13.9,50,13,37,,36140,25960,72,13.9,50,13,37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North East,2060,1520,73,14.1,49,13,38,,2170,1410,65,13.9,50,13,37,,2270,1650,73,14.0,49,13,38,,,,,,,,,,,,
841,Darlington,95,75,75,14.8,37,22,41,,100,75,74,14.7,51,x,x,,95,95,100,14.8,45,13,43,,,,,,,,,,,,
840,Durham,300,190,64,16.3,37,14,49,,320,165,51,15.1,39,16,44,,340,240,71,15.8,40,12,48,,,,,,,,,,,,
390,Gateshead,190,120,64,13.3,56,8,36,,195,140,73,12.1,58,16,26,,185,145,78,12.7,56,11,33,,,,,,,,,,,,
805,Hartlepool,95,90,97,13.0,52,18,31,,100,95,95,13.0,55,7,38,,100,100,99,13.2,53,10,37,,,,,,,,,,,,
806,Middlesbrough,195,195,100,13.0,53,13,34,,180,170,92,13.3,51,15,33,,195,195,98,13.6,52,12,37,,,,,,,,,,,,
391,Newcastle upon Tyne,295,220,74,11.8,62,11,27,,275,200,72,12.6,57,10,34,,275,180,66,13.3,50,16,34,,,,,,,,,,,,
392,North Tyneside,160,110,69,16.4,38,12,50,,175,160,91,13.8,52,14,34,,170,165,96,13.9,50,12,38,,,,,,,,,,,,
929,Northumberland,140,110,77,15.2,46,10,44,,155,130,83,14.5,48,12,40,,180,160,90,14.0,49,12,39,,,,,,,,,,,,
807,Redcar and Cleveland,95,85,90,14.6,46,13,41,,95,85,90,14.3,50,12,38,,105,100,97,14.4,49,10,41,,,,,,,,,,,,
393,South Tyneside,160,80,52,14.3,54,11,35,,160,x,x,x,x,x,x,,155,85,54,13.4,49,13,37,,,,,,,,,,,,
808,Stockton-on-Tees,160,105,65,14.6,47,12,41,,190,145,76,14.0,52,15,33,,215,185,86,14.0,49,16,35,,,,,,,,,,,,
394,Sunderland5,180,135,76,13.6,51,14,35,,225,45,21,22.3,22,x,x,,260,0,0,.,.,.,.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North West,6140,4540,74,13.0,56,12,32,,6400,4780,75,13.2,55,13,33,,6850,5520,81,13.1,55,12,33,,,,,,,,,,,,
889,Blackburn with Darwen,170,115,70,14.7,45,11,44,,185,125,67,15.5,41,11,48,,195,120,62,14.1,46,14,40,,,,,,,,,,,,
890,Blackpool,220,120,55,14.4,45,13,42,,225,140,62,13.9,49,15,36,,230,220,96,13.5,53,12,36,,,,,,,,,,,,
350,Bolton,275,145,53,14.1,52,9,39,,290,235,81,13.1,56,11,33,,305,250,82,13.9,49,14,37,,,,,,,,,,,,
351,Bury,165,80,47,11.6,59,15,26,,170,95,56,11.9,61,13,27,,165,115,68,11.8,61,11,28,,,,,,,,,,,,
895,Cheshire East,235,195,83,14.4,47,12,42,,205,195,95,14.2,45,14,41,,205,200,97,13.5,50,15,35,,,,,,,,,,,,
896,Cheshire West and Chester,205,90,45,12.9,60,10,30,,235,120,51,14.1,49,12,40,,255,140,56,12.8,61,11,27,,,,,,,,,,,,
909,Cumbria,300,180,60,14.6,41,16,43,,340,225,67,14.4,47,15,38,,350,285,82,13.8,52,14,34,,,,,,,,,,,,
876,Halton,65,60,92,12.9,56,x,x,,75,65,87,13.7,51,x,x,,120,110,94,14.2,50,12,39,,,,,,,,,,,,
340,Knowsley,140,125,88,11.9,62,16,22,,145,145,100,12.4,55,15,31,,145,145,99,12.2,59,13,27,,,,,,,,,,,,
888,Lancashire,700,570,82,13.6,53,13,34,,760,490,65,13.0,54,14,33,,860,605,70,13.6,50,12,38,,,,,,,,,,,,
341,Liverpool,540,495,91,12.2,59,13,28,,520,420,81,12.3,59,11,30,,540,380,70,12.9,58,8,34,,,,,,,,,,,,
352,Manchester,710,660,93,13.0,56,14,30,,720,710,98,12.8,57,12,31,,790,690,87,12.8,55,11,33,,,,,,,,,,,,
353,Oldham,175,125,73,14.5,54,11,35,,180,155,86,12.8,55,14,32,,215,195,91,13.7,52,16,32,,,,,,,,,,,,
354,Rochdale,255,145,57,11.7,62,14,24,,290,145,51,11.5,67,12,21,,290,215,75,11.0,68,13,19,,,,,,,,,,,,
355,Salford,275,235,86,12.5,61,8,31,,295,240,81,12.3,63,10,27,,320,295,92,12.7,59,11,30,,,,,,,,,,,,
343,Sefton,240,0,0,.,.,.,.,,230,75,32,10.8,69,x,x,,230,190,82,13.1,53,13,34,,,,,,,,,,,,
342,St. Helens,195,175,89,12.4,56,18,25,,235,195,85,12.5,60,10,30,,240,230,95,12.2,58,12,30,,,,,,,,,,,,
356,Stockport,140,135,95,14.3,51,8,40,,130,120,92,14.1,48,13,39,,140,125,91,14.5,43,18,39,,,,,,,,,,,,
357,Tameside,210,150,71,11.8,64,11,25,,235,230,99,11.9,63,12,26,,245,235,95,12.5,57,14,30,,,,,,,,,,,,
358,Trafford,150,135,89,12.2,65,5,29,,165,165,98,10.5,69,11,20,,190,180,95,10.2,71,9,20,,,,,,,,,,,,
877,Warrington,120,115,94,14.1,46,16,38,,130,115,88,14.3,50,11,39,,130,115,88,14.4,47,12,42,,,,,,,,,,,,
359,Wigan,270,225,83,12.0,59,10,31,,265,140,53,15.2,46,17,37,,290,235,80,12.6,60,6,34,,,,,,,,,,,,
344,Wirral,385,265,69,12.1,61,8,31,,385,240,62,16.8,37,13,49,,400,250,63,15.4,43,15,42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yorkshire and the Humber,3880,2310,59,14.2,50,12,38,,3970,2700,68,14.0,50,13,37,,4050,2740,68,14.4,47,13,39,,,,,,,,,,,,
370,Barnsley,90,50,58,14.4,52,13,35,,95,80,82,14.3,47,9,44,,100,80,81,13.7,52,13,35,,,,,,,,,,,,
380,Bradford,475,305,64,12.4,60,12,28,,485,320,66,12.6,57,12,30,,495,345,70,13.7,52,13,35,,,,,,,,,,,,
381,Calderdale,195,0,0,.,.,.,.,,210,15,8,14.6,35,x,x,,200,135,68,14.2,48,13,39,,,,,,,,,,,,
371,Doncaster,230,175,77,13.8,55,6,39,,250,235,93,15.0,47,10,43,,280,235,84,15.2,45,13,42,,,,,,,,,,,,
811,East Riding of Yorkshire,165,140,87,14.1,55,11,34,,160,150,96,14.2,52,8,40,,170,145,84,14.2,47,15,38,,,,,,,,,,,,
810,"Kingston Upon Hull, City of",335,90,27,14.1,52,13,34,,370,105,29,13.9,47,13,40,,360,45,12,13.2,59,x,x,,,,,,,,,,,,
382,Kirklees,340,185,54,12.7,56,15,30,,345,330,96,12.8,54,14,32,,360,320,88,13.1,52,15,33,,,,,,,,,,,,
383,Leeds,750,395,52,15.2,42,12,46,,720,350,49,13.9,51,16,34,,745,320,43,15.1,43,14,42,,,,,,,,,,,,
812,North East Lincolnshire,70,55,80,14.3,47,14,39,,90,85,95,13.5,56,7,37,,115,105,90,12.9,60,11,30,,,,,,,,,,,,
813,North Lincolnshire,90,90,100,16.1,43,8,49,,95,95,100,15.9,41,10,49,,105,105,100,15.3,39,13,48,,,,,,,,,,,,
815,North Yorkshire,260,175,68,14.2,50,8,41,,285,230,81,13.6,53,12,35,,250,225,90,13.4,51,17,33,,,,,,,,,,,,
372,Rotherham,225,180,79,15.2,41,15,44,,220,155,70,13.9,46,19,35,,225,160,70,15.2,42,13,46,,,,,,,,,,,,
373,Sheffield,275,190,69,15.6,44,15,41,,270,250,92,16.0,41,14,45,,270,230,84,15.3,46,8,46,,,,,,,,,,,,
384,Wakefield,225,135,61,13.9,50,10,40,,230,175,78,13.7,50,9,41,,250,190,76,15.7,41,12,47,,,,,,,,,,,,
816,York,150,130,86,14.3,52,15,33,,140,125,89,14.4,49,13,38,,120,110,91,15.1,39,17,43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Midlands,2310,1640,71,15.2,43,12,44,,2430,1530,63,15.2,43,14,43,,2500,1230,49,15.5,42,12,46,,,,,,,,,,,,
831,Derby,260,160,61,16.8,40,9,51,,265,175,66,16.3,37,14,49,,250,170,68,16.0,39,13,48,,,,,,,,,,,,
830,Derbyshire,320,315,98,15.2,42,13,45,,320,285,89,15.8,39,18,43,,325,110,33,15.8,34,18,48,,,,,,,,,,,,
856,Leicester,255,165,65,13.2,51,13,36,,275,165,61,13.8,51,13,35,,275,55,21,15.1,38,16,46,,,,,,,,,,,,
855,Leicestershire,180,0,0,.,.,.,.,,205,0,0,.,.,.,.,,210,45,20,16.5,44,x,x,,,,,,,,,,,,
925,Lincolnshire,265,265,100,14.4,49,11,40,,295,295,100,14.7,45,12,43,,310,305,99,15.3,42,12,45,,,,,,,,,,,,
928,Northamptonshire,350,210,60,16.1,39,14,47,,360,120,34,14.9,49,7,43,,410,45,11,12.8,56,13,31,,,,,,,,,,,,
892,Nottingham,260,245,94,15.2,44,11,46,,275,250,92,15.1,41,18,41,,265,230,88,16.1,42,10,48,,,,,,,,,,,,
891,Nottinghamshire,405,265,66,15.5,41,15,44,,415,215,52,15.0,44,13,43,,440,265,60,15.4,42,11,47,,,,,,,,,,,,
857,Rutland,15,15,81,21.5,x,x,85,,15,15,94,19.7,x,x,73,,20,10,50,8.7,x,x,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Midlands,4490,3140,70,13.7,52,12,36,,4810,2840,59,13.5,53,12,35,,5020,3260,65,13.5,52,12,36,,,,,,,,,,,,
330,Birmingham,1005,935,93,13.6,52,11,36,,1015,860,85,13.0,57,11,32,,1005,850,85,12.5,58,11,31,,,,,,,,,,,,
