,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_CLA_2014,Boys_CLA_2014,Girls_CLA_2014,All_CLA_2015,Boys_CLA_2015,Girls_CLA_2015,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013,All_non_CLA_2014,Boys_non_CLA_2014,Girls_non_CLA_2014,All_non_CLA_2015,Boys_non_CLA_2015,Girls_non_CLA_2015
Elig_KS2,2113,1186,927,2306,1248,1058,2300,1226,1074,2464,1361,1103,2657,1492,1165,552372,281941,270431,541757,276529,265228,537841,274957,262884,558794,285711,273083,576531,294475,282056
Elig_read,2113,1186,927,2304,1246,1058,2298,1224,1074,2463,1361,1102,2655,1491,1164,552372,281941,270431,541757,276529,265228,537841,274957,262884,558540,285621,272919,576531,294475,282056
Lev4_read,1237,661,576,1475,726,749,1447,740,707,1680,897,783,1876,1006,870,463308,226348,236960,469694,231662,238032,461905,229421,232484,495674,248446,247228,514167,256636,257531
Elig_maths,2113,1186,927,2306,1248,1058,2300,1226,1074,2464,1361,1103,2653,1490,1163,552196,281857,270339,541746,276529,265217,537828,274954,262874,558528,285614,272914,575951,294199,281752
Lev4_maths,1089,633,456,1283,673,610,1354,722,632,1490,825,665,1689,945,744,444714,227182,217532,456353,233013,223340,455847,232632,223215,480796,245229,235567,501152,255604,245548
Elig_writ,.,.,.,2292,1242,1050,2297,1223,1074,2457,1356,1101,2648,1484,1164,.,.,.,540909,276139,264770,537423,274794,262629,558794,285711,273083,576109,294246,281863
Lev4_writ,.,.,.,1163,547,616,1252,595,657,1439,698,741,1618,812,806,.,.,.,439957,210192,229765,448080,215577,232503,476214,230923,245291,500422,243952,256470
Elig_GPS,.,.,.,.,.,.,2298,1224,1074,2462,1360,1102,2657,1492,1165,.,.,.,.,.,.,537809,274945,262864,558479,285583,272896,576460,294444,282016
Lev4_GPS,.,.,.,.,.,.,1023,498,525,1216,587,629,1441,736,705,.,.,.,.,.,.,396796,189273,207523,427052,204651,222401,462508,224641,237867
Elig_RWM,.,.,.,2290,1240,1050,2297,1223,1074,2456,1355,1101,2643,1482,1161,.,.,.,540733,276037,264696,537368,274769,262599,558252,285443,272809,575415,293897,281518
Lev4_RWM,.,.,.,965,453,512,1033,514,519,1180,589,591,1373,726,647,.,.,.,403690,195385,208305,405737,197916,207821,438842,215790,223052,461267,227391,233876
Elig_KS2prog_read,..,..,..,2217,1198,1019,2230,1188,1042,2378,1307,1071,2581,1445,1136,..,..,..,515194,263082,252112,512067,262043,250024,531744,272028,259716,547864,279985,267879
Exp_KS2prog_read,..,..,..,1713,863,850,1717,889,828,1929,1045,884,2104,1146,958,..,..,..,460946,231267,229679,451054,228949,222105,483298,246022,237276,499249,252648,246601
Elig_KS2prog_maths,2045,1134,911,2217,1198,1019,2233,1188,1045,2379,1308,1071,2582,1446,1136,533151,272291,260860,515402,263265,252137,512941,262564,250377,533203,272905,260298,549393,280884,268509
Exp_KS2prog_maths,1373,781,592,1576,839,737,1646,876,770,1791,971,820,1992,1120,872,441711,227045,214666,448568,230570,217998,451527,231902,219625,477386,244823,232563,492785,253416,239369
Elig_KS2prog_writ,..,..,..,2221,1201,1020,2231,1189,1042,2377,1306,1071,2583,1447,1136,..,..,..,516060,263448,252612,512645,262258,250387,532401,272311,260090,548719,280312,268407
Exp_KS2prog_writ,..,..,..,1705,876,829,1805,941,864,1954,1040,914,2162,1169,993,..,..,..,464094,231954,232140,468954,235364,233590,495056,249144,245912,516572,260186,256386
