,Primary_without_statement,Primary_statement,Secondary_without_statement,Secondary_statement,Special_without_statement,Special_statement,PRU_without_statement,PRU_statement
No_SEN,6475,0,6957,0,x,0,79,0
School_action,750,0,512,0,x,0,8,0
School_action_plus_SEN_support,4714,0,4912,0,51,0,289,0
Statement_EHCP,0,1412,0,1834,0,4361,0,109
SPLD,329,62,526,114,x,37,x,x
MLD,1201,204,1177,325,x,755,15,x
SLD,23,59,x,41,x,909,0,x
PMLD,12,14,0,9,x,347,0,0
SEMH,1939,570,2229,895,25,1358,248,96
SLCN,783,296,211,191,x,165,x,x
HI,25,20,32,11,0,27,x,0
VI,18,12,24,21,0,22,x,0
MSI,x,0,x,x,0,13,0,0
PD,40,50,36,40,x,97,0,0
ASD,51,83,89,128,13,581,0,x
OTH,198,37,479,50,x,47,8,x
NSA,93,x,103,7,0,x,11,0
