New_geog_code,geog_l,geog_c,geog_n,CLA_12mths,CLA_10over,CLA_convicted,CLA_submisuse,CLA_subint,CLA_suboffint,CLA_immunisation,CLA_teethcheck,CLA_healthassmt,CLA_under5,CLA_devassmt,CLA_5to16,CLA_SDQ,CLA_SDQnormal,CLA_SDQborderline,CLA_SDQconcern
E92000001,NATIONAL,999,ENGLAND,48490,33120,1640,1850,930,740,42280,40770,43630,5120,4260,36870,27610,13600,3570,10440
E12000001,REGION,A,NORTH EAST,2960,1960,120,120,80,40,2630,2520,2670,340,290,2280,1630,770,200,660
E12000002,REGION,B,NORTH WEST,9280,5690,220,280,140,70,8390,7600,8490,1280,910,7090,5700,3050,760,1880
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,5220,3420,210,160,80,70,4770,4470,4840,580,550,4050,3070,1470,400,1200
E12000004,REGION,D,EAST MIDLANDS,3550,2370,90,150,110,30,3120,2730,3070,430,370,2640,1800,770,250,780
E12000005,REGION,E,WEST MIDLANDS,6860,4280,180,210,90,90,5890,5620,6090,940,820,5170,3900,1910,490,1500
E12000006,REGION,F,EAST OF ENGLAND,4300,3150,110,100,50,40,3920,3800,3900,320,270,3370,2630,1240,310,1090
E12000007,REGION,G,LONDON,6350,4970,320,350,160,170,5340,5600,5890,410,380,4610,3760,2040,480,1230
E12000007,REGION,H,INNER LONDON,2640,2080,150,190,100,70,2140,2270,2450,170,150,1980,1570,870,200,510
E12000007,REGION,I,OUTER LONDON,3710,2890,170,160,60,100,3190,3330,3440,240,240,2640,2180,1170,280,730
E12000008,REGION,J,SOUTH EAST,6300,4540,220,340,150,180,5170,5450,5470,560,510,4800,3020,1420,400,1190
E12000009,REGION,K,SOUTH WEST,3680,2730,160,160,80,60,3050,2970,3210,260,160,2870,2100,920,270,910
E09000001,LA,201,City of London,x,x,0,0,0,0,x,x,x,0,0,x,x,x,0,0
E09000007,LA,202,Camden,122,105,11,24,24,0,118,115,117,x,x,94,87,49,11,27
E09000011,LA,203,Greenwich,379,273,10,26,10,16,339,337,373,26,24,286,255,137,41,77
E09000012,LA,204,Hackney,218,166,7,13,8,x,190,180,184,20,18,166,133,72,15,46
E09000013,LA,205,Hammersmith and Fulham,114,101,9,8,x,6,102,110,102,x,x,84,67,45,8,14
E09000019,LA,206,Islington,219,176,16,9,x,8,210,190,212,14,14,149,100,57,11,32
E09000020,LA,207,Kensington and Chelsea,58,51,0,x,x,x,52,54,58,x,x,39,35,20,x,11
E09000022,LA,208,Lambeth,303,225,12,36,13,18,151,224,251,30,17,225,179,107,21,51
E09000023,LA,209,Lewisham,326,261,30,25,23,x,282,263,311,20,20,250,171,80,23,68
E09000028,LA,210,Southwark,340,246,23,28,11,7,235,311,326,23,20,259,195,88,31,76
E09000030,LA,211,Tower Hamlets,167,140,7,21,x,18,127,135,142,9,9,118,106,63,15,28
E09000032,LA,212,Wandsworth,122,89,11,10,10,0,101,112,121,14,14,82,62,34,12,16
