Back to index,,,,,,,,,
Table LA1: Key stage 1 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,
Year: 20165,,,,,,,,,
"Coverage: England, All schools2",,,,,,,,,
,,,,,,,,,
LA Code,,,Number eligible for key stage 1 assessments3,,Reaching the expected standard4 (%),,,,
,,,,,Reading,Writing,Mathematics,Science,
,,,,,,,,,
,,ENGLAND,"1,820",,50,37,46,58,
,,,,,,,,,
,,NORTH EAST,110,,61,45,58,68,
E06000005,841,Darlington,5,,x,x,x,x,
E06000047,840,Durham,25,,61,48,57,61,
E08000020,390,Gateshead,10,,x,x,x,x,
E06000001,805,Hartlepool,x,,x,x,x,x,
E06000002,806,Middlesbrough,10,,x,x,x,x,
E08000021,391,Newcastle upon Tyne,10,,x,x,x,x,
E08000022,392,North Tyneside,x,,x,x,x,x,
E06000048,929,Northumberland,10,,x,x,x,x,
E06000003,807,Redcar and Cleveland,x,,x,x,x,x,
E08000023,393,South Tyneside,5,,x,x,x,x,
E06000004,808,Stockton-on-Tees,10,,x,x,x,x,
E08000024,394,Sunderland,20,,57,33,52,71,
,,,,,,,,,
,,NORTH WEST,450,,49,38,48,61,
E06000008,889,Blackburn with Darwen,10,,x,x,x,x,
E06000009,890,Blackpool,20,,42,32,53,53,
E08000001,350,Bolton,35,,60,49,60,69,
E08000002,351,Bury,10,,50,x,50,75,
E06000049,895,Cheshire East,10,,x,x,x,x,
E06000050,896,Cheshire West and Chester,20,,53,37,47,63,
E10000006,909,Cumbria,25,,50,46,42,65,
E06000006,876,Halton,5,,x,x,x,x,
E08000011,340,Knowsley,10,,x,x,x,x,
E10000017,888,Lancashire,50,,50,42,42,56,
E08000012,341,Liverpool,30,,31,28,41,52,
E08000003,352,Manchester,40,,64,46,54,64,
E08000004,353,Oldham,15,,64,43,57,79,
E08000005,354,Rochdale,20,,50,39,56,67,
E08000006,355,Salford,20,,70,50,65,80,
E08000014,343,Sefton,15,,53,47,47,65,
E08000013,342,St. Helens,15,,43,50,x,57,
E08000007,356,Stockport,10,,x,x,x,x,
E08000008,357,Tameside,15,,63,x,44,81,
