Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA3a: Key stage 4 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2012 - 20162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,2013,,,,,,20144,,,,,20155,,,,,,20166,,,
LA Code,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,
,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"4,870",15.4,3.3,1.3,,"4,880",16.2,6.3,2.5,,,"4,820",14.3,7.0,2.7,,"4,960",15.9,7.5,2.8,,,"4,890",17.5,8.2,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,310,16.9,3.2,x,,300,17.8,5.7,2.0,,,300,16.3,8.0,x,,290,13.8,8.0,2.1,,,290,22.5,6.5,3.8
E06000005,841,Darlington,15,x,x,x,,15,x,x,x,,,15,x,x,x,,20,x,x,x,,,10,x,x,x
E06000047,840,Durham,45,17.4,x,x,,35,20.0,x,x,,,45,x,x,x,,30,x,x,x,,,40,30.8,x,x
E08000020,390,Gateshead,30,x,x,x,,20,33.3,x,x,,,25,x,x,x,,30,x,x,x,,,30,19.4,x,x
E06000001,805,Hartlepool,10,x,x,x,,20,33.3,x,x,,,15,x,x,x,,15,x,x,x,,,10,x,x,x
E06000002,806,Middlesbrough,30,x,x,x,,30,x,x,x,,,20,x,x,x,,30,23.3,x,x,,,20,x,x,x
E08000021,391,Newcastle upon Tyne,55,14.3,x,x,,60,12.9,x,x,,,45,13.6,x,x,,40,x,x,x,,,45,32.6,x,x
E08000022,392,North Tyneside,15,x,x,x,,20,x,x,x,,,20,x,x,x,,25,x,x,x,,,15,x,x,x
E06000048,929,Northumberland,25,x,x,x,,25,x,x,x,,,20,42.9,28.6,x,,20,x,x,x,,,25,29.2,x,x
