Back to index,,,,,,,,,,,,,,,,,,
"Table LA3c: Key stage 4 average Progress 8 scores4,5 of children who have been looked after continuously for at least twelve months1",,,,,,,,,,,,,,,,,,
Year: 2016,,,,,,,,,,,,,,,,,,
"Coverage: England, state-funded schools, non-maintained special schools and alternative provision2,3",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LA Code,,,Number of pupils included,"Average Progress 8 score4,5",Lower confidence interval,Upper confidence interval,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,ENGLAND,3770,-1.14,-1.17,-1.10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,NORTH EAST,260,-1.22,-1.34,-1.09,,,,,,,,,,,,
E06000005,841,Darlington,10,-1.45,-2.08,-0.83,,,,,,,,,,,,
E06000047,840,Durham,35,-0.50,-0.84,-0.15,,,,,,,,,,,,
E08000020,390,Gateshead,30,-1.07,-1.46,-0.68,,,,,,,,,,,,
E06000001,805,Hartlepool,10,-1.69,-2.29,-1.09,,,,,,,,,,,,
E06000002,806,Middlesbrough,20,-1.93,-2.42,-1.44,,,,,,,,,,,,
E08000021,391,Newcastle upon Tyne,35,-0.93,-1.27,-0.59,,,,,,,,,,,,
E08000022,392,North Tyneside,15,-1.51,-2.03,-0.99,,,,,,,,,,,,
E06000048,929,Northumberland,20,-1.59,-2.07,-1.11,,,,,,,,,,,,
E06000003,807,Redcar and Cleveland,15,-1.01,-1.55,-0.47,,,,,,,,,,,,
E08000023,393,South Tyneside,20,-1.24,-1.72,-0.77,,,,,,,,,,,,
E06000004,808,Stockton-on-Tees,15,-1.34,-1.88,-0.80,,,,,,,,,,,,
E08000024,394,Sunderland,30,-1.49,-1.86,-1.12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,NORTH WEST,650,-1.27,-1.35,-1.19,,,,,,,,,,,,
E06000008,889,Blackburn with Darwen,20,-1.18,-1.67,-0.69,,,,,,,,,,,,
E06000009,890,Blackpool,15,-1.66,-2.16,-1.15,,,,,,,,,,,,
E08000001,350,Bolton,30,-1.39,-1.76,-1.02,,,,,,,,,,,,
E08000002,351,Bury,10,-1.67,-2.30,-1.04,,,,,,,,,,,,
E06000049,895,Cheshire East,20,-1.51,-1.98,-1.05,,,,,,,,,,,,
E06000050,896,Cheshire West and Chester,30,-1.59,-1.96,-1.21,,,,,,,,,,,,
E10000006,909,Cumbria,30,-0.97,-1.36,-0.59,,,,,,,,,,,,
E06000006,876,Halton,10,-0.85,-1.54,-0.15,,,,,,,,,,,,
E08000011,340,Knowsley,15,-1.95,-2.49,-1.42,,,,,,,,,,,,
E10000017,888,Lancashire,90,-1.28,-1.50,-1.06,,,,,,,,,,,,
E08000012,341,Liverpool,50,-1.34,-1.63,-1.04,,,,,,,,,,,,
E08000003,352,Manchester,70,-1.11,-1.35,-0.86,,,,,,,,,,,,
E08000004,353,Oldham,20,-0.78,-1.23,-0.33,,,,,,,,,,,,
E08000005,354,Rochdale,30,-0.84,-1.23,-0.45,,,,,,,,,,,,
E08000006,355,Salford,35,-0.91,-1.27,-0.54,,,,,,,,,,,,
E08000014,343,Sefton,30,-0.88,-1.26,-0.50,,,,,,,,,,,,
E08000013,342,St. Helens,20,-1.88,-2.36,-1.39,,,,,,,,,,,,
E08000007,356,Stockport,15,-1.03,-1.59,-0.48,,,,,,,,,,,,
E08000008,357,Tameside,25,-1.45,-1.85,-1.05,,,,,,,,,,,,
E08000009,358,Trafford,15,-2.02,-2.60,-1.44,,,,,,,,,,,,
E06000007,877,Warrington,15,-1.03,-1.54,-0.53,,,,,,,,,,,,
E08000010,359,Wigan,25,-1.36,-1.80,-0.93,,,,,,,,,,,,
E08000015,344,Wirral,40,-1.52,-1.85,-1.18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,420,-1.16,-1.26,-1.06,,,,,,,,,,,,
E08000016,370,Barnsley,15,-0.74,-1.30,-0.19,,,,,,,,,,,,
E08000032,380,Bradford,55,-1.48,-1.76,-1.20,,,,,,,,,,,,
E08000033,381,Calderdale,20,-1.18,-1.65,-0.72,,,,,,,,,,,,
E08000017,371,Doncaster,20,-1.11,-1.56,-0.67,,,,,,,,,,,,
E06000011,811,East Riding of Yorkshire,20,-1.15,-1.59,-0.71,,,,,,,,,,,,
E06000010,810,"Kingston Upon Hull, City of",30,-0.68,-1.05,-0.32,,,,,,,,,,,,
E08000034,382,Kirklees,30,-0.79,-1.17,-0.41,,,,,,,,,,,,
E08000035,383,Leeds,70,-1.37,-1.62,-1.12,,,,,,,,,,,,
E06000012,812,North East Lincolnshire,15,-2.25,-2.83,-1.68,,,,,,,,,,,,
E06000013,813,North Lincolnshire,5,0.22,-0.63,1.07,,,,,,,,,,,,
E10000023,815,North Yorkshire,30,-0.81,-1.18,-0.44,,,,,,,,,,,,
E08000018,372,Rotherham,25,-0.94,-1.34,-0.54,,,,,,,,,,,,
E08000019,373,Sheffield,35,-0.92,-1.28,-0.57,,,,,,,,,,,,
E08000036,384,Wakefield,25,-1.37,-1.78,-0.97,,,,,,,,,,,,
E06000014,816,York,20,-1.98,-2.47,-1.49,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,260,-1.18,-1.31,-1.05,,,,,,,,,,,,
E06000015,831,Derby,25,-1.17,-1.57,-0.77,,,,,,,,,,,,
E10000007,830,Derbyshire,30,-0.92,-1.30,-0.54,,,,,,,,,,,,
E06000016,856,Leicester,25,-0.93,-1.34,-0.52,,,,,,,,,,,,
E10000018,855,Leicestershire,20,-1.16,-1.62,-0.69,,,,,,,,,,,,
E10000019,925,Lincolnshire,45,-1.56,-1.88,-1.24,,,,,,,,,,,,
E10000021,928,Northamptonshire,40,-1.07,-1.40,-0.73,,,,,,,,,,,,
E06000018,892,Nottingham,30,-1.30,-1.66,-0.93,,,,,,,,,,,,
E10000024,891,Nottinghamshire,40,-1.14,-1.46,-0.81,,,,,,,,,,,,
E06000017,857,Rutland,0,.,.,.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,480,-1.07,-1.17,-0.98,,,,,,,,,,,,
E08000025,330,Birmingham,105,-0.91,-1.11,-0.70,,,,,,,,,,,,
E08000026,331,Coventry,40,-1.40,-1.73,-1.07,,,,,,,,,,,,
E08000027,332,Dudley,30,-0.61,-0.98,-0.25,,,,,,,,,,,,
E06000019,884,Herefordshire,15,-1.40,-1.98,-0.82,,,,,,,,,,,,
E08000028,333,Sandwell,25,-0.88,-1.32,-0.45,,,,,,,,,,,,
E06000051,893,Shropshire,20,-1.33,-1.82,-0.84,,,,,,,,,,,,
E08000029,334,Solihull,15,-1.06,-1.64,-0.48,,,,,,,,,,,,
E10000028,860,Staffordshire,60,-1.03,-1.31,-0.76,,,,,,,,,,,,
E06000021,861,Stoke-on-Trent,25,-1.15,-1.56,-0.73,,,,,,,,,,,,
E06000020,894,Telford and Wrekin,15,-0.93,-1.49,-0.38,,,,,,,,,,,,
E08000030,335,Walsall,30,-1.98,-2.37,-1.59,,,,,,,,,,,,
E10000031,937,Warwickshire,40,-0.70,-1.04,-0.36,,,,,,,,,,,,
E08000031,336,Wolverhampton,30,-1.16,-1.54,-0.78,,,,,,,,,,,,
E10000034,885,Worcestershire,40,-1.13,-1.45,-0.80,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,370,-1.08,-1.19,-0.97,,,,,,,,,,,,
E06000055,822,Bedford Borough,10,-0.03,-0.66,0.60,,,,,,,,,,,,
E06000056,823,Central Bedfordshire,15,-2.09,-2.63,-1.55,,,,,,,,,,,,
E10000003,873,Cambridgeshire,40,-1.22,-1.55,-0.90,,,,,,,,,,,,
E10000012,881,Essex,55,-1.09,-1.38,-0.81,,,,,,,,,,,,
E10000015,919,Hertfordshire,55,-1.24,-1.53,-0.96,,,,,,,,,,,,
E06000032,821,Luton,25,-1.00,-1.42,-0.59,,,,,,,,,,,,
E10000020,926,Norfolk,65,-0.63,-0.89,-0.37,,,,,,,,,,,,
E06000031,874,Peterborough,25,-0.61,-1.05,-0.18,,,,,,,,,,,,
E06000033,882,Southend-on-Sea,20,-1.69,-2.17,-1.21,,,,,,,,,,,,
E10000029,935,Suffolk,50,-1.39,-1.69,-1.09,,,,,,,,,,,,
E06000034,883,Thurrock,15,-0.81,-1.34,-0.27,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,LONDON,510,-1.02,-1.11,-0.93,,,,,,,,,,,,
,,INNER LONDON,240,-0.96,-1.09,-0.82,,,,,,,,,,,,
E09000007,202,Camden,15,-0.82,-1.37,-0.26,,,,,,,,,,,,
E09000001,201,City of London,x,x,x,x,,,,,,,,,,,,
E09000012,204,Hackney,15,-0.81,-1.32,-0.29,,,,,,,,,,,,
E09000013,205,Hammersmith and Fulham,15,-1.65,-2.23,-1.08,,,,,,,,,,,,
E09000014,309,Haringey,25,-0.50,-0.90,-0.10,,,,,,,,,,,,
E09000019,206,Islington,20,-1.31,-1.78,-0.83,,,,,,,,,,,,
E09000020,207,Kensington and Chelsea,10,-1.49,-2.23,-0.76,,,,,,,,,,,,
E09000022,208,Lambeth,35,-0.71,-1.06,-0.35,,,,,,,,,,,,
E09000023,209,Lewisham,35,-1.20,-1.55,-0.85,,,,,,,,,,,,
E09000025,316,Newham,20,-1.30,-1.74,-0.86,,,,,,,,,,,,
E09000028,210,Southwark,20,-0.58,-1.04,-0.13,,,,,,,,,,,,
E09000030,211,Tower Hamlets,10,-0.58,-1.18,0.02,,,,,,,,,,,,
E09000032,212,Wandsworth,5,-1.95,-2.74,-1.17,,,,,,,,,,,,
E09000033,213,Westminster,5,-0.11,-0.96,0.74,,,,,,,,,,,,
,,OUTER LONDON,270,-1.07,-1.20,-0.95,,,,,,,,,,,,
E09000002,301,Barking and Dagenham,25,-1.12,-1.52,-0.72,,,,,,,,,,,,
E09000003,302,Barnet,15,-1.66,-2.17,-1.16,,,,,,,,,,,,
E09000004,303,Bexley,15,-0.85,-1.43,-0.27,,,,,,,,,,,,
E09000005,304,Brent,15,-1.30,-1.86,-0.74,,,,,,,,,,,,
E09000006,305,Bromley,10,-1.54,-2.28,-0.81,,,,,,,,,,,,
E09000008,306,Croydon,35,-1.10,-1.46,-0.73,,,,,,,,,,,,
E09000009,307,Ealing,20,-1.50,-1.94,-1.05,,,,,,,,,,,,
E09000010,308,Enfield,15,-0.67,-1.17,-0.16,,,,,,,,,,,,
E09000011,203,Greenwich,30,-0.74,-1.13,-0.35,,,,,,,,,,,,
E09000015,310,Harrow,x,x,x,x,,,,,,,,,,,,
E09000016,311,Havering,15,-1.28,-1.80,-0.76,,,,,,,,,,,,
E09000017,312,Hillingdon,10,-0.59,-1.19,0.02,,,,,,,,,,,,
E09000018,313,Hounslow,20,-0.18,-0.63,0.28,,,,,,,,,,,,
E09000021,314,Kingston upon Thames,x,x,x,x,,,,,,,,,,,,
E09000024,315,Merton,10,-1.37,-2.07,-0.68,,,,,,,,,,,,
E09000026,317,Redbridge,5,-1.13,-1.92,-0.35,,,,,,,,,,,,
E09000027,318,Richmond upon Thames,x,x,x,x,,,,,,,,,,,,
E09000029,319,Sutton,5,-1.89,-2.67,-1.10,,,,,,,,,,,,
E09000031,320,Waltham Forest,10,-1.02,-1.67,-0.36,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,480,-1.14,-1.23,-1.04,,,,,,,,,,,,
E06000036,867,Bracknell Forest,5,-0.84,-1.63,-0.06,,,,,,,,,,,,
E06000043,846,Brighton and Hove,30,-1.37,-1.75,-0.99,,,,,,,,,,,,
E10000002,825,Buckinghamshire,20,-1.71,-2.17,-1.24,,,,,,,,,,,,
E10000011,845,East Sussex,30,-1.28,-1.67,-0.89,,,,,,,,,,,,
E10000014,850,Hampshire,60,-1.05,-1.31,-0.78,,,,,,,,,,,,
E06000046,921,Isle of Wight,15,-1.24,-1.79,-0.68,,,,,,,,,,,,
E10000016,886,Kent,95,-1.16,-1.37,-0.94,,,,,,,,,,,,
E06000035,887,Medway,15,-0.60,-1.12,-0.08,,,,,,,,,,,,
E06000042,826,Milton Keynes,10,-0.84,-1.44,-0.24,,,,,,,,,,,,
E10000025,931,Oxfordshire,30,-1.31,-1.69,-0.93,,,,,,,,,,,,
