Back to index,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,
Years: 2016,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LA Code,,,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data2,,Number of looked after children with the following provision for SEN3:,,,,,,,,,Total with SEN5,,,,
,,,,,No SEN,,,"SEN without statement or education, health and care plan4",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,,
,,,,,,,,,,,,,,,,,,
,,ENGLAND,"35,260",,"15,040",42.7,,"10,720",30.4,,"9,510",27.0,,"20,220",57.3,,,
,,,,,,,,,,,,,,,,,,
,,NORTH EAST,"2,230",,"1,000",44.8,,670,29.8,,570,25.4,,"1,230",55.2,,,
E06000005,841,Darlington,95,,45,49.5,,25,29.0,,20,21.5,,45,50.5,,,
E06000047,840,Durham,365,,170,46.6,,95,26.7,,95,26.7,,195,53.4,,,
E08000020,390,Gateshead,170,,85,48.5,,40,24.6,,45,26.9,,90,51.5,,,
E06000001,805,Hartlepool ,100,,50,52.5,,25,24.2,,25,23.2,,45,47.5,,,
E06000002,806,Middlesbrough  ,190,,90,46.8,,50,25.3,,55,27.9,,100,53.2,,,
E08000021,391,Newcastle upon Tyne,255,,125,49.2,,75,30.1,,55,20.7,,130,50.8,,,
E08000022,392,North Tyneside,155,,65,43.1,,55,34.6,,35,22.2,,85,56.9,,,
E06000048,929,Northumberland,160,,65,39.1,,55,32.9,,45,28.0,,100,60.9,,,
E06000003,807,Redcar and Cleveland ,110,,40,36.4,,35,30.0,,35,33.6,,70,63.6,,,
E08000023,393,South Tyneside,155,,60,40.0,,45,27.7,,50,32.3,,95,60.0,,,
E06000004,808,Stockton-on-Tees,220,,90,40.5,,75,34.2,,55,25.2,,130,59.5,,,
E08000024,394,Sunderland,260,,115,43.8,,90,35.4,,55,20.8,,145,56.2,,,
,,,,,,,,,,,,,,,,,,
,,NORTH WEST,"6,830",,"3,190",46.7,,"2,010",29.5,,"1,630",23.9,,"3,640",53.3,,,
E06000008,889,Blackburn with Darwen,170,,65,36.8,,60,35.1,,50,28.1,,110,63.2,,,
E06000009,890,Blackpool,225,,115,52.2,,65,29.0,,40,18.8,,105,47.8,,,
E08000001,350,Bolton,340,,150,44.6,,95,28.2,,95,27.3,,190,55.4,,,
E08000002,351,Bury,160,,60,37.3,,55,33.5,,45,29.1,,100,62.7,,,
E06000049,895,Cheshire East,215,,95,43.8,,50,23.0,,70,33.2,,120,56.2,,,
E06000050,896,Cheshire West & Chester,235,,105,44.1,,65,27.5,,65,28.4,,130,55.9,,,
E10000006,909,Cumbria,370,,175,47.6,,85,22.4,,110,30.0,,195,52.4,,,
E06000006,876,Halton,120,,50,43.7,,45,38.7,,20,17.6,,65,56.3,,,
E08000011,340,Knowsley,165,,65,39.8,,50,30.7,,50,29.5,,100,60.2,,,
E10000017,888,Lancashire,870,,420,48.6,,240,27.8,,205,23.6,,445,51.4,,,
E08000012,341,Liverpool,525,,245,47.2,,175,33.3,,100,19.5,,275,52.8,,,
E08000003,352,Manchester,740,,345,46.7,,215,29.1,,180,24.1,,395,53.3,,,
E08000004,353,Oldham,215,,110,52.1,,50,23.5,,50,24.4,,100,47.9,,,
E08000005,354,Rochdale,280,,155,56.3,,70,25.4,,50,18.3,,120,43.7,,,
E08000006,355,Salford,295,,145,49.3,,80,26.5,,70,24.1,,150,50.7,,,
E08000014,343,Sefton,255,,145,57.0,,55,22.3,,55,20.7,,110,43.0,,,
E08000013,342,St. Helens,230,,90,39.6,,95,40.4,,45,20.0,,140,60.4,,,
E08000007,356,Stockport,145,,55,38.9,,45,31.3,,45,29.9,,90,61.1,,,
E08000008,357,Tameside,250,,135,53.6,,70,29.0,,45,17.3,,115,46.4,,,
E08000009,358,Trafford,200,,85,42.6,,50,25.7,,65,31.7,,115,57.4,,,
E06000007,877,Warrington,165,,60,37.0,,55,33.9,,50,29.1,,105,63.0,,,
E08000010,359,Wigan,280,,120,43.3,,100,35.1,,60,21.6,,160,56.7,,,
E08000015,344,Wirral,385,,180,46.9,,140,36.2,,65,16.9,,205,53.1,,,
,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,"3,890",,"1,770",45.5,,"1,190",30.5,,930,24.0,,"2,120",54.5,,,
E08000016,370,Barnsley,110,,55,50.9,,20,19.6,,35,29.5,,55,49.1,,,
E08000032,380,Bradford,495,,220,44.9,,160,32.6,,110,22.5,,270,55.1,,,
E08000033,381,Calderdale,180,,75,40.9,,65,34.8,,45,24.3,,105,59.1,,,
E08000017,371,Doncaster,285,,140,50.2,,80,27.9,,60,21.9,,140,49.8,,,
E06000011,811,East Riding of Yorkshire,155,,75,49.4,,35,22.1,,45,28.6,,80,50.6,,,
E06000010,810,"Kingston Upon Hull, City of",345,,165,48.5,,115,34.0,,60,17.4,,175,51.5,,,
E08000034,382,Kirklees,345,,160,46.1,,95,27.5,,90,26.4,,185,53.9,,,
