Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA6:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2011 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,
,,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"28,260",,0.24,11.79,,"28,160",,0.15,11.33,,"28,900",,0.13,10.27,,"29,640",,0.12,10.25,,"30,720",,0.14,10.42
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,"1,680",,0.42,11.62,,"1,720",,x,9.87,,"1,840",,0.00,9.04,,"1,900",,x,9.20,,"1,980",,x,8.66
E06000005,841,Darlington,70,,0.00,14.49,,70,,0.00,18.57,,85,,0.00,10.47,,80,,0.00,15.00,,80,,0.00,12.20
E06000047,840,Durham,245,,x,15.45,,250,,x,11.69,,280,,0.00,8.60,,300,,x,7.00,,315,,x,9.49
E08000020,390,Gateshead,135,,0.00,7.30,,155,,0.00,7.05,,165,,0.00,9.70,,175,,x,6.90,,160,,0.00,5.66
E06000001,805,Hartlepool,80,,0.00,8.86,,75,,0.00,x,,85,,0.00,x,,90,,0.00,x,,95,,0.00,7.45
E06000002,806,Middlesbrough,140,,x,12.32,,140,,0.00,10.07,,170,,0.00,10.12,,155,,0.00,11.46,,160,,x,10.56
E08000021,391,Newcastle upon Tyne,260,,0.00,10.38,,255,,0.00,8.56,,245,,0.00,8.64,,235,,0.00,10.21,,240,,x,8.68
E08000022,392,North Tyneside,120,,0.00,7.63,,135,,0.00,9.49,,145,,0.00,10.42,,155,,0.00,9.15,,145,,0.00,9.72
E06000048,929,Northumberland,130,,0.00,14.39,,125,,0.00,11.11,,125,,0.00,14.29,,130,,0.00,13.08,,150,,0.00,11.49
E06000003,807,Redcar & Cleveland,70,,x,22.06,,75,,0.00,10.81,,75,,0.00,10.39,,80,,0.00,13.92,,85,,0.00,11.90
E08000023,393,South Tyneside,125,,0.00,9.45,,140,,x,6.34,,145,,0.00,x,,145,,0.00,x,,140,,x,6.43
E06000004,808,Stockton-on-Tees,115,,0.00,5.13,,135,,0.00,6.77,,150,,0.00,4.73,,160,,0.00,4.38,,190,,0.00,x
E08000024,394,Sunderland,185,,x,13.37,,170,,0.00,15.48,,165,,0.00,14.37,,205,,0.00,14.29,,215,,0.00,10.19
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,"5,330",,0.24,10.64,,"5,370",,x,9.75,,"5,390",,0.19,10.09,,"5,610",,0.12,8.91,,"6,000",,x,9.30
E06000008,889,Blackburn with Darwen,165,,0.00,6.67,,160,,0.00,6.92,,150,,0.00,8.67,,165,,0.00,4.82,,165,,0.00,4.85
E06000009,890,Blackpool,170,,x,8.72,,175,,0.00,9.04,,195,,0.00,7.18,,200,,0.00,9.41,,190,,0.00,6.25
E08000001,350,Bolton,245,,x,9.84,,245,,0.00,9.02,,255,,x,9.09,,270,,0.00,5.60,,285,,0.00,9.09
E08000002,351,Bury,120,,0.00,7.63,,125,,0.00,8.06,,125,,0.00,5.51,,140,,0.00,8.70,,145,,0.00,7.59
E06000049,895,Cheshire East,220,,x,11.31,,220,,0.00,9.17,,205,,0.00,10.29,,180,,0.00,10.00,,175,,0.00,14.29
E06000050,896,Cheshire West & Chester,175,,0.00,9.04,,170,,0.00,10.59,,170,,0.00,12.87,,180,,0.00,10.50,,210,,0.00,11.00
E10000006,909,Cumbria,245,,0.00,13.17,,260,,0.00,11.45,,265,,0.00,10.19,,295,,0.00,8.53,,310,,0.00,6.49
E06000006,876,Halton UA,50,,0.00,x,,45,,0.00,12.77,,60,,0.00,x,,65,,0.00,14.06,,90,,0.00,x
E08000011,340,Knowsley,155,,0.00,12.42,,135,,0.00,10.29,,120,,0.00,8.20,,115,,0.00,9.40,,110,,0.00,10.91
E10000017,888,Lancashire,605,,x,7.59,,610,,0.00,7.89,,630,,x,9.71,,675,,x,8.42,,765,,x,6.94
E08000012,341,Liverpool,490,,x,9.00,,490,,0.00,5.94,,485,,x,8.88,,455,,0.00,9.91,,475,,0.00,9.03
E08000003,352,Manchester,635,,x,16.88,,630,,x,13.22,,605,,x,11.90,,610,,x,10.02,,690,,x,11.63
E08000004,353,Oldham,150,,0.00,10.53,,140,,0.00,5.67,,155,,0.00,9.09,,155,,0.00,7.14,,190,,0.00,6.25
E08000005,354,Rochdale,200,,x,8.91,,210,,0.00,7.62,,230,,0.00,9.96,,255,,x,11.07,,260,,0.00,9.20
E08000006,355,Salford,235,,x,12.29,,245,,x,8.54,,240,,0.00,9.24,,270,,0.00,6.69,,270,,0.00,9.26
E08000014,343,Sefton,200,,0.00,5.97,,215,,0.00,9.72,,210,,0.00,9.91,,200,,0.00,8.54,,200,,0.00,9.41
E08000013,342,St Helens,185,,0.00,8.70,,170,,0.00,9.36,,175,,0.00,10.86,,210,,0.00,9.09,,220,,0.00,14.22
E08000007,356,Stockport,125,,0.00,11.11,,125,,0.00,16.00,,110,,x,16.96,,120,,0.00,9.17,,120,,0.00,8.20
E08000008,357,Tameside,170,,0.00,14.79,,185,,x,15.22,,180,,x,12.29,,195,,x,12.69,,210,,0.00,12.74
E08000009,358,Trafford,130,,0.00,8.46,,125,,0.00,12.00,,130,,0.00,8.59,,150,,0.00,9.33,,165,,0.00,11.45
E06000007,877,Warrington,105,,0.00,12.38,,115,,0.00,12.93,,110,,0.00,12.04,,115,,0.00,8.85,,115,,0.00,15.52
E08000010,359,Wigan,215,,0.00,10.80,,230,,x,9.13,,245,,0.00,11.02,,250,,0.00,8.03,,270,,0.00,7.41
E08000015,344,Wirral,335,,0.00,10.98,,350,,0.00,10.34,,350,,x,10.03,,350,,0.00,8.02,,360,,x,9.67
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,"3,270",,x,9.98,,"3,270",,x,9.67,,"3,410",,x,8.59,,"3,490",,x,9.36,,"3,580",,x,10.35
E08000016,370,Barnsley,105,,0.00,7.62,,85,,0.00,7.23,,70,,0.00,x,,85,,0.00,12.79,,85,,0.00,11.63
E08000032,380,Bradford,430,,0.00,9.03,,420,,0.00,8.13,,420,,0.00,6.43,,420,,0.00,6.87,,435,,0.00,8.76
E08000033,381,Calderdale,125,,0.00,6.30,,160,,0.00,9.26,,185,,0.00,8.70,,200,,0.00,7.04,,185,,0.00,8.15
E08000017,371,Doncaster,185,,0.00,8.65,,165,,x,14.63,,185,,0.00,7.53,,215,,0.00,10.75,,245,,0.00,11.02
E06000011,811,East Riding of Yorkshire,130,,0.00,11.54,,115,,0.00,11.40,,145,,0.00,14.48,,140,,0.00,10.79,,150,,0.00,10.14
E06000010,810,Kingston Upon Hull,280,,x,11.70,,300,,0.00,10.70,,315,,x,8.54,,325,,x,12.69,,315,,0.00,10.09
E08000034,382,Kirklees,260,,0.00,7.75,,265,,0.00,5.66,,295,,0.00,6.80,,310,,0.00,8.39,,325,,0.00,9.91
E08000035,383,Leeds,700,,x,9.17,,685,,0.00,9.36,,675,,0.00,8.46,,650,,0.00,8.18,,665,,x,10.19
E06000012,812,North East Lincolnshire,50,,x,13.46,,50,,x,x,,60,,0.00,13.11,,75,,0.00,7.79,,100,,0.00,x
E06000013,813,North Lincolnshire,75,,0.00,13.51,,70,,0.00,9.72,,75,,0.00,9.09,,80,,0.00,13.92,,95,,0.00,12.77
E10000023,815,North Yorkshire,210,,0.00,10.85,,225,,0.00,8.97,,230,,0.00,9.91,,245,,0.00,8.94,,215,,0.00,14.08
E08000018,372,Rotherham,190,,0.00,9.42,,190,,x,6.38,,185,,0.00,7.57,,200,,0.00,10.61,,195,,0.00,11.79
E08000019,373,Sheffield,235,,0.00,14.10,,245,,0.00,12.60,,235,,x,11.86,,235,,0.00,11.97,,250,,0.00,10.08
E08000036,384,Wakefield,170,,0.00,14.04,,185,,0.00,11.96,,195,,0.00,8.63,,200,,0.00,9.05,,225,,0.00,12.11
E06000014,816,York,115,,x,6.90,,115,,0.00,14.66,,135,,0.00,6.77,,120,,0.00,7.56,,100,,0.00,11.22
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,"1,840",,x,11.78,,"1,880",,x,11.52,,"2,000",,x,11.23,,"2,100",,x,11.22,,"2,110",,x,10.88
E06000015,831,Derby,215,,0.00,9.22,,210,,x,8.02,,230,,0.00,9.48,,235,,x,11.97,,210,,0.00,16.19
E10000007,830,Derbyshire,265,,0.00,15.04,,260,,0.00,17.24,,280,,0.00,14.34,,280,,0.00,9.96,,280,,0.00,11.43
