Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LAI4: Emotional and behavioural health of children looked after continuously for 12 months at 31 March for whom a Strengths and Difficulties Questionnaire (SDQ) was completed, by Local Authority1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,
Years ending 31 March 2014 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2014,,,,,,2015,,,,,,,,,,2016,,,,,,
,,,Number of children looked after for at least 12 months aged 5 to 163,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score4,Percentage of children for whom an SDQ score was submitted,Average score per child,Banded SDQ Score5,,,,Number of children looked after for at least 12 months aged 5 to 163,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score4,Percentage of children for whom an SDQ score was submitted,Average score per child,Banded SDQ Score5,,,,Number of children looked after for at least 12 months aged 5 to 163,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score4,Percentage of children for whom an SDQ score was submitted,Average score per child,Banded SDQ Score5,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Percentage,,,,,,,,Percentage,,,,,,,,Percentage,,
LA Code,,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern
,,England,"34,750","23,640",68,13.9,50,13,37,,"36,120","25,950",72,13.9,50,13,37,,"36,870","27,610",75,14.0,49,13,38
,,,,,,,,,,,,,,,,,,,,,,,,,
,,North East,"2,170","1,410",65,13.9,50,13,37,,"2,260","1,650",73,14.0,49,13,38,,"2,280","1,630",72,14.5,47,12,40
E06000005,841,Darlington,100,75,74,14.7,51,x,42,,95,95,100,14.8,45,13,43,,100,100,99,14.3,47,15,38
E06000047,840,Durham,320,165,51,15.1,39,16,44,,340,240,71,15.8,40,12,48,,355,280,79,14.7,45,15,41
E08000037,390,Gateshead,195,140,73,12.1,58,16,26,,185,145,78,12.7,56,11,33,,175,125,72,15.2,46,11,43
E06000001,805,Hartlepool,100,95,95,13.0,55,7,38,,100,100,99,13.2,53,10,37,,100,95,95,12.5,59,11,31
E06000002,806,Middlesbrough,180,170,92,13.3,51,15,33,,195,195,98,13.6,52,12,37,,195,195,100,13.4,49,15,36
E08000021,391,Newcastle Upon Tyne,275,200,72,12.6,57,10,34,,275,180,66,13.4,50,17,34,,260,185,71,14.0,48,10,41
E08000022,392,North Tyneside,175,160,91,13.8,52,14,34,,170,165,96,14.0,50,12,38,,160,135,83,14.7,47,14,39
E06000057,929,Northumberland,155,130,83,14.6,48,13,40,,175,160,91,13.9,49,13,38,,165,140,84,14.8,45,9,46
E06000003,807,Redcar and Cleveland,95,85,90,14.3,50,12,38,,105,100,97,14.4,49,10,41,,110,100,93,13.8,52,11,37
E08000023,393,South Tyneside,160,x,x,x,x,x,x,,155,85,54,13.4,49,x,37,,165,25,15,14.8,46,8,46
E06000004,808,Stockton-On-Tees,190,145,76,14.0,52,15,33,,215,185,86,14.0,49,16,35,,225,160,70,14.7,46,13,41
E08000024,394,Sunderland,225,45,21,22.3,22,x,70,,255,0,0,0.0,0,0,0,,265,95,35,17.1,41,9,50
,,,,,,,,,,,,,,,,,,,,,,,,,
,,North West,"6,400","4,780",75,13.2,55,13,33,,"6,850","5,520",81,13.1,55,12,33,,"7,090","5,700",80,13.2,54,13,33
E06000008,889,Blackburn with Darwen,185,125,67,15.5,41,11,48,,195,120,62,14.1,46,14,40,,175,150,84,13.9,48,16,36
E06000009,890,Blackpool,225,140,62,13.9,49,15,36,,230,220,96,13.5,53,12,36,,230,165,71,13.3,55,13,33
E08000001,350,Bolton,290,235,81,13.1,56,11,33,,305,250,82,13.9,49,14,37,,340,275,80,13.3,49,16,34
E08000002,351,Bury,170,95,56,11.9,61,13,27,,165,115,68,11.8,61,11,28,,170,80,47,12.1,59,13,29
E06000049,895,Cheshire East,205,195,95,14.2,45,14,41,,205,200,97,13.5,50,15,35,,230,210,93,14.8,45,9,46
E06000050,896,Cheshire West and Chester,235,120,51,14.1,49,12,40,,255,140,56,12.8,61,11,27,,275,205,73,13.4,52,17,31
E10000006,909,Cumbria,340,225,67,14.4,47,15,38,,350,285,82,13.8,52,14,34,,365,300,82,13.6,51,18,31
E06000006,876,Halton,75,65,87,13.7,51,x,43,,120,110,94,14.1,50,12,38,,125,85,66,13.5,54,14,32
E08000011,340,Knowsley,145,145,100,12.4,55,15,31,,145,145,99,12.2,59,13,27,,165,165,100,10.8,65,12,24
