,All_CLA_2016,Boys_CLA_2016,Girls_CLA_2016,All_non_CLA_2016,Boys_non_CLA_2016,Girls_non_CLA_2016
Elig_KS2_read_total,2820,1499,1321,589367,300871,288496
Elig_KS2_read_no_SEN,1210,512,698,480529,230429,250100
Elig_KS2_read_S_or_EHCP,615,437,178,17290,12734,4556
Elig_KS2_read_SEN_support,984,542,442,84638,54377,30261
Exp_KS2_stand_read_total,1157,582,575,389531,187400,202131
Exp_KS2_stand_read_no_SEN,751,321,430,354844,164976,189868
Exp_KS2_stand_read_S_or_EHCP,92,77,15,2484,1961,523
Exp_KS2_stand_read_SEN_support,310,181,129,27338,18185,9153
Elig_KS2_writ_total,2803,1487,1316,588085,300159,287926
Elig_KS2_writ_no_SEN,1209,512,697,480254,230304,249950
Elig_KS2_writ_S_or_EHCP,603,429,174,17032,12549,4483
Elig_KS2_writ_SEN_support,982,540,442,84514,54285,30229
Exp_KS2_stand_writ_total,1282,578,704,435895,203566,232329
Exp_KS2_stand_writ_no_SEN,895,359,536,402328,183683,218645
Exp_KS2_stand_writ_S_or_EHCP,69,55,14,2196,1639,557
Exp_KS2_stand_writ_SEN_support,315,162,153,27075,16294,10781
Elig_KS2_maths_total,2821,1499,1322,589353,300870,288483
Elig_KS2_maths_no_SEN,1210,512,698,480518,230424,250094
Elig_KS2_maths_S_or_EHCP,617,438,179,17294,12739,4555
Elig_KS2_maths_SEN_support,983,541,442,84632,54373,30259
Exp_KS2_stand_maths_total,1158,624,534,412409,210820,201589
Exp_KS2_stand_maths_no_SEN,764,359,405,374508,184820,189688
Exp_KS2_stand_maths_S_or_EHCP,75,64,11,2503,2050,453
Exp_KS2_stand_maths_SEN_support,316,199,117,30466,21547,8919
Elig_KS2_GPS_total,2820,1499,1321,589317,300837,288480
Elig_KS2_GPS_no_SEN,1210,512,698,480522,230425,250097
Elig_KS2_GPS_S_or_EHCP,615,437,178,17282,12727,4555
Elig_KS2_GPS_SEN_support,984,542,442,84633,54372,30261
Exp_KS2_stand_GPS_total,1232,581,651,428148,203555,224593
Exp_KS2_stand_GPS_no_SEN,867,364,503,394053,182279,211774
Exp_KS2_stand_GPS_S_or_EHCP,65,52,13,2556,1970,586
Exp_KS2_stand_GPS_SEN_support,298,164,134,26552,17006,9546
Elig_KS2_RWM_total,2803,1487,1316,588061,300148,287913
Elig_KS2_RWM_no_SEN,1209,512,697,480245,230298,249947
Elig_KS2_RWM_S_or_EHCP,603,429,174,17032,12549,4483
Elig_KS2_RWM_SEN_support,982,540,442,84510,54283,30227
Exp_KS2_stand_RWM_total,704,340,364,315207,149774,165433
Exp_KS2_stand_RWM_no_SEN,534,230,304,297174,138360,158814
Exp_KS2_stand_RWM_S_or_EHCP,35,29,6,1175,902,273
Exp_KS2_stand_RWM_SEN_support,133,80,53,13313,8877,4436
