,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013,All_CLA_2014,Boys_CLA_2014,Girls_CLA_2014,All_non_CLA_2014,Boys_non_CLA_2014,Girls_non_CLA_2014,All_CLA_2015,Boys_CLA_2015,Girls_CLA_2015,All_non_CLA_2015,Boys_non_CLA_2015,Girls_non_CLA_2015,All_CLA_2016,Boys_CLA_2016,Girls_CLA_2016,All_non_CLA_2016,Boys_non_CLA_2016,Girls_non_CLA_2016
Elig_KS4_total,4870,2734,2136,626349,321508,304841,4878,2726,2152,637831,326473,311358,4823,2619,2204,623483,319652,303831,4955,2679,2276,617183,316547,300636,4888,2664,2224,604483,309754,294729
Elig_KS4_no_SEN,1192,536,656,436591,209827,226764,1175,505,670,453059,217124,235935,1337,565,772,450732,217821,232911,1572,693,879,464541,226739,237802,1764,798,966,462793,226351,236442
Elig_KS4_S_or_EHCP,1450,1032,418,21852,16200,5652,1506,1121,385,22936,17111,5825,1545,1104,441,22853,17002,5851,1591,1139,452,22597,16875,5722,1459,1037,422,22188,16434,5754
Elig_KS4_SEN_support,1555,783,772,103635,61676,41959,1569,763,806,96532,58078,38454,1605,768,837,91745,55138,36607,1436,660,776,72821,43838,28983,1270,634,636,62383,37970,24413
Ent_KS4_Ebacc_total,159,63,96,156100,72126,83974,306,123,183,220193,99070,121123,338,136,202,224075,100901,123174,373,145,228,220598,98815,121783,401,173,228,220703,97070,123633
Ent_KS4_Ebacc_no_SEN,105,39,66,121996,54952,67044,195,71,124,190090,84655,105435,207,76,131,203177,90726,112451,274,95,179,203833,90714,113119,297,112,185,204863,89588,115275
Ent_KS4_Ebacc_S_or_EHCP,x,x,x,515,385,130,x,x,x,805,580,225,10,x,x,846,634,212,13,x,x,804,596,208,15,x,x,815,595,220
Ent_KS4_Ebacc_SEN_support,48,23,25,7015,3892,3123,102,50,52,11453,6218,5235,120,51,69,11763,6367,5396,86,40,46,8993,4814,4179,88,50,38,8382,4385,3997
KS4_Ebacc_total,65,17,48,113901,49209,64692,121,40,81,145184,59305,85879,129,39,90,141328,57605,83723,140,42,98,139718,56937,82781,139,51,88,138468,55686,82782
KS4_Ebacc_no_SEN,42,11,31,86972,36234,50738,88,31,57,124898,50560,74338,90,25,65,129580,52733,76847,113,30,83,129935,52784,77151,120,40,80,129467,52048,77419
KS4_Ebacc_S_or_EHCP,x,x,x,254,180,74,x,x,x,393,274,119,x,x,x,427,308,119,x,x,x,382,283,99,x,x,x,377,258,119
KS4_Ebacc_SEN_support,21,x,x,3451,1744,1707,26,8,18,4789,2286,2503,35,x,x,4886,2347,2539,25,11,14,3895,1871,2024,16,9,7,3399,1591,1808
KS4_GCSE_EM_total,750,332,418,371588,176114,195474,791,344,447,378663,177204,201459,690,289,401,342948,161141,181807,787,356,431,340541,161205,179336,857,396,461,355448,169230,186218
KS4_GCSE_EM_no_SEN,432,173,259,303661,140204,163457,458,181,277,321619,147631,173988,406,149,257,303819,140822,162997,525,216,309,307486,143990,163496,602,253,349,320932,151185,169747
KS4_GCSE_EM_S_or_EHCP,33,26,7,1930,1489,441,41,29,12,2185,1667,518,39,x,x,1972,1526,446,48,38,10,2144,1689,455,44,38,6,2238,1742,496
KS4_GCSE_EM_SEN_support,273,127,146,26599,15015,11584,281,133,148,26053,15016,11037,238,102,136,22552,12805,9747,210,101,109,17611,10082,7529,205,103,102,16714,9588,7126
KS4_5GCSE_EM,729,.,.,368358,.,.,755,.,.,373904,.,.,587,.,.,329824,.,.,687,.,.,328271,.,.,663,.,.,320687,.,.
