LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS2_read,Exp_KS2_stand_read,Exp_KS2_stand_read_%,Elig_KS2_writ,Exp_KS2_stand_writ,Exp_KS2_stand_writ_%,Elig_KS2_maths,Exp_KS2_stand_maths,Exp_KS2_stand_maths_%,Elig_KS2_GPS,Exp_KS2_stand_GPS,Exp_KS2_stand_GPS_%,Elig_KS2_RWM,Exp_KS2_stand_RWM,Exp_KS2_stand_RWM_%,Elig_KS2_prog_read,Sum_KS2_prog_read,Ave_KS2_prog_read,Elig_KS2_prog_writ,Sum_KS2_prog_writ,Ave_KS2_prog_writ,Elig_KS2_prog_maths,Sum_KS2_prog_maths,Ave_KS2_prog_maths
1,E92000001,NATIONAL,999,ENGLAND,3010,1360,45,3000,1420,47,3000,1380,46,3010,1510,50,3000,950,32,2790,-1870.9,-0.7,2830,-2557.6,-0.9,2780,-3025.7,-1.1
2,E12000001,REGION,A,NORTH EAST,200,100,48,200,100,52,200,90,43,200,110,56,200,70,33,190,-36.7,-0.2,190,39.4,0.2,190,-103,-0.5
15,E12000002,REGION,B,NORTH WEST,620,300,48,620,310,50,620,310,50,620,330,53,620,220,35,580,-6.5,0,590,-96.2,-0.2,580,88,0.2
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,360,160,44,360,170,46,360,160,45,360,180,49,360,110,30,340,-261.9,-0.8,350,-259.4,-0.8,340,-444.4,-1.3
55,E12000004,REGION,D,EAST MIDLANDS,240,90,37,240,100,40,240,90,37,240,100,41,240,60,24,220,-269.9,-1.2,220,-425.1,-1.9,220,-494.8,-2.2
65,E12000005,REGION,E,WEST MIDLANDS,430,170,40,430,190,44,430,190,44,430,210,48,430,120,29,410,-701.6,-1.7,410,-610.5,-1.5,410,-429.7,-1.1
80,E12000006,REGION,F,EAST OF ENGLAND,260,120,46,260,110,43,260,110,44,260,120,48,260,80,29,230,-110.6,-0.5,240,-240.4,-1,230,-439.8,-1.9
92,E12000007,REGION,G,LONDON,300,170,56,300,170,57,300,170,57,300,190,62,300,130,42,280,-58.4,-0.2,280,-203,-0.7,280,-209.5,-0.8
93,E12000007,REGION,H,INNER LONDON,130,70,53,130,70,54,130,70,55,130,80,63,130,50,40,120,-133.4,-1.1,120,-206,-1.7,120,-176.7,-1.5
108,E12000007,REGION,I,OUTER LONDON,170,100,58,170,100,60,170,100,58,170,100,61,170,80,44,160,75,0.5,160,2.9,0,160,-32.8,-0.2
128,E12000008,REGION,J,SOUTH EAST,360,160,45,360,170,48,360,160,44,360,180,49,360,110,30,330,-326.7,-1,340,-525.1,-1.6,330,-663.2,-2
148,E12000009,REGION,K,SOUTH WEST,230,100,41,230,100,42,230,100,42,230,110,46,230,60,27,210,-98.7,-0.5,210,-237.3,-1.1,210,-329.4,-1.6
95,E09000001,LA,201,City of London,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.
94,E09000007,LA,202,Camden,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
117,E09000011,LA,203,Greenwich,20,9,45,20,12,60,20,10,50,20,8,40,20,9,45,19,-35.6,-1.873684211,19,16.78,0.883157895,19,-12.92,-0.68
96,E09000012,LA,204,Hackney,12,x,x,12,x,x,12,6,50,12,x,x,12,x,x,12,-29.32,-2.443333333,12,-11.58,-0.965,12,-31.05,-2.5875
97,E09000013,LA,205,Hammersmith and Fulham,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
99,E09000019,LA,206,Islington,7,x,x,7,x,x,7,x,x,7,x,x,7,x,x,7,-6.79,-0.97,7,-11.29,-1.612857143,7,9.32,1.331428571
100,E09000020,LA,207,Kensington and Chelsea,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
101,E09000022,LA,208,Lambeth,17,11,64.70588235,17,11,64.70588235,17,10,58.82352941,17,x,x,17,9,52.94117647,15,-1.23,-0.082,15,0.57,0.038,15,-21.91,-1.460666667
102,E09000023,LA,209,Lewisham,17,10,58.82352941,17,9,52.94117647,17,10,58.82352941,17,11,64.70588235,17,7,41.17647059,17,-8.04,-0.472941176,17,-12.07,-0.71,17,-1.6,-0.094117647
104,E09000028,LA,210,Southwark,23,12,52.17391304,23,14,60.86956522,23,14,60.86956522,23,15,65.2173913,23,9,39.13043478,20,-36.3,-1.815,20,-36.89,-1.8445,20,-5.07,-0.2535
105,E09000030,LA,211,Tower Hamlets,7,x,x,7,x,x,7,x,x,7,x,x,7,x,x,7,-27.92,-3.988571429,7,-55.33,-7.904285714,7,-22.6,-3.228571429
106,E09000032,LA,212,Wandsworth,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,9,-13.69,-1.521111111,9,-2.74,-0.304444444,9,-13.3,-1.477777778
107,E09000033,LA,213,Westminster,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
109,E09000002,LA,301,Barking and Dagenham,14,7,50,14,x,x,14,x,x,14,7,50,14,x,x,13,-9.46,-0.727692308,12,-13.92,-1.16,13,-28.27,-2.174615385
110,E09000003,LA,302,Barnet,8,x,x,8,x,x,8,x,x,8,x,x,8,x,x,6,-6.86,-1.143333333,6,-10.74,-1.79,6,9.17,1.528333333
111,E09000004,LA,303,Bexley,8,x,x,8,x,x,8,x,x,8,x,x,8,x,x,7,45.14,6.448571429,7,18.52,2.645714286,7,33.38,4.768571429
112,E09000005,LA,304,Brent,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,11,-2.22,-0.201818182,11,-2.54,-0.230909091,11,5.7,0.518181818
113,E09000006,LA,305,Bromley,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,8,39.18,4.8975,8,0.19,0.02375,8,19.69,2.46125
