LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS4_total,KS4_Pass_EM_5_total,KS4_Pass_EM_5_total_%,KS4_Pass_EM_4_total,KS4_Pass_EM_4_total_%,KS4_Att8_total,KS4_Ave_Att8_total,KS4_Prog8_Elig_total,KS4_Sum_Prog8_total,KS4_Prog8_Ave_total
1,E92000001,NATIONAL,999,ENGLAND,5010,370,7.4,880,17.5,96594.8,19.3,3870,-4542.77,-1.18
2,E12000001,REGION,A,NORTH EAST,330,20,5.5,50,15.5,6625.8,20.1,300,-385.4,-1.31
15,E12000002,REGION,B,NORTH WEST,820,60,6.7,140,16.8,15529.3,19,680,-931.59,-1.37
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,460,40,8.3,90,18.7,9204.5,20.1,380,-374,-0.97
55,E12000004,REGION,D,EAST MIDLANDS,370,30,7.3,70,18.5,7293,19.8,290,-308.65,-1.06
65,E12000005,REGION,E,WEST MIDLANDS,620,50,7.2,120,19.2,13133.8,21.1,480,-475.26,-0.99
80,E12000006,REGION,F,EAST OF ENGLAND,480,40,7.2,80,16.9,9610.3,19.9,370,-386.74,-1.04
92,E12000007,REGION,G,LONDON,780,80,9.6,160,20,14753.1,18.9,510,-632.55,-1.24
93,E12000007,REGION,H,INNER LONDON,330,40,11.1,70,21.5,6713.4,20.7,230,-300.79,-1.31
108,E12000007,REGION,I,OUTER LONDON,460,40,8.6,90,18.9,8039.8,17.6,280,-331.76,-1.19
128,E12000008,REGION,J,SOUTH EAST,750,50,6.7,110,14.8,13200.1,17.6,540,-638.64,-1.19
148,E12000009,REGION,K,SOUTH WEST,400,30,7,70,16.2,7245,18,320,-409.96,-1.29
95,E09000001,LA,201,City of London,0,.,.,.,.,.,.,0,.,.
94,E09000007,LA,202,Camden,18,x,x,x,x,208,11.55555556,11,-28.421,-2.583727273
117,E09000011,LA,203,Greenwich,43,x,x,9,20.93023256,887,20.62790698,32,-33.042,-1.0325625
96,E09000012,LA,204,Hackney,22,x,x,x,x,500.25,22.73863636,16,-9.149,-0.5718125
97,E09000013,LA,205,Hammersmith and Fulham,20,x,x,x,x,439.5,21.975,15,-14.889,-0.9926
99,E09000019,LA,206,Islington,29,x,x,x,x,442.5,15.25862069,16,-29.677,-1.8548125
100,E09000020,LA,207,Kensington and Chelsea,11,x,x,x,x,352.75,32.06818182,6,-0.668,-0.111333333
101,E09000022,LA,208,Lambeth,41,x,x,11,26.82926829,882,21.51219512,31,-50.186,-1.618903226
102,E09000023,LA,209,Lewisham,38,x,x,6,15.78947368,623.5,16.40789474,25,-33.831,-1.35324
104,E09000028,LA,210,Southwark,34,x,x,8,23.52941176,753.38,22.15823529,25,-38.722,-1.54888
105,E09000030,LA,211,Tower Hamlets,27,x,x,6,22.22222222,596.75,22.10185185,22,-24.851,-1.129590909
106,E09000032,LA,212,Wandsworth,17,x,x,x,x,339,19.94117647,12,-13.667,-1.138916667
107,E09000033,LA,213,Westminster,10,x,x,x,x,286.5,28.65,7,-4.127,-0.589571429
109,E09000002,LA,301,Barking and Dagenham,28,7,25,10,35.71428571,752.5,26.875,21,-7.508,-0.35752381
110,E09000003,LA,302,Barnet,28,x,x,x,x,521.75,18.63392857,18,-17.491,-0.971722222
111,E09000004,LA,303,Bexley,17,x,x,x,x,446.75,26.27941176,16,-16.674,-1.042125
112,E09000005,LA,304,Brent,35,x,x,x,x,530.5,15.15714286,24,-42.309,-1.762875
113,E09000006,LA,305,Bromley,20,x,x,6,30,316,15.8,13,-22.596,-1.738153846
114,E09000008,LA,306,Croydon,78,x,x,x,x,893.5,11.45512821,18,-11.76,-0.653333333
115,E09000009,LA,307,Ealing,18,x,x,6,33.33333333,440.75,24.48611111,13,-16.278,-1.252153846
116,E09000010,LA,308,Enfield,27,x,x,7,25.92592593,461.25,17.08333333,17,-23.311,-1.371235294
98,E09000014,LA,309,Haringey,26,x,x,6,23.07692308,637.75,24.52884615,21,-24.83,-1.182380952
