LA_order,New_geog_code,geog_l,geog_c,geog_n,No_SEN,No_SEN_%,SEN_support,SEN_support_%,SEN_statement_EHCP,SEN_statement_EHCP_%
1,E92000001,NATIONAL,999,ENGLAND,15760,43.7,10670,29.6,9650,26.7
2,E12000001,REGION,A,NORTH EAST,1030,44.8,670,29.3,600,26
15,E12000002,REGION,B,NORTH WEST,3350,47.9,2040,29.2,1600,22.9
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,1800,44.9,1220,30.4,980,24.6
55,E12000004,REGION,D,EAST MIDLANDS,1060,42,760,30.2,710,27.9
65,E12000005,REGION,E,WEST MIDLANDS,2290,45.4,1530,30.2,1230,24.4
80,E12000006,REGION,F,EAST OF ENGLAND,1350,42.2,910,28.4,940,29.4
92,E12000007,REGION,G,LONDON,1900,44.6,1130,26.6,1220,28.8
93,E12000007,REGION,H,INNER LONDON,790,44,500,27.6,510,28.4
108,E12000007,REGION,I,OUTER LONDON,1100,45,630,25.8,710,29.1
128,E12000008,REGION,J,SOUTH EAST,1940,40.4,1440,30,1430,29.6
148,E12000009,REGION,K,SOUTH WEST,1050,35.4,970,32.7,950,31.9
95,E09000001,LA,201,City of London,x,x,x,x,x,x
94,E09000007,LA,202,Camden,33,42.30769231,21,26.92307692,24,30.76923077
117,E09000011,LA,203,Greenwich,121,46.71814672,80,30.88803089,58,22.39382239
96,E09000012,LA,204,Hackney,68,42.7672956,33,20.75471698,58,36.47798742
97,E09000013,LA,205,Hammersmith and Fulham,44,51.1627907,22,25.58139535,20,23.25581395
99,E09000019,LA,206,Islington,64,49.6124031,37,28.68217054,28,21.70542636
100,E09000020,LA,207,Kensington and Chelsea,16,42.10526316,6,15.78947368,16,42.10526316
101,E09000022,LA,208,Lambeth,87,40.46511628,55,25.58139535,73,33.95348837
102,E09000023,LA,209,Lewisham,98,43.75,62,27.67857143,64,28.57142857
104,E09000028,LA,210,Southwark,101,42.9787234,67,28.5106383,67,28.5106383
105,E09000030,LA,211,Tower Hamlets,48,40.6779661,32,27.11864407,38,32.20338983
106,E09000032,LA,212,Wandsworth,37,38.94736842,27,28.42105263,31,32.63157895
107,E09000033,LA,213,Westminster,34,47.22222222,26,36.11111111,12,16.66666667
109,E09000002,LA,301,Barking and Dagenham,100,51.54639175,47,24.22680412,47,24.22680412
110,E09000003,LA,302,Barnet,66,45.51724138,39,26.89655172,40,27.5862069
111,E09000004,LA,303,Bexley,56,45.16129032,26,20.96774194,42,33.87096774
112,E09000005,LA,304,Brent,55,38.46153846,42,29.37062937,46,32.16783217
113,E09000006,LA,305,Bromley,51,40.15748031,25,19.68503937,51,40.15748031
114,E09000008,LA,306,Croydon,146,59.10931174,52,21.05263158,49,19.83805668
115,E09000009,LA,307,Ealing,63,35.19553073,61,34.07821229,55,30.72625698
116,E09000010,LA,308,Enfield,71,48.63013699,34,23.28767123,41,28.08219178
98,E09000014,LA,309,Haringey,102,50.4950495,60,29.7029703,40,19.8019802
118,E09000015,LA,310,Harrow,34,47.88732394,17,23.94366197,20,28.16901408
119,E09000016,LA,311,Havering,62,54.86725664,26,23.00884956,25,22.12389381
120,E09000017,LA,312,Hillingdon,57,45.96774194,23,18.5483871,44,35.48387097
121,E09000018,LA,313,Hounslow,40,36.36363636,28,25.45454545,42,38.18181818
122,E09000021,LA,314,Kingston upon Thames,14,28,9,18,27,54
123,E09000024,LA,315,Merton,25,38.46153846,15,23.07692308,25,38.46153846
103,E09000025,LA,316,Newham,56,38.62068966,49,33.79310345,40,27.5862069
124,E09000026,LA,317,Redbridge,46,51.68539326,25,28.08988764,18,20.2247191
125,E09000027,LA,318,Richmond upon Thames,13,35.13513514,7,18.91891892,17,45.94594595
126,E09000029,LA,319,Sutton,40,40,32,32,28,28
127,E09000031,LA,320,Waltham Forest,43,34.12698413,45,35.71428571,38,30.15873016
66,E08000025,LA,330,Birmingham,434,44.10569106,302,30.69105691,248,25.20325203
67,E08000026,LA,331,Coventry,130,42.90429043,101,33.33333333,72,23.76237624
68,E08000027,LA,332,Dudley,182,44.9382716,137,33.82716049,86,21.2345679
70,E08000028,LA,333,Sandwell,113,38.30508475,102,34.57627119,80,27.11864407
72,E08000029,LA,334,Solihull,97,49.23857868,66,33.50253807,34,17.25888325
76,E08000030,LA,335,Walsall,212,56.38297872,92,24.46808511,72,19.14893617
78,E08000031,LA,336,Wolverhampton,182,44.28223844,139,33.81995134,90,21.89781022
24,E08000011,LA,340,Knowsley,73,45.625,44,27.5,43,26.875
26,E08000012,LA,341,Liverpool,297,52.28873239,175,30.80985915,96,16.90140845
32,E08000013,LA,342,St. Helens,111,44.75806452,98,39.51612903,39,15.72580645
31,E08000014,LA,343,Sefton,130,55.08474576,61,25.84745763,45,19.06779661
38,E08000015,LA,344,Wirral,164,44.80874317,132,36.06557377,70,19.12568306
18,E08000001,LA,350,Bolton,144,44.03669725,95,29.05198777,88,26.91131498
19,E08000002,LA,351,Bury,75,43.35260116,55,31.79190751,43,24.85549133
27,E08000003,LA,352,Manchester,325,46.56160458,202,28.93982808,171,24.49856734
28,E08000004,LA,353,Oldham,135,56.96202532,52,21.94092827,50,21.09704641
29,E08000005,LA,354,Rochdale,166,59.0747331,62,22.06405694,53,18.86120996
30,E08000006,LA,355,Salford,126,43.75,87,30.20833333,75,26.04166667
33,E08000007,LA,356,Stockport,62,40.25974026,53,34.41558442,39,25.32467532
34,E08000008,LA,357,Tameside,134,57.0212766,59,25.10638298,42,17.87234043
35,E08000009,LA,358,Trafford,98,44.95412844,58,26.60550459,62,28.44036697
37,E08000010,LA,359,Wigan,121,43.68231047,87,31.40794224,69,24.90974729
40,E08000016,LA,370,Barnsley,65,46.09929078,39,27.65957447,37,26.24113475
43,E08000017,LA,371,Doncaster,135,46.55172414,89,30.68965517,66,22.75862069
51,E08000018,LA,372,Rotherham,74,33.94495413,70,32.11009174,74,33.94495413
52,E08000019,LA,373,Sheffield,103,39.3129771,93,35.49618321,66,25.19083969
41,E08000032,LA,380,Bradford,225,45.5465587,148,29.95951417,121,24.49392713
42,E08000033,LA,381,Calderdale,86,46.73913043,52,28.26086957,46,25
46,E08000034,LA,382,Kirklees,155,43.41736695,107,29.9719888,95,26.61064426
47,E08000035,LA,383,Leeds,331,47.4892396,217,31.13342898,149,21.37733142
53,E08000036,LA,384,Wakefield,103,40.39215686,82,32.15686275,70,27.45098039
