LA_order,New_geog_code,geog_l,geog_c,geog_n,Pup_enrol,Poss_sess,Auth_abs,Auth_abs_%,Unauth_abs,Unauth_abs_%,Overall_abs,Overall_abs_%,Persist_abs,Persist_abs_%
1,E92000001,NATIONAL,999,ENGLAND,30200,10673670,331600,3.1,122950,1.2,454550,4.3,3010,10
2,E12000001,REGION,A,NORTH EAST,1980,702530,17780,2.5,8100,1.2,25880,3.7,160,8.3
15,E12000002,REGION,B,NORTH WEST,5940,2134420,62670,2.9,27780,1.3,90450,4.2,590,9.8
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,3380,1198590,32860,2.7,14110,1.2,46970,3.9,310,9.1
55,E12000004,REGION,D,EAST MIDLANDS,2200,780550,24110,3.1,9260,1.2,33370,4.3,220,9.8
65,E12000005,REGION,E,WEST MIDLANDS,4330,1522720,48580,3.2,14320,0.9,62900,4.1,400,9.3
80,E12000006,REGION,F,EAST OF ENGLAND,2610,917030,29170,3.2,7780,0.8,36950,4,230,8.8
92,E12000007,REGION,G,LONDON,3370,1175060,36420,3.1,17330,1.5,53750,4.6,400,11.9
93,E12000007,REGION,H,INNER LONDON,1460,508860,16580,3.3,7030,1.4,23610,4.6,180,12.2
108,E12000007,REGION,I,OUTER LONDON,1910,666200,19840,3,10300,1.5,30140,4.5,220,11.7
128,E12000008,REGION,J,SOUTH EAST,3970,1399320,48770,3.5,15850,1.1,64620,4.6,440,11.1
148,E12000009,REGION,K,SOUTH WEST,2420,843460,31250,3.7,8410,1,39660,4.7,260,10.9
95,E09000001,LA,201,City of London,x,x,x,x,x,x,x,x,x,x
94,E09000007,LA,202,Camden,54,19291,512,2.654087398,612,3.172463843,1124,5.826551242,12,22.22222222
117,E09000011,LA,203,Greenwich,220,76151,2343,3.076781657,593,0.778715972,2936,3.85549763,24,10.90909091
96,E09000012,LA,204,Hackney,124,43598,1321,3.029955503,498,1.142254232,1819,4.172209734,12,9.677419355
97,E09000013,LA,205,Hammersmith and Fulham,68,24116,697,2.890197379,84,0.34831647,781,3.23851385,x,x
99,E09000019,LA,206,Islington,96,33367,1273,3.815146702,587,1.759223185,1860,5.574369886,17,17.70833333
100,E09000020,LA,207,Kensington and Chelsea,26,8652,290,3.351826167,67,0.774387425,357,4.126213592,x,x
101,E09000022,LA,208,Lambeth,163,55787,2482,4.449065194,1002,1.796117375,3484,6.245182569,25,15.33742331
102,E09000023,LA,209,Lewisham,183,65976,1450,2.197768886,561,0.850309203,2011,3.048078089,12,6.557377049
104,E09000028,LA,210,Southwark,199,68320,2172,3.179156909,528,0.772833724,2700,3.951990632,23,11.55778894
105,E09000030,LA,211,Tower Hamlets,93,32521,809,2.487623382,418,1.28532333,1227,3.772946711,6,6.451612903
106,E09000032,LA,212,Wandsworth,78,26647,1140,4.278155139,709,2.660712275,1849,6.938867415,16,20.51282051
107,E09000033,LA,213,Westminster,59,20792,829,3.987110427,425,2.044055406,1254,6.031165833,7,11.86440678
109,E09000002,LA,301,Barking and Dagenham,157,55415,1266,2.284579987,811,1.463502662,2077,3.748082649,14,8.917197452
110,E09000003,LA,302,Barnet,113,39285,1041,2.649866361,1101,2.802596411,2142,5.452462772,12,10.61946903
111,E09000004,LA,303,Bexley,91,31999,750,2.343823244,258,0.806275196,1008,3.150098441,7,7.692307692
112,E09000005,LA,304,Brent,109,37857,1319,3.484164091,1199,3.167181763,2518,6.651345854,22,20.18348624
113,E09000006,LA,305,Bromley,97,34370,803,2.336339831,213,0.619726506,1016,2.956066337,7,7.216494845
114,E09000008,LA,306,Croydon,195,67040,2291,3.417362768,1590,2.371718377,3881,5.789081146,34,17.43589744
115,E09000009,LA,307,Ealing,140,49155,1791,3.643576442,866,1.76177398,2657,5.405350422,20,14.28571429
116,E09000010,LA,308,Enfield,118,41704,1148,2.752733551,685,1.642528295,1833,4.395261845,12,10.16949153
98,E09000014,LA,309,Haringey,186,65797,2162,3.285864097,917,1.393680563,3079,4.67954466,22,11.82795699
118,E09000015,LA,310,Harrow,47,16657,650,3.902263313,497,2.983730564,1147,6.885993876,8,17.0212766
119,E09000016,LA,311,Havering,96,32847,965,2.937863427,505,1.53743112,1470,4.475294547,13,13.54166667
120,E09000017,LA,312,Hillingdon,86,30086,1027,3.41354783,353,1.173303198,1380,4.586851027,12,13.95348837
121,E09000018,LA,313,Hounslow,75,26032,695,2.669791026,227,0.872003688,922,3.541794714,x,x
122,E09000021,LA,314,Kingston upon Thames,38,13364,563,4.212810536,47,0.35169111,610,4.564501646,x,x
123,E09000024,LA,315,Merton,45,15719,391,2.487435588,34,0.216298747,425,2.703734334,x,x
