LA_order,New_geog_code,geog_l,geog_c,geog_n,Pup_enrol,Perm_excl,Perm_excl_%,Fixed_excl,Fixed_excl_%
1,E92000001,NATIONAL,999,ENGLAND,29860,30,0.1,3420,11.44
2,E12000001,REGION,A,NORTH EAST,1930,x,x,180,9.45
15,E12000002,REGION,B,NORTH WEST,5860,x,x,620,10.64
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,3350,x,x,390,11.72
55,E12000004,REGION,D,EAST MIDLANDS,2150,x,x,250,11.67
65,E12000005,REGION,E,WEST MIDLANDS,4260,10,0.19,470,11.11
80,E12000006,REGION,F,EAST OF ENGLAND,2670,x,x,300,11.16
92,E12000007,REGION,G,LONDON,3480,x,x,390,11.23
93,E12000007,REGION,H,INNER LONDON,1510,x,x,170,11.36
108,E12000007,REGION,I,OUTER LONDON,1980,x,x,220,11.13
128,E12000008,REGION,J,SOUTH EAST,3900,x,x,470,11.99
148,E12000009,REGION,K,SOUTH WEST,2270,x,x,340,14.83
95,E09000001,LA,201,City of London,x,x,x,x,x
94,E09000007,LA,202,Camden,67,x,x,6,8.955223881
117,E09000011,LA,203,Greenwich,223,x,x,25,11.21076233
96,E09000012,LA,204,Hackney,127,x,x,18,14.17322835
97,E09000013,LA,205,Hammersmith and Fulham,59,x,x,9,15.25423729
99,E09000019,LA,206,Islington,91,x,x,12,13.18681319
100,E09000020,LA,207,Kensington and Chelsea,28,x,x,x,x
101,E09000022,LA,208,Lambeth,170,x,x,23,13.52941176
102,E09000023,LA,209,Lewisham,196,x,x,13,6.632653061
104,E09000028,LA,210,Southwark,216,x,x,24,11.11111111
105,E09000030,LA,211,Tower Hamlets,92,x,x,x,x
106,E09000032,LA,212,Wandsworth,58,x,x,10,17.24137931
107,E09000033,LA,213,Westminster,64,x,x,10,15.625
109,E09000002,LA,301,Barking and Dagenham,167,x,x,12,7.185628743
110,E09000003,LA,302,Barnet,105,x,x,19,18.0952381
111,E09000004,LA,303,Bexley,105,x,x,7,6.666666667
112,E09000005,LA,304,Brent,123,x,x,17,13.82113821
113,E09000006,LA,305,Bromley,104,x,x,9,8.653846154
114,E09000008,LA,306,Croydon,206,x,x,30,14.5631068
115,E09000009,LA,307,Ealing,145,x,x,22,15.17241379
116,E09000010,LA,308,Enfield,118,x,x,15,12.71186441
98,E09000014,LA,309,Haringey,201,x,x,25,12.43781095
118,E09000015,LA,310,Harrow,42,x,x,x,x
119,E09000016,LA,311,Havering,106,x,x,13,12.26415094
120,E09000017,LA,312,Hillingdon,84,x,x,8,9.523809524
121,E09000018,LA,313,Hounslow,100,x,x,12,12
122,E09000021,LA,314,Kingston upon Thames,45,x,x,x,x
123,E09000024,LA,315,Merton,47,x,x,x,x
103,E09000025,LA,316,Newham,133,x,x,14,10.52631579
124,E09000026,LA,317,Redbridge,73,x,x,8,10.95890411
125,E09000027,LA,318,Richmond upon Thames,35,x,x,x,x
126,E09000029,LA,319,Sutton,59,x,x,x,x
127,E09000031,LA,320,Waltham Forest,90,x,x,8,8.888888889
66,E08000025,LA,330,Birmingham,859,x,x,88,10.24447031
67,E08000026,LA,331,Coventry,243,x,x,29,11.93415638
68,E08000027,LA,332,Dudley,367,x,x,41,11.17166213
70,E08000028,LA,333,Sandwell,259,x,x,24,9.266409266
72,E08000029,LA,334,Solihull,148,x,x,20,13.51351351
76,E08000030,LA,335,Walsall,300,x,x,24,8
78,E08000031,LA,336,Wolverhampton,366,x,x,38,10.38251366
24,E08000011,LA,340,Knowsley,131,x,x,12,9.160305344
26,E08000012,LA,341,Liverpool,460,x,x,45,9.782608696
32,E08000013,LA,342,St. Helens,188,x,x,27,14.36170213
31,E08000014,LA,343,Sefton,210,x,x,25,11.9047619
