time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,cla_exclusions_matched,cla_permanent_exclusions,cla_permanent_exclusions_%,cla_fixed_term_exclusions,cla_fixed_term_exclusions_%
2016/17,year ending 31 march 2017,National,E92000001,England,,,,,,Exclusions,30520,30,0.1,3610,11.83
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000001,North East,,,,Exclusions,1990,c,c,206,10.36
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000002,North West,,,,Exclusions,5960,10,0.12,647,10.85
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Exclusions,3400,c,c,410,12.06
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000004,East Midlands,,,,Exclusions,2240,c,c,269,12.01
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000005,West Midlands,,,,Exclusions,4370,c,c,496,11.35
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000006,East of England,,,,Exclusions,2650,10,0.34,321,12.14
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000008,South East,,,,Exclusions,4050,c,c,516,12.76
2016/17,year ending 31 march 2017,Regional,E92000001,England,E12000009,South West,,,,Exclusions,2460,c,c,350,14.26
2016/17,year ending 31 march 2017,Regional,E92000001,England,E13000001,Inner London,,,,Exclusions,1470,c,c,186,12.64
2016/17,year ending 31 march 2017,Regional,E92000001,England,E13000002,Outer London,,,,Exclusions,1940,c,c,211,10.85
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Exclusions,c,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Exclusions,54,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Exclusions,221,c,c,24,10.86
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Exclusions,124,c,c,18,14.52
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Exclusions,69,c,c,11,15.94
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Exclusions,96,c,c,19,19.79
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Exclusions,29,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Exclusions,162,c,c,22,13.58
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Exclusions,182,c,c,19,10.44
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Exclusions,201,c,c,24,11.94
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Exclusions,99,c,c,7,7.07
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Exclusions,79,c,c,7,8.86
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Exclusions,59,c,c,12,20.34
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Exclusions,160,c,c,17,10.63
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Exclusions,113,c,c,11,9.73
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Exclusions,92,c,c,8,8.7
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Exclusions,111,c,c,16,14.41
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Exclusions,100,c,c,11,11
