time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks4_matched,cla_ks4_gcse_em_9-5,cla_ks4_gcse_em_9-5_%,cla_ks4_gcse_em_9-4,cla_ks4_gcse_em_9-4_%,cla_ks4_att8points,cla_ks4_av_att8score,cla_ks4_inp8calc,cla_ks4_p8score,cla_ks4_av_p8score
2017/18,year ending 31 March 2018,National,E92000001,England,,,,,,key stage 4 performance,5130,400,7.8,910,17.8,97021.3,18.9,3980,-4769.3,-1.2
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000001,North East,,,,key stage 4 performance,300,30,9.5,60,20.7,6318.3,20.8,250,-310.7,-1.23
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000002,North West,,,,key stage 4 performance,830,60,7.6,140,17.2,16313.3,19.6,680,-861.2,-1.26
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,key stage 4 performance,520,40,6.7,80,15.5,9698.8,18.6,440,-501.4,-1.15
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000004,East Midlands,,,,key stage 4 performance,340,20,6.8,50,15,6475.3,19.1,280,-314,-1.14
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000005,West Midlands,,,,key stage 4 performance,670,50,7.7,120,18,12880,19.3,520,-594.2,-1.14
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000006,East of England,,,,key stage 4 performance,500,40,8,100,19,9430.8,18.9,390,-442.2,-1.13
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000008,South East,,,,key stage 4 performance,730,50,7,140,18.6,13716.3,18.7,560,-648.3,-1.17
2017/18,year ending 31 March 2018,Regional,E92000001,England,E12000009,South West,,,,key stage 4 performance,490,40,7.6,80,16.3,8010,16.3,380,-496.8,-1.32
2017/18,year ending 31 March 2018,Regional,E92000001,England,E13000001,Inner London,,,,key stage 4 performance,300,30,10.3,60,19.9,6028,20,210,-285.2,-1.35
2017/18,year ending 31 March 2018,Regional,E92000001,England,E13000002,Outer London,,,,key stage 4 performance,440,40,9.3,80,18.6,8150.8,18.5,270,-315.2,-1.17
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,key stage 4 performance,c,c,c,c,c,c,c,c,.,.
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,key stage 4 performance,16,c,c,c,c,293,18.3,11,-9.3,-0.85
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,key stage 4 performance,36,c,c,12,33.3,818.5,22.7,25,-35.3,-1.41
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,key stage 4 performance,28,c,c,c,c,565.25,20.2,18,-23.5,-1.31
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,key stage 4 performance,15,c,c,c,c,288.25,19.2,12,-16.4,-1.37
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,key stage 4 performance,23,c,c,c,c,419,18.2,11,-12.1,-1.1
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,key stage 4 performance,7,c,c,c,c,55.5,7.9,c,c,c
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,key stage 4 performance,30,c,c,c,c,588.75,19.6,23,-31,-1.35
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,key stage 4 performance,37,6,16.2,10,27,789.5,21.3,30,-50.2,-1.67
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,key stage 4 performance,34,c,c,c,c,581.5,17.1,22,-31.3,-1.42
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,key stage 4 performance,19,c,c,6,31.6,407.75,21.5,13,-16,-1.23
2017/18,year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,key stage 4 performance,21,c,c,c,c,254,12.1,17,-42.8,-2.52
