time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,cla_sen_total_cla_population_matched,CLA_no_sen,cla_no_sen_%,cla_sen_statement_ehc,cla_sen_statement_ehc_%,cla_sen_support,cla_sen_support_%
2017/18,Year ending 31 March 2018,National,E92000001,England,,,,,,sen,37470,16660,44.5,9930,26.5,10880,29
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000001,North East,,,,sen,2460,1150,46.8,610,24.6,710,28.7
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000002,North West,,,,sen,7340,3570,48.7,1640,22.4,2120,28.9
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,sen,4240,1920,45.1,1070,25.3,1250,29.6
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000004,East Midlands,,,,sen,2720,1180,43.3,710,26.3,830,30.5
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000005,West Midlands,,,,sen,5180,2420,46.7,1260,24.4,1500,28.9
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000006,East of England,,,,sen,3320,1450,43.6,950,28.6,920,27.8
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000008,South East,,,,sen,4960,2010,40.5,1510,30.5,1440,29
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E12000009,South West,,,,sen,3000,1050,34.9,950,31.6,1000,33.5
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E13000001,Inner London,,,,sen,1800,810,45,500,27.8,490,27.2
2017/18,Year ending 31 March 2018,Regional,E92000001,England,E13000002,Outer London,,,,sen,2450,1110,45.5,710,29.1,620,25.4
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,sen,c,c,c,c,c,c,c
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,sen,67,24,35.8,27,40.3,16,23.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,sen,268,121,45.1,74,27.6,73,27.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,sen,169,81,47.9,56,33.1,32,18.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,sen,89,48,53.9,20,22.5,21,23.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,sen,123,54,43.9,33,26.8,36,29.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,sen,35,10,28.6,17,48.6,8,22.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,sen,189,71,37.6,64,33.9,54,28.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,sen,210,95,45.2,66,31.4,49,23.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,sen,250,108,43.2,62,24.8,80,32
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,sen,139,67,48.2,38,27.3,34,24.5
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,sen,114,54,47.4,28,24.6,32,28.1
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,sen,72,32,44.4,14,19.4,26,36.1
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,sen,194,100,51.5,39,20.1,55,28.4
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,sen,114,51,44.7,32,28.1,31,27.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,sen,119,54,45.4,35,29.4,30,25.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,sen,156,65,41.7,51,32.7,40,25.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,sen,141,55,39,54,38.3,32,22.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,sen,244,135,55.3,53,21.7,56,23
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,sen,170,57,33.5,59,34.7,54,31.8
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,sen,154,71,46.1,40,26,43,27.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,sen,197,94,47.7,44,22.3,59,29.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,sen,66,28,42.4,17,25.8,21,31.8
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,sen,115,70,60.9,31,27,14,12.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,sen,126,64,50.8,39,31,23,18.3
