time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,cla_possible_sessions,cla_authorised_absence,cla_authorised_absence_%,cla_unauthorised_absence,cla_unauthorised_absence_%,cla_overall_absence,cla_overall_absence_%,cla_npd_matched,cla_persistent_absentee,cla_persistent_absentee_%
2017/18,Up to 31 march 2018,National,E92000001,England,,,,,,absence,11005340,356810,3.2,143710,1.3,500520,4.5,31450,3330,10.6
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000001,North East,,,,absence,751910,21590,2.9,9530,1.3,31120,4.1,2140,200,9.5
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000002,North West,,,,absence,2236110,66350,3,34870,1.6,101220,4.5,6260,650,10.5
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,absence,1245110,37800,3,18410,1.5,56210,4.5,3570,370,10.2
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000004,East Midlands,,,,absence,813090,27120,3.3,9780,1.2,36900,4.5,2340,260,10.9
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000005,West Midlands,,,,absence,1555330,50340,3.2,16390,1.1,66730,4.3,4460,440,9.9
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000006,East of England,,,,absence,954230,32620,3.4,10650,1.1,43270,4.5,2750,290,10.5
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000008,South East,,,,absence,1426910,51990,3.6,16530,1.2,68520,4.8,4120,440,10.7
2017/18,Up to 31 march 2018,Regional,E92000001,England,E12000009,South West,,,,absence,837030,31340,3.7,9580,1.1,40920,4.9,2420,290,11.8
2017/18,Up to 31 march 2018,Regional,E92000001,England,E13000001,Inner London,,,,absence,517680,17370,3.4,7560,1.5,24940,4.8,1480,180,11.9
2017/18,Up to 31 march 2018,Regional,E92000001,England,E13000002,Outer London,,,,absence,667950,20280,3,10410,1.6,30700,4.6,1920,220,11.2
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,absence,c,c,c,c,c,c,c,c,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,absence,17784,384,2.2,356,2,740,4.2,50,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,absence,77769,2204,2.8,580,0.7,2784,3.6,222,17,7.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,absence,46714,1229,2.6,588,1.3,1817,3.9,133,14,10.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,absence,25488,1160,4.6,748,2.9,1908,7.5,73,12,16.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,absence,32649,1085,3.3,833,2.6,1918,5.9,96,19,19.8
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,absence,7456,255,3.4,216,2.9,471,6.3,21,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,absence,52160,1495,2.9,565,1.1,2060,3.9,148,13,8.8
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,absence,61932,1819,2.9,451,0.7,2270,3.7,177,19,10.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,absence,74003,2590,3.5,520,0.7,3110,4.2,212,19,9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,absence,38270,1168,3.1,437,1.1,1605,4.2,109,12,11
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,absence,32467,932,2.9,805,2.5,1737,5.4,92,9,9.8
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,absence,20236,634,3.1,252,1.2,886,4.4,57,7,12.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,absence,56839,1536,2.7,654,1.2,2190,3.9,162,12,7.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,absence,32376,738,2.3,357,1.1,1095,3.4,94,7,7.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,absence,30262,1149,3.8,476,1.6,1625,5.4,86,13,15.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,absence,36772,1406,3.8,1389,3.8,2795,7.6,107,22,20.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,absence,38921,1249,3.2,660,1.7,1909,4.9,114,13,11.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,absence,70437,1984,2.8,1741,2.5,3725,5.3,207,25,12.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,absence,45321,1316,2.9,805,1.8,2121,4.7,130,17,13.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,absence,43093,1170,2.7,560,1.3,1730,4,126,12,9.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,absence,63007,2736,4.3,1165,1.8,3901,6.2,181,30,16.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,absence,15965,630,3.9,317,2,947,5.9,46,10,21.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,absence,31877,750,2.4,777,2.4,1527,4.8,93,8,8.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,absence,32183,1423,4.4,578,1.8,2001,6.2,92,17,18.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,absence,27399,687,2.5,325,1.2,1012,3.7,78,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,absence,14206,342,2.4,96,0.7,438,3.1,40,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,absence,16457,354,2.2,106,0.6,460,2.8,46,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,absence,45221,1883,4.2,625,1.4,2508,5.5,129,14,10.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,absence,25992,841,3.2,146,0.6,987,3.8,74,7,9.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,absence,8705,231,2.7,22,0.3,253,2.9,24,0,0
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,absence,30601,973,3.2,234,0.8,1207,3.9,88,11,12.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,absence,32777,1300,4,589,1.8,1889,5.8,94,18,19.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,absence,289177,8909,3.1,3307,1.1,12216,4.2,840,77,9.2
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,absence,89729,2835,3.2,1178,1.3,4013,4.5,253,31,12.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,absence,116828,3352,2.9,1042,0.9,4394,3.8,333,33,9.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,absence,101787,3034,3,1714,1.7,4748,4.7,298,33,11.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,absence,59076,2096,3.5,850,1.4,2946,5,173,25,14.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,absence,110325,2788,2.5,1157,1,3945,3.6,312,24,7.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,absence,125595,3023,2.4,884,0.7,3907,3.1,355,19,5.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,absence,49243,1094,2.2,328,0.7,1422,2.9,135,6,4.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,absence,189638,4949,2.6,2155,1.1,7104,3.7,531,50,9.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,absence,78629,2046,2.6,1148,1.5,3194,4.1,214,19,8.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,absence,72294,2438,3.4,1673,2.3,4111,5.7,201,27,13.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,absence,131096,4366,3.3,1546,1.2,5912,4.5,371,43,11.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,absence,102364,2829,2.8,1402,1.4,4231,4.1,278,21,7.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,absence,51219,1301,2.5,540,1.1,1841,3.6,145,12,8.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,absence,211101,7916,3.7,4056,1.9,11972,5.7,592,77,13
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,absence,82441,2487,3,1859,2.3,4346,5.3,234,31,13.2
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,absence,81705,2064,2.5,1061,1.3,3125,3.8,228,16,7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,absence,90601,2773,3.1,2008,2.2,4781,5.3,253,28,11.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,absence,50886,1889,3.7,1130,2.2,3019,5.9,143,21,14.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,absence,81653,2360,2.9,1878,2.3,4238,5.2,237,27,11.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,absence,66985,1970,2.9,910,1.4,2880,4.3,187,21,11.2
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,absence,81490,2049,2.5,1832,2.2,3881,4.8,227,24,10.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,absence,43924,1351,3.1,262,0.6,1613,3.7,133,11,8.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,absence,82349,2727,3.3,706,0.9,3433,4.2,233,21,9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,absence,75919,2545,3.4,1039,1.4,3584,4.7,223,26,11.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,absence,92005,3502,3.8,2799,3,6301,6.8,265,41,15.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,absence,160801,4911,3.1,2355,1.5,7266,4.5,456,50,11
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,absence,51176,1230,2.4,603,1.2,1833,3.6,146,12,8.2
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,absence,115547,3628,3.1,1961,1.7,5589,4.8,328,35,10.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,absence,211576,6736,3.2,3245,1.5,9981,4.7,611,70,11.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,absence,72981,1749,2.4,786,1.1,2535,3.5,212,15,7.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,absence,62237,1168,1.9,418,0.7,1586,2.5,178,13,7.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,absence,76720,2209,2.9,1185,1.5,3394,4.4,221,21,9.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,absence,43730,1347,3.1,693,1.6,2040,4.7,122,13,10.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,absence,45279,1448,3.2,706,1.6,2154,4.8,126,12,9.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,absence,75227,2206,2.9,1010,1.3,3216,4.3,219,19,8.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,absence,.,.,.,.,.,.,.,.,.,.
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,absence,24107,871,3.6,154,0.6,1025,4.3,70,9,12.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",absence,109961,4516,4.1,1656,1.5,6172,5.6,315,40,12.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,absence,32950,1053,3.2,184,0.6,1237,3.8,95,8,8.4
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,absence,24659,709,2.9,139,0.6,848,3.4,71,c,c
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,absence,43614,1233,2.8,513,1.2,1746,4,122,12,9.8
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,absence,71605,2211,3.1,1014,1.4,3225,4.5,203,22,10.8
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,absence,39688,1895,4.8,1140,2.9,3035,7.6,114,20,17.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,absence,77735,1754,2.3,465,0.6,2219,2.9,218,16,7.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,"Kingston Upon Hull, City of",absence,112964,2729,2.4,982,0.9,3711,3.3,315,24,7.6
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,absence,45728,1369,3,461,1,1830,4,128,14,10.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,absence,51285,1214,2.4,846,1.6,2060,4,147,14,9.5
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,absence,39442,1131,2.9,903,2.3,2034,5.2,111,10,9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,absence,59815,2037,3.4,1288,2.2,3325,5.6,173,15,8.7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,absence,29594,938,3.2,172,0.6,1110,3.8,84,7,8.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,absence,55084,1934,3.5,861,1.6,2795,5.1,163,21,12.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,absence,36728,939,2.6,342,0.9,1281,3.5,102,6,5.9
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,absence,51011,1509,3,425,0.8,1934,3.8,142,9,6.3
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,absence,68354,2328,3.4,804,1.2,3132,4.6,190,23,12.1
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,absence,57691,2027,3.5,468,0.8,2495,4.3,171,12,7
2017/18,Up to 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,absence,92469,3542,3.8,1541,1.7,5083,5.5,269,29,10.8
