time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,ks2_assessment_measure,number_eligible,number_achieving,percent_achieving,progress_eligible,progress_score,average_progress_score
201819,Reporting year,National,E92000001,England,,,,,,Looked after children,Reading (test),3230,1580,49,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Looked after children,Reading (test),230,130,58,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Looked after children,Reading (test),680,340,50,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Looked after children,Reading (test),360,170,46,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Looked after children,Reading (test),220,100,47,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Looked after children,Reading (test),480,240,51,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Looked after children,Reading (test),280,120,43,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Looked after children,Reading (test),400,180,45,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Looked after children,Reading (test),240,110,44,.,.,.
201819,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Looked after children,Reading (test),140,80,54,.,.,.
201819,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Looked after children,Reading (test),200,110,56,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Looked after children,Reading (test),c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Looked after children,Reading (test),40,26,65,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Looked after children,Reading (test),26,14,54,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Looked after children,Reading (test),16,7,44,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Looked after children,Reading (test),20,15,75,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Looked after children,Reading (test),23,14,61,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Looked after children,Reading (test),c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Looked after children,Reading (test),12,7,58,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Looked after children,Reading (test),12,7,58,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Looked after children,Reading (test),11,7,64,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Looked after children,Reading (test),32,15,47,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Looked after children,Reading (test),26,15,58,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Looked after children,Reading (test),15,7,47,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Looked after children,Reading (test),25,12,48,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Looked after children,Reading (test),30,12,40,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Looked after children,Reading (test),11,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Looked after children,Reading (test),16,c,c,.,.,.
