time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks4_outcomes_children_total,cla_ks4_englishandmathsL4_number_achieving,cla_ks4_englishandmathsL4_percent_achieving,cla_ks4_englishandmathsL5_number_achieving,cla_ks4_englishandmathsL5_percent_achieving,cla_ks4_att8_points_total,cla_ks4_att8_average_points,cla_ks4_progress8_children_eligible,cla_ks4_progress8_points_total,cla_ks4_progress8_points_average
2018/19,year ending 31 march 2019,National,E92000001,England,,,,,,KS4,5370,970,18,390,7.3,102953.75,19.2,4190,-5170,-1.23
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000001,North East,,,,KS4,360,60,16.6,20,6.7,7322,20.6,300,-420,-1.37
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000002,North West,,,,KS4,940,170,17.8,70,7.2,17571.75,18.8,750,-1010,-1.34
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,KS4,570,100,18.3,50,8.3,11345.75,20,460,-500,-1.08
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000004,East Midlands,,,,KS4,350,80,22.1,40,10.5,7201.25,20.4,300,-350,-1.18
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000005,West Midlands,,,,KS4,650,110,17.5,50,7,12967.5,20.1,500,-540,-1.08
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000006,East of England,,,,KS4,510,100,19.7,40,8.3,10000,19.7,390,-410,-1.06
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000008,South East,,,,KS4,750,120,15.4,40,5.5,12909,17.2,590,-790,-1.36
2018/19,year ending 31 march 2019,Regional,E92000001,England,E12000009,South West,,,,KS4,500,70,14.8,20,4.4,8416.5,16.8,390,-560,-1.44
2018/19,year ending 31 march 2019,Regional,E92000001,England,E13000001,Inner London,,,,KS4,320,70,23,30,10.6,7006.25,21.8,240,-280,-1.18
2018/19,year ending 31 march 2019,Regional,E92000001,England,E13000002,Outer London,,,,KS4,430,80,19.4,30,7.2,8213.75,19.2,280,-310,-1.12
2018/19,year ending 31 march 2018,Local authority,E92000000,England,E13000000,Inner London,201,E09000001,City Of London,KS4,0,.,.,.,.,.,.,.,.,.
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,KS4,16,c,c,c,c,382.5,23.9,9,-7.679,-0.85
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,KS4,42,c,c,c,c,903.5,21.5,30,-28.107,-0.94
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,KS4,32,10,31.3,6,18.8,780,24.4,26,-34.469,-1.33
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,KS4,16,c,c,c,c,234,14.6,10,-15.379,-1.54
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,KS4,27,6,22.2,c,c,499.75,18.5,19,-26.293,-1.38
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,KS4,c,c,c,c,c,c,c,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,KS4,27,c,c,c,c,431.5,16,18,-31.518,-1.75
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,KS4,37,7,18.9,c,c,804.75,21.8,34,-47.852,-1.41
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,KS4,40,8,20,c,c,952.25,23.8,31,-36.376,-1.17
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,KS4,27,6,22.2,c,c,627.25,23.2,25,-21.089,-0.84
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,KS4,18,c,c,c,c,341.5,19,11,-14.619,-1.33
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,KS4,c,c,c,c,c,c,c,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,KS4,20,c,c,c,c,426.75,21.3,15,-14.029,-0.94
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,KS4,24,c,c,c,c,410.5,17.1,13,-10.793,-0.83
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,KS4,19,c,c,c,c,369.5,19.4,13,-11.368,-0.87
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,KS4,33,c,c,c,c,403.5,12.2,20,-27.421,-1.37
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,KS4,29,9,31,c,c,551.25,19,20,-33.579,-1.68
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,KS4,58,13,22.4,c,c,1221,21.1,23,-9.817,-0.43
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,KS4,26,c,c,c,c,510.5,19.6,18,-23.771,-1.32
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,KS4,22,c,c,c,c,320.5,14.6,15,-27.45,-1.83
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,KS4,30,8,26.7,c,c,731.75,24.4,21,-23.325,-1.11
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,KS4,c,c,c,c,c,c,c,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,KS4,21,c,c,c,c,397.25,18.9,16,-16.163,-1.01
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,KS4,24,6,25,c,c,498.75,20.8,17,-22.388,-1.32
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,KS4,20,c,c,c,c,455,22.8,16,-20.224,-1.26
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,KS4,10,c,c,c,c,241.75,24.2,10,-5.555,-0.56
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,KS4,9,c,c,c,c,139.5,15.5,7,-13.801,-1.97
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,KS4,36,10,27.8,c,c,901.5,25,25,-12.459,-0.5
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,KS4,13,c,c,c,c,209.5,16.1,7,-10.018,-1.43
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,KS4,c,c,c,c,c,c,c,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,KS4,16,c,c,c,c,249,15.6,8,-14.276,-1.78
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,KS4,28,6,21.4,c,c,616,22,21,-12.612,-0.6
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,KS4,119,22,18.5,7,5.9,2650.5,22.3,94,-93.192,-0.99
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,KS4,57,13,22.8,6,10.5,1110,19.5,39,-33.491,-0.86
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,KS4,49,c,c,c,c,807.5,16.5,40,-52.52,-1.31
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,KS4,45,7,15.6,c,c,1100.75,24.5,39,-27.789,-0.71
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,KS4,22,8,36.4,c,c,617.25,28.1,11,-7.445,-0.68
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,KS4,39,7,17.9,c,c,818.25,21,32,-28.135,-0.88
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,KS4,46,7,15.2,c,c,938.25,20.4,38,-41.232,-1.09
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,KS4,28,6,21.4,c,c,624.5,22.3,22,-18.467,-0.84
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,KS4,76,17,22.4,7,9.2,1655.25,21.8,64,-80.133,-1.25
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,KS4,29,c,c,c,c,491.25,16.9,24,-40.477,-1.69
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,KS4,35,6,17.1,c,c,662.75,18.9,28,-39.745,-1.42
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,KS4,55,8,14.5,c,c,1028.25,18.7,44,-60.659,-1.38
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,KS4,30,c,c,c,c,413.75,13.8,24,-35.462,-1.48
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,KS4,24,6,25,c,c,488.75,20.4,17,-18.989,-1.12
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,KS4,110,20,18.2,9,8.2,2038,18.5,82,-106.107,-1.29
