time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,sen_category,number,percent
201819,Reporting year,National,E92000001,England,,,,,,Looked after children,Total,38830,.
201819,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Looked after children,Total,2660,.
201819,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Looked after children,Total,7730,.
201819,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Looked after children,Total,4380,.
201819,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Looked after children,Total,2870,.
201819,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Looked after children,Total,5460,.
201819,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Looked after children,Total,3370,.
201819,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Looked after children,Total,5110,.
201819,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Looked after children,Total,3040,.
201819,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Looked after children,Total,1810,.
201819,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Looked after children,Total,2400,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Looked after children,Total,132,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Looked after children,Total,427,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Looked after children,Total,221,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Looked after children,Total,155,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Looked after children,Total,264,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Looked after children,Total,287,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Looked after children,Total,143,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Looked after children,Total,169,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Looked after children,Total,146,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Looked after children,Total,164,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Looked after children,Total,283,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Looked after children,Total,268,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Looked after children,Total,181,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Looked after children,Total,312,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Looked after children,Total,351,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Looked after children,Total,167,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Looked after children,Total,259,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Looked after children,Total,249,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Looked after children,Total,398,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Looked after children,Total,152,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Looked after children,Total,161,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Looked after children,Total,1083,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Looked after children,Total,620,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Looked after children,Total,653,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Looked after children,Total,297,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Looked after children,Total,275,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Looked after children,Total,293,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Looked after children,Total,273,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Looked after children,Total,282,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Looked after children,Total,190,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Looked after children,Total,342,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Looked after children,Total,210,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Looked after children,Total,227,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Looked after children,Total,282,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Looked after children,Total,474,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Looked after children,Total,156,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Looked after children,Total,537,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Looked after children,Total,176,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Looked after children,Total,274,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Looked after children,Total,173,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston upon Hull City of,Looked after children,Total,433,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Looked after children,Total,362,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Looked after children,Total,684,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Looked after children,Total,204,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Looked after children,Total,128,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Looked after children,Total,232,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Looked after children,Total,323,.
