time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,cla_possible_sessions,cla_authorised_absence,cla_authorised_absence_%,cla_unauthorised_absence,cla_unauthorised_absence_%,cla_overall_absence,cla_overall_absence_%,cla_npd_matched,cla_persistent_absentee,cla_persistent_absentee_%
2018/19,Up to 31 march 2019,National,E92000001,England,,,,,,absence,11519240,374350,3.2,163710,1.4,538060,4.7,32500,3560,10.9
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000001,North East,,,,absence,806190,23870,3,11830,1.5,35690,4.4,2280,240,10.4
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000002,North West,,,,absence,2351550,71910,3.1,41570,1.8,113470,4.8,6580,770,11.6
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,absence,1329040,41290,3.1,21980,1.7,63270,4.8,3730,410,11
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000004,East Midlands,,,,absence,872350,26490,3,10470,1.2,36960,4.2,2460,230,9.2
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000005,West Midlands,,,,absence,1642060,51410,3.1,17610,1.1,69020,4.2,4620,420,9
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000006,East of England,,,,absence,995900,36200,3.6,11330,1.1,47530,4.8,2830,310,10.9
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000008,South East,,,,absence,1477380,52660,3.6,19570,1.3,72230,4.9,4180,500,11.9
2018/19,Up to 31 march 2019,Regional,E92000001,England,E12000009,South West,,,,absence,858150,33510,3.9,10650,1.2,44160,5.1,2470,310,12.6
2018/19,Up to 31 march 2019,Regional,E92000001,England,E13000001,Inner London,,,,absence,520460,17480,3.4,8730,1.7,26210,5,1480,200,13.4
2018/19,Up to 31 march 2019,Regional,E92000001,England,E13000002,Outer London,,,,absence,666140,19540,2.9,9970,1.5,29520,4.4,1890,190,10
2018/19,Up to 31 march 2019,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,absence,14893,405,2.7,290,1.9,695,4.7,42,6,14.3
2018/19,Up to 31 march 2019,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,absence,81587,2353,2.9,518,0.6,2871,3.5,226,14,6.2
