time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,school_type,number_of_children,permanent_exclusions,permanent_exclusions_%,fixed_term_exclusions,fixed_term_exclusions_%
201718,Reporting year,National,E92000001,England,,,,,,Looked after children,State-funded primary secondary and special,31720,20,0.05,3700,11.67
201718,Reporting year,National,E92000001,England,,,,,,Looked after children,State-funded primary,12170,c,c,540,4.45
201718,Reporting year,National,E92000001,England,,,,,,Looked after children,State-funded secondary,15500,10,0.08,2710,17.47
201718,Reporting year,National,E92000001,England,,,,,,Looked after children,Special,4050,c,c,450,11.12
201718,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Looked after children,State-funded primary secondary and special,2140,c,c,250,11.71
201718,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Looked after children,State-funded primary secondary and special,6270,c,c,660,10.48
201718,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Looked after children,State-funded primary secondary and special,3580,c,c,440,12.21
201718,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Looked after children,State-funded primary secondary and special,2350,c,c,260,10.95
201718,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Looked after children,State-funded primary secondary and special,4490,c,c,460,10.28
201718,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Looked after children,State-funded primary secondary and special,2770,c,c,340,12.4
201718,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Looked after children,State-funded primary secondary and special,4190,c,c,520,12.35
201718,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Looked after children,State-funded primary secondary and special,2450,c,c,370,15.13
201718,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Looked after children,State-funded primary secondary and special,1510,c,c,190,12.48
201718,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Looked after children,State-funded primary secondary and special,1960,c,c,220,10.99
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Looked after children,State-funded primary secondary and special,95,c,c,10,10.53
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Looked after children,State-funded primary secondary and special,383,c,c,26,6.79
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Looked after children,State-funded primary secondary and special,177,c,c,12,6.78
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Looked after children,State-funded primary secondary and special,122,c,c,24,19.67
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Looked after children,State-funded primary secondary and special,204,c,c,24,11.76
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Looked after children,State-funded primary secondary and special,221,c,c,28,12.67
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Looked after children,State-funded primary secondary and special,121,c,c,12,9.92
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Looked after children,State-funded primary secondary and special,142,c,c,38,26.76
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Looked after children,State-funded primary secondary and special,114,c,c,21,18.42
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Looked after children,State-funded primary secondary and special,128,c,c,11,8.59
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Looked after children,State-funded primary secondary and special,218,c,c,21,9.63
201718,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Looked after children,State-funded primary secondary and special,219,c,c,24,10.96
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Looked after children,State-funded primary secondary and special,155,c,c,15,9.68
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Looked after children,State-funded primary secondary and special,242,c,c,26,10.74
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Looked after children,State-funded primary secondary and special,278,c,c,29,10.43
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Looked after children,State-funded primary secondary and special,143,c,c,13,9.09
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Looked after children,State-funded primary secondary and special,218,c,c,18,8.26
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Looked after children,State-funded primary secondary and special,204,c,c,20,9.8
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Looked after children,State-funded primary secondary and special,306,c,c,27,8.82
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Looked after children,State-funded primary secondary and special,124,c,c,14,11.29
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Looked after children,State-funded primary secondary and special,135,c,c,7,5.19
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Looked after children,State-funded primary secondary and special,853,c,c,83,9.73
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Looked after children,State-funded primary secondary and special,532,c,c,44,8.27
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Looked after children,State-funded primary secondary and special,608,c,c,85,13.98
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Looked after children,State-funded primary secondary and special,232,c,c,28,12.07
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Looked after children,State-funded primary secondary and special,228,c,c,20,8.77
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Looked after children,State-funded primary secondary and special,253,c,c,28,11.07
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Looked after children,State-funded primary secondary and special,200,c,c,26,13
