time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact
202122,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,Total,119950,42332310,6952200,16.4,4001520,9.5,2950680,7,58120,48.5
202122,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,State-funded secondary,46950,15964720,3665040,23,1758310,11,1906740,11.9,29070,61.9
202122,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,State-funded primary,50580,18402240,1952330,10.6,1242990,6.8,709350,3.9,18780,37.1
202122,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,Special,20670,7437310,1096190,14.7,885410,11.9,210770,2.8,8730,42.3
202122,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,Pupil referral unit,1750,528050,238630,45.2,114810,21.7,123820,23.4,1540,87.8
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,Total,7660,2736200,429260,15.7,236310,8.6,192940,7.1,3520,46
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,State-funded secondary,2730,943520,222400,23.6,97330,10.3,125070,13.3,1700,62.5
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,State-funded primary,3220,1179750,110110,9.3,71610,6.1,38500,3.3,1090,33.8
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,Special,1580,572830,78840,13.8,58870,10.3,19970,3.5,610,38.3
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,Pupil referral unit,130,40110,17910,44.7,8510,21.2,9400,23.4,130,94
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,Total,16950,5997600,1011290,16.9,544310,9.1,466980,7.8,8270,48.8
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,State-funded secondary,6700,2275260,536030,23.6,235300,10.3,300730,13.2,4180,62.4
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,State-funded primary,7300,2670580,272030,10.2,167450,6.3,104580,3.9,2700,37
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,Special,2650,958020,152410,15.9,119140,12.4,33270,3.5,1110,41.9
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,Pupil referral unit,300,93740,50810,54.2,22410,23.9,28400,30.3,280,95
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,Total,13110,4620540,776620,16.8,395260,8.6,381350,8.3,6400,48.8
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,State-funded secondary,5330,1817280,444990,24.5,186000,10.2,258990,14.3,3390,63.6
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,State-funded primary,6090,2212920,230980,10.4,139430,6.3,91560,4.1,2230,36.7
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,Special,1480,524990,76770,14.6,60320,11.5,16450,3.1,600,40.9
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,Pupil referral unit,210,65350,23880,36.5,9520,14.6,14360,22,170,80.7
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Six half terms,CINO at 31 March,Total,8530,3028510,491150,16.2,286930,9.5,204220,6.7,4140,48.5
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Six half terms,CINO at 31 March,State-funded secondary,3500,1201310,275560,22.9,139430,11.6,136130,11.3,2200,62.8
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Six half terms,CINO at 31 March,State-funded primary,3910,1428630,150110,10.5,96040,6.7,54070,3.8,1430,36.6
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Six half terms,CINO at 31 March,Special,1040,372850,53880,14.5,45640,12.2,8240,2.2,430,41.7
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Six half terms,CINO at 31 March,Pupil referral unit,90,25710,11600,45.1,5820,22.6,5790,22.5,80,89.7
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Six half terms,CINO at 31 March,Total,13550,4768230,800240,16.8,465940,9.8,334290,7,6720,49.6
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Six half terms,CINO at 31 March,State-funded secondary,5300,1790460,410710,22.9,201650,11.3,209060,11.7,3310,62.4
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Six half terms,CINO at 31 March,State-funded primary,5600,2034640,230830,11.3,144440,7.1,86400,4.2,2200,39.2
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Six half terms,CINO at 31 March,Special,2470,889710,131860,14.8,106270,11.9,25590,2.9,1060,42.9
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Six half terms,CINO at 31 March,Pupil referral unit,180,53420,26840,50.2,13590,25.4,13250,24.8,160,89.8
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Six half terms,CINO at 31 March,Total,8390,2953770,530890,18,335330,11.4,195550,6.6,4350,51.9
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Six half terms,CINO at 31 March,State-funded secondary,3010,1024970,257670,25.1,134390,13.1,123270,12,1990,66.2
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Six half terms,CINO at 31 March,State-funded primary,3040,1099370,134020,12.2,87110,7.9,46910,4.3,1280,42
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Six half terms,CINO at 31 March,Special,2190,788640,119420,15.1,100870,12.8,18550,2.4,960,43.8
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Six half terms,CINO at 31 March,Pupil referral unit,140,40800,19780,48.5,12960,31.8,6820,16.7,120,87.4
