time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_perm_excl,t_one_plus_sus
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA 12 months at 31 March,483,0,32
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA 12 months at 31 March,155,0,16
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA 12 months at 31 March,229,0,29
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA 12 months at 31 March,178,0,12
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA 12 months at 31 March,304,0,33
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA 12 months at 31 March,361,0,33
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA 12 months at 31 March,141,0,16
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA 12 months at 31 March,189,0,25
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA 12 months at 31 March,157,0,20
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA 12 months at 31 March,150,0,11
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 12 months at 31 March,328,0,34
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 12 months at 31 March,303,c,28
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 12 months at 31 March,206,0,14
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 12 months at 31 March,295,0,30
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA 12 months at 31 March,350,0,47
202021,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 12 months at 31 March,181,0,17
202021,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 12 months at 31 March,261,0,22
