time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_FSM_eligible,pt_FSM_eligible
202122,Academic year,National,E92000001,England,,,,,,CINO at 31 March,139320,81790,58.7
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,8960,5820,65
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,19510,12210,62.6
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,15220,9590,63
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,9780,6060,62
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,15930,9770,61.3
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,9830,5420,55.1
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,22440,12140,54.1
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,25710,13730,53.4
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,11940,7050,59.1
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,8840,5140,58.2
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,13600,7000,51.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,967,702,72.6
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,417,241,57.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,756,459,60.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,589,399,67.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,822,589,71.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,1026,706,68.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,567,362,63.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,1035,561,54.2
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,628,421,67
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,520,356,68.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,931,586,62.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,698,435,62.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,418,240,57.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,607,439,72.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CINO at 31 March,655,392,59.8
