time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202122,Academic year,National,E92000001,England,,,,,,CINO at 31 March,Revised,10890,4870,45,10790,4070,38,10890,4240,39,10770,2980,28,10880,4470,41,10780,5020,47,9890,-19950.82225,-2.02,-2.14,-1.89,10020,-19990.1684,-2,-2.11,-1.88,9850,-23999.2987,-2.44,-2.55,-2.32
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,Revised,680,310,45,680,260,38,680,290,42,680,200,29,680,270,40,680,310,45,640,-1460.312165,-2.29,-2.78,-1.8,650,-1242.197188,-1.92,-2.39,-1.45,640,-1452.790963,-2.28,-2.74,-1.83
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,Revised,1550,740,48,1550,600,39,1550,620,40,1550,440,28,1550,670,43,1540,740,48,1400,-1669.433681,-1.19,-1.52,-0.86,1440,-2203.824284,-1.53,-1.85,-1.22,1400,-2771.788383,-1.98,-2.28,-1.67
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,Revised,1150,560,49,1150,460,40,1150,490,43,1150,350,31,1150,500,43,1150,560,49,1060,-1300.029933,-1.23,-1.61,-0.85,1070,-1586.380323,-1.48,-1.84,-1.12,1050,-1658.800555,-1.57,-1.93,-1.22
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,Revised,810,360,44,800,280,35,810,290,36,800,200,25,810,320,40,800,370,46,730,-1887.118705,-2.59,-3.04,-2.13,740,-1798.817918,-2.44,-2.87,-2,730,-2076.603757,-2.85,-3.27,-2.42
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,Revised,1250,530,43,1250,460,37,1260,480,38,1250,340,27,1260,520,42,1250,570,46,1160,-2515.958711,-2.17,-2.53,-1.81,1170,-2553.735269,-2.19,-2.53,-1.84,1160,-3084.236587,-2.66,-3,-2.33
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,Revised,740,290,39,740,240,32,740,240,33,740,170,23,740,270,36,740,290,39,660,-1879.239372,-2.85,-3.33,-2.37,680,-1922.572281,-2.85,-3.3,-2.39,660,-2124.987189,-3.24,-3.69,-2.8
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,Revised,1700,810,47,1690,690,41,1700,720,43,1690,550,32,1690,770,45,1690,830,49,1540,-2207.558316,-1.44,-1.75,-1.12,1540,-1949.59281,-1.27,-1.57,-0.96,1530,-2504.722993,-1.64,-1.94,-1.35
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,Revised,2010,840,42,2000,730,36,2010,750,37,2000,510,26,2010,770,38,2000,900,45,1810,-4980.265149,-2.75,-3.04,-2.46,1830,-4571.959383,-2.5,-2.78,-2.23,1800,-5828.237139,-3.24,-3.51,-2.97
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,Revised,980,440,45,980,350,36,980,350,36,980,240,24,980,390,40,970,460,47,900,-2050.906222,-2.28,-2.69,-1.87,920,-2161.088942,-2.36,-2.75,-1.97,890,-2497.131134,-2.81,-3.2,-2.43
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,Revised,670,350,53,670,310,46,670,310,46,670,240,36,670,340,50,670,370,56,600,-532.5530048,-0.88,-1.38,-0.38,610,-374.8720155,-0.62,-1.1,-0.14,600,-888.4964276,-1.48,-1.95,-1.01
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,Revised,1030,450,44,1030,380,37,1030,420,40,1030,310,30,1030,430,42,1030,460,44,930,-1675.005311,-1.8,-2.2,-1.4,940,-1574.720794,-1.68,-2.07,-1.3,920,-1616.226566,-1.75,-2.13,-1.37
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,Revised,90,38,42,90,32,36,90,37,41,90,22,24,91,31,34,90,42,47,89,-294.8982968,-3.31,-4.62,-2.01,89,-174.3236644,-1.96,-3.21,-0.7,89,-189.2781652,-2.13,-3.34,-0.91
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,Revised,33,10,30,33,9,27,33,8,24,33,c,c,33,12,36,33,11,33,32,-107.5453535,-3.36,-5.54,-1.18,32,-126.8514112,-3.96,-6.06,-1.87,32,-164.947857,-5.15,-7.18,-3.13
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,Revised,72,29,40,72,20,28,72,27,38,72,16,22,72,24,33,72,26,36,70,-220.5478082,-3.15,-4.62,-1.68,70,-246.6921614,-3.52,-4.94,-2.11,70,-232.0690324,-3.32,-4.69,-1.94
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,Revised,34,17,50,34,14,41,34,17,50,34,11,32,34,12,35,34,16,47,33,-40.50983888,-1.23,-3.37,0.92,33,-28.1453326,-0.85,-2.91,1.21,33,-77.83415063,-2.36,-4.36,-0.36
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,Revised,53,32,60,53,26,49,53,29,55,53,18,34,53,26,49,53,28,53,50,-64.69879845,-1.29,-3.04,0.45,52,-65.50998229,-1.26,-2.9,0.38,50,-49.14092243,-0.98,-2.6,0.64
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,Revised,63,23,37,63,23,37,63,23,37,63,19,30,63,22,35,63,27,43,58,-90.68368787,-1.56,-3.18,0.06,60,-56.27937635,-0.94,-2.47,0.59,59,-138.0862746,-2.34,-3.83,-0.85
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,Revised,41,20,49,41,20,49,40,21,53,40,17,43,41,20,49,41,22,54,38,-109.314108,-2.88,-4.88,-0.88,37,-87.40199601,-2.36,-4.31,-0.42,35,-121.5434527,-3.47,-5.41,-1.53
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,Revised,68,32,47,68,27,40,68,25,37,68,16,24,68,30,44,68,33,49,60,-197.7321786,-3.3,-4.89,-1.7,61,-183.3797122,-3.01,-4.52,-1.49,60,-242.5987548,-4.04,-5.52,-2.56
